,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
36,PURCHASE OF VARIOUS MEDICAL SUPPLIES FOR BMC NEW BUILDING (BICC),9278075,22/05/2020,29/05/2020,LUCKY R'S PHARMACY & GENERAL MERCHANDISE,92278075,22/05/2020,22/05/2020,Provincial Government of Bulacan,9.945821197,Medical,,,
37,Supply and Delivery of Relief Goods,90456786,21/04/2020,01/05/2020,Luxese Corp.,90456786,20/04/2020,30/04/2020,City Government of Taguig,1,Food,,,
38,Procurement of Supply and Delivery of Various NSIC Approved Hybrid Rice Seeds @ 18 kgs/bag (Lot 3),90370000,22/05/2020,21/06/2020,"SEEDWORKS PHILIPPINES, INC.",90370000,12/05/2020,15/05/2020,Department of Agriculture Western Visayas,1,Food,,,
39,Procurement of Supply and Delivery of Various NSIC Approved Hybrid Rice Seeds @ 18 kgs/bag,90370000,25/06/2020,05/07/2020,SL AGRITECH CORP.,90370000,18/06/2020,19/06/2020,Department of Agriculture Western Visayas,1,Food,,,
40,Procurement of Infrared Thermal Scanner for COVID-19 Response,90000000,08/05/2020,08/06/2020,Spectrum Scientific Corporation,90000000,28/04/2020,28/04/2020,Bureau of Quarantine,1,Medical,,,
41,Supply and Delivery of Relief Goods,85665817.1,30/04/2020,10/05/2020,Puregold Price Club Inc,85665817.1,30/04/2020,12/05/2020,City Government of Taguig,1,Food,,,
42,"Supply & delivery of 37,000 sacks of Rice Grain(commercial)",85100000,21/04/2020,28/07/2020,EDWIN AYCO BIGASAN,85100000,20/04/2020,22/04/2020,CITY GOVERNMENT OF PUERTO PRINCESA,1,Food,,,
43,Procurement of Covid-19 Equipment Requirement,85000000,08/05/2020,23/06/2020,Cosmo Medical Inc.,85000000,23/04/2020,24/04/2020,Bicol Regional Training and Teaching Hospital,1,Medical,,,
44,Supply and Delivery of Hygiene Kits for the Families Affected by Enhanced Community Quarantine in Metro Manila and other Areas Under Community Quarantine,90000000,26/06/2020,31/07/2020,Dextel Trading,84892500,18/06/2020,23/07/2020,Department of Social Welfare and Development,0.94325,Medical,,,
45,Procurement of Supply and Delivery of Various NSIC Approved Hybrid Seeds @ 18 kg/bags (Lot 2),84625000,27/05/2020,26/06/2020,SL Agritech Corporation,84625000,22/06/2020,26/06/2020,Department of Agriculture Western Visayas,1,Food,,,
46,Procurement of Pipette Tips for Item Nos. 2 and 4,95482800,17/07/2020,26/08/2020,Biosite Medical Instruments,84480000,18/06/2020,23/06/2020,Department of Health,0.88476668,Medical,,,
47,"Rehabilitation of Disaster-Related Infrastructure and Other Facilities, Construction of 6 Units â€œWe Heal As Oneâ€ Off-Site Dormitory / Isolation Facility for Medical Personnel at Cebu City Quaranti",84000000,13/07/2020,27/08/2020,QM Builders,83997999.9,07/07/2020,08/07/2020,DPWH_Regional Office7,0.999976189,Others,,,
48,"Supply and delivery of 2,000 units Mid-Range Laptop",82784000,22/06/2020,06/08/2020,PS-DBM,82784000,22/06/2020,06/08/2020,Bangko Sentral ng Pilipinas,1,Others,,,
49,"SUPPLY AND DELIVERY OF 84,675 SACKS OF WELL-MILLED RICE",80411250,01/05/2020,07/05/2020,F.V. DYSICO RICEMILL & TRADING,80411250,29/04/2020,06/05/2020,Provincial Government of Nueva Ecija,1,Food,,,
50,20Z00003: Design and Build of Proposed Six (6) Units Offsite Dormitory for Medical Personnel at the Quezon Memorial Circle,93000000,06/07/2020,04/08/2020,Nationstar Development Corporation,79984975.83,16/06/2020,16/06/2020,DPWH-Central Office,0.860053504,Others,,,
51,"Contract ID No. 20Z00003, Design and Build of Six (6) Units Off-Site Dormitory for Medical Personnel at Quezon Memorial Circle",79993090.43,06/07/2020,04/08/2020,Nationstar Development Corporation,79984975.83,16/06/2020,16/06/2020,Department of Public Works and Highways,0.999898559,Others,,,
52,Supply and Delivery of Medicines,76462992.73,15/04/2020,27/04/2020,"Health Line Medical Distributions, Inc.",76462992.73,15/04/2020,20/04/2020,City Government of Taguig,1,Medical,,,
53,Supply and Delivery of Additional Hygiene Kits,75000000,20/04/2020,30/04/2020,BV Three Two Four Printing and Trading,75000000,17/04/2020,29/04/2020,City Government of Taguig,1,Medical,,,
54,Supply and Delivery of Personal Protective Equipment (PPE) for the Procurement Service,74000000,09/07/2020,23/08/2020,Pacificphil Distribution Group Inc.,74000000,23/06/2020,23/06/2020,PROCUREMENT SERVICE,1,Medical,,,
55,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),73105200,26/06/2020,02/10/2020,"Lifeline Diagnostic Supplies, Inc.",73105200,23/06/2020,23/06/2020,Procurement Service - DBM,1,Medical,,,
56,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,79000000,06/07/2020,20/08/2020,BIO MEDPRO PHARMACEUTICALS,72500000,24/06/2020,24/06/2020,PROCUREMENT SERVICE,0.917721519,Medical,,,
57,Procurement of Supply and Delivery of Various NSIC Approved Hybrid Rice Seeds @ 18 kgs/bag (Lot 4),70225000,20/05/2020,19/06/2020,"LONGPING TROPICAL RICE DEVELOPMENT, INC.",70225000,20/05/2020,21/05/2020,Department of Agriculture Western Visayas,1,Food,,,
58,Supply and Delivery of Relief Goods,65680250,21/04/2020,01/05/2020,Diamondsphere Incorporated,65680250,20/04/2020,30/04/2020,City Government of Taguig,1,Food,,,
59,Procurement of Various Medical Supplies for Item No. 1,64900000,24/03/2020,22/05/2020,"Rebmann, Inc.",64790000,16/03/2020,18/03/2020,Department of Health,0.998305085,Medical,,,
60,"Supply & delivery of 28,000 sacks of Rice Grains",64400000,21/05/2020,28/05/2020,EDWIN AYCO BIGASAN,64400000,21/05/2020,26/06/2020,CITY GOVERNMENT OF PUERTO PRINCESA,1,Food,,,
61,Supply and Delivery of Relief Goods,63051750,21/05/2020,01/06/2020,E.Llana Marketing & Industrial Enterprises,63051750,20/05/2020,29/05/2020,City Government of Taguig,1,Food,,,
62,Supply and Delivery of Rice and Rice Sacks,62311709.25,29/04/2020,14/05/2020,Binhi Producers Cooperative,62253877.5,29/04/2020,29/04/2020,Local Government Unit of Cabanatuan City,0.999071896,Food,,,
63,Procurement of Nasopharyngeal Swab,77328000,01/06/2020,08/06/2020,Biosite Medical Instruments,61218000,20/05/2020,20/05/2020,Department of Health,0.791666667,Medical,,,
64,"Purchase of 1000 sacks of rice (25kg/sack) & 2500 sacks of rice (50kg/sack) to be distributed to the families affected by the ECQ due to COVID19 outbreak at LGU Lingayen, Pangasinan",5700000,13/04/2020,13/04/2020,Mariqueta G. Navarro,57000000,13/04/2020,13/04/2020,Local Government Unit of Lingayen,10,Food,,,
65,Proposed Renovation of Mega Drug Abuse Treatment and Rehabilitation Center (MEGADATRC) - Phase 4 as Quarantine Facility,54800000,04/05/2020,04/07/2020,IJK MAE CONTRUCTION INC,54800000,30/04/2020,30/04/2020,Department of Health Center for Health Development,1,Others,,,
66,SUPPLY AND DELIVERY OF SURGICAL MASKS FOR THE PROCUREMENT SERVICE,62400000,15/04/2020,17/04/2020,PHARMALLY PHARMACEUTICAL CORPORATION,54000000,14/04/2020,14/04/2020,PROCUREMENT SERVICE,0.865384615,Medical,,,
67,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,53200000,24/04/2020,27/04/2020,PACIFIC FIELD (HONGKONG) LTD.,53200000,24/04/2020,24/04/2020,PROCUREMENT SERVICE,1,Medical,,,
68,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,51000000,21/05/2020,22/05/2020,HAFID N' ERASMUS CORPORATION,51000000,21/05/2020,21/05/2020,PROCUREMENT SERVICE,1,Medical,,,
69,Supply and Delivery of Relief Goods,50164000,06/05/2020,16/05/2020,Diamondsphere Incorporated,50164000,05/05/2020,12/05/2020,City Government of Taguig,1,Food,,,
70,Supply and Delivery of Food and Water,50000000,14/04/2020,29/04/2020,Luxese Corp.,50000000,13/04/2020,30/04/2020,City Government of Taguig,1,Food,,,
71,"10,000 bags NSIC Rc540H",50000000,08/05/2020,08/06/2020,SL Agritech Corporation,50000000,28/04/2020,04/05/2020,Department of Agriculture RFO 5,1,Food,,,
72,Supply and Delivery of Food and Water,50000000,08/05/2020,11/06/2020,Goodties Inc.,50000000,07/05/2020,11/06/2020,City Government of Taguig,1,Food,,,
73,Supply and Delivery of Additional Hygiene Kits,50000000,29/04/2020,09/05/2020,BV Three Two Four Printing and Trading,50000000,28/04/2020,08/05/2020,City Government of Taguig,1,Medical,,,
74,Procurement of Surgical Mask,67500000,30/04/2020,20/05/2020,Medical Center Trading Corporation,49920000,14/04/2020,16/04/2020,Department of Health,0.739555556,Medical,,,
75,"Procurement of Food Relief Packs (60,000 packs)",49680000,14/05/2020,15/05/2020,"Centro Supersales, Inc.",49500000,13/05/2020,15/05/2020,City Government of Malaybalay,0.996376812,Food,,,
76,"Procurement of Food Relief Packs (5,000 packs)",4140000,27/05/2020,10/06/2020,"Centro Supersales, Inc.",49500000,19/05/2020,22/05/2020,City Government of Malaybalay,11.95652174,Food,,,
77,"CIVIL WORKS FOR CONSTRUCTION OF BAYANIHAN ISOLATION & MULTI-PURPOSE BUILDING - BRGY. MATEUNA, CITY OF TAYABAS",49316167,24/06/2020,14/02/2021,TAN TAY LIM BUILDERS AND GENERAL CONTRUCTOR,49310368.01,24/06/2020,24/06/2020,CITY GOVERNMENT OF TAYABAS,0.999882412,Others,,,
78,Procurement of Relief Goods for the Intervention of Corona Virus 19,49000000,28/04/2020,04/05/2020,AL-NOR PRIME PROPERTIES CORPORATION,49000000,28/04/2020,28/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
79,Procurement of Relief Goods for the Intervention of Corona Virus 19,49000000,06/05/2020,11/05/2020,BERMEJO AGRI BUY & SELL,49000000,06/05/2020,18/07/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
80,Procurement of Relief Goods for the Intervention of Corona Virus 19,49000000,30/04/2020,05/05/2020,"AL-NOR PRIME PROPERTIES, INC.",49000000,30/04/2020,30/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
81,SUPPLY AND DELIVERY OF THERMOGUN FOR THE PROCUREMENT SERVICE,48700000,30/06/2020,03/07/2020,Philippine Blue Cross Biotech Corporation,48700000,24/06/2020,24/06/2020,PROCUREMENT SERVICE,1,Medical,,,
82,"Contract Id no.: 20C00045-Rehabilitation of Disaster-Related Infrastructure and Other Facilities-Construction of Health Facilities at Philippine Arena, Complex Ciudad De Victoria, Santa Maria, Bulacan",48558056.72,22/04/2020,21/05/2020,"A.L. Salazar Construction, Inc.",48450131.34,22/04/2020,22/04/2020,DPWH Regional Office III,0.997777395,Others,,,
83,PROCUREMENT OF RICE FOR THE RELIEF OPERATION IN RANAW REGION,48000000,06/05/2020,11/05/2020,LUCKY ANYA TRADING,48000000,06/05/2020,06/05/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
84,PROCUREMENT OF RICE FOR THE RELIEF OPERATION IN RANAW REGION,48000000,22/04/2020,27/04/2020,LUCKY ANYA TRADING,48000000,22/04/2020,22/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
85,PROCUREMENT OF RICE FOR THE RELIEF OPERATION IN RANAW REGION,48000000,16/04/2020,21/04/2020,lucky Anya trading,48000000,16/04/2020,16/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
86,SUPPLY AND DELIVERY OF GOWN FOR THE PROCUREMENT SERVICE,48000000,25/06/2020,26/06/2020,Philippine Blue Cross Biotech Corporation,48000000,22/06/2020,23/06/2020,PROCUREMENT SERVICE,1,Medical,,,
87,PROCUREMENT OF RICE FOR THE RELIEF OPERATION IN RANAW REGION,48000000,29/04/2020,06/05/2020,LUCKY ANYA TRADING,48000000,29/04/2020,29/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
88,Purchase of Food Commodities,48000000,21/04/2020,28/04/2020,RAD'S ENTERPRISES,47995000,21/04/2020,21/04/2020,CIty Government of Bayugan,0.999895833,Food,,,
89,"18,000 Sacks Commercial Rice, 25 kls/sack",47181000,25/03/2020,25/03/2020,5MJ Marketing,47181000,25/03/2020,25/03/2020,Local Government Unit-City of Zamboanga,1,Food,,,
90,Negative Pressure,46500000,22/04/2020,21/07/2020,AMI Equipment Services and Solutions,46500000,22/04/2020,21/07/2020,Southern Philippines Medical Center,1,Others,,,
91,Negative Pressure,46500000,22/04/2020,21/07/2020,AMI Equipment Service,46500000,22/04/2020,21/07/2020,Southern Philippines Medical Center,1,Others,,,
92,"Procurement of Tube, Microcentrifuge",56592000,01/06/2020,08/06/2020,Biosite Medical Instruments,45981000,20/05/2020,20/05/2020,Department of Health,0.8125,Medical,,,
93,"SUPPLY AND DELIVERY OF 10,000 BAGS HYBRID RICE SEEDS (LOT 6-NSIC Rc236H) FOR RICE RESILIENCY PROGRAM FOR CY 2020",45000000,08/05/2020,31/05/2020,"SEEDWORKS PHILS., INC.",45000000,04/05/2020,04/05/2020,DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,1,Food,,,
94,Supply and Delivery of Goggles for the Procurement Service,144696000,04/05/2020,11/05/2020,Philippine Blue Cross Biotech Corporation,45000000,30/04/2020,30/04/2020,PROCUREMENT SERVICE,0.310996849,Medical,,,
95,PROCUREMENT OF DIGITAL MOBILE X-RAY,45000000,17/06/2020,02/07/2020,COSMO MEDICAL INC.,44400000,15/06/2020,17/06/2020,Rizal Provincial Government,0.986666667,Medical,,,
96,"SUPPLY AND DELIVERY OF ALCOHOL (ETHYL, 68%-72%, 1 GALLON)",60000000,05/05/2020,14/05/2020,"CENTRAL AFFIRMATIVE CO., INC.",44000000,04/05/2020,04/05/2020,PROCUREMENT SERVICE,0.733333333,Medical,,,
97,"Supply and delivery of 8,680 bags Hybrid Rice Seeds",43400000,15/06/2020,20/06/2020,SL Agritech Corporation,43400000,10/06/2020,21/06/2020,Department of Agriculture-RFO 12,1,Food,,,
98,"8,535bags NSIC Rc314H (2013) / NSIC Rc548H (2018)",42675000,08/05/2020,08/06/2020,Jedeco Trading Corp.,42666465,28/04/2020,29/04/2020,Department of Agriculture RFO 5,0.9998,Food,,,
99,"8,535bags NSIC Rc410H (2015) / NSIC Rc 524H (2018) / NSIC Rc 546H â€“ (2018) / NSIC Rc 494H (2017)",42675000,08/05/2020,08/06/2020,Jedeco Trading Corp.,42666465,28/04/2020,29/04/2020,Department of Agriculture RFO 5,0.9998,Food,,,
100,Procurement of Rice (50 kilos/sack),42425000,27/04/2020,27/05/2020,TUPEI ALL STAR TRADE INC.,42425000,27/04/2020,27/04/2020,"LGU - CITY OF NAGA, CEBU",1,Food,,,
101,Supply and Delivery of Relief Goods,42034500,21/05/2020,01/06/2020,BV Three Two Four Printing and Trading,42034500,20/05/2020,29/05/2020,City Government of Taguig,1,Food,,,
102,"20H00073 - Rehabilitation of Disaster-Related Infrastructure and Other Facilities, Construction of 3 Units â€œWe Heal As Oneâ€ Off-Site Dormitory / Isolation Facility for Medical Personnel at DPWH Re",42000000,13/07/2020,03/08/2020,P.B. Obial Construction,41998763.84,07/07/2020,08/07/2020,DPWH_Regional Office7,0.999970568,Others,,,
103,Supply and Delivery of Testing Kits for COVID 19 Response for the Department of Health (DOH),40000000,01/05/2020,30/06/2020,"Medical Test Systems, Inc.",40000000,30/04/2020,30/04/2020,Procurement Service - DBM,1,Medical,,,
104,Supply and Delivery of Food and Water,40000000,05/06/2020,30/06/2020,Goodties Inc.,40000000,04/06/2020,30/06/2020,City Government of Taguig,1,Food,,,
105,"Supply, delivery, installation, testing and commissioning of Biohazard Machine",40000000,06/07/2020,20/11/2020,"MEDICAL & HOSPITAL RESOURCES HEALTH CARE, INC.",40000000,25/06/2020,06/07/2020,Provincial Government of Agusan del Sur,1,Medical,,,
106,"Supply and Delivery of 42,000 Sacks of Well-Milled Rice",39900000,27/04/2020,29/04/2020,F.V. DYSICO RICEMILL & TRADING,39900000,24/04/2020,29/04/2020,Provincial Government of Nueva Ecija,1,Food,,,
107,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,39500000,30/06/2020,14/08/2020,"UNIMASTERS CONGLOMERATION, INC.",39500000,23/06/2020,23/06/2020,PROCUREMENT SERVICE,1,Medical,,,
108,PROCUREMENT OF RELIEF GOODS,39200000,13/04/2020,20/04/2020,NANSMAR MARKETING BUY 7 SELL AGRI PRODUCTS,39200000,13/04/2020,13/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
109,"Supply and Delivery of Gloves, Gown, and Coverall for the Department of Health",38328480,30/06/2020,14/07/2020,JV of Sunwest Construction and Development Corporation and DCKAR Trading,38328480,24/06/2020,24/06/2020,PROCUREMENT SERVICE,1,Medical,,,
110,"7,608 bags NSIC Rc176H",53315000,08/05/2020,08/06/2020,"Right Agri Development, Corp.",38032392,28/04/2020,29/04/2020,Department of Agriculture RFO 5,0.713352565,Food,,,
111,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR THE PROCUREMENT SERVICE,38460000,12/05/2020,11/06/2020,"WAMRUS TRADING, INC.",37960000,11/05/2020,11/05/2020,PROCUREMENT SERVICE,0.98699948,Medical,,,
112,Supply and Delivery of Food and Water,37900000,29/04/2020,15/05/2020,Goodties Inc.,37900000,28/04/2020,15/05/2020,City Government of Taguig,1,Food,,,
113,Procurement of Various Medical Supplies for Item No. 3 (N95 Mask),54720000,16/07/2020,31/07/2020,"Phil Pharmawealth, Inc.",37440000,18/06/2020,22/06/2020,Department of Health,0.684210526,Medical,,,
114,PROCUREMENT OF RELIEF GOODS,36750000,17/04/2020,24/04/2020,AGRICONS IMPEX CO,36750000,17/04/2020,17/04/2020,Office of the Chie Minister-Bangsamoro Autonomous Region in Muslim Mindanao,1,Food,,,
115,"Purchase of 16,000 cavans of rice to be given to at least 125,000 families affected by COVID-19 Pandemic",36800000,23/04/2020,28/04/2020,TWIS TRADING,36640000,22/04/2020,28/04/2020,City Government of Bi\\u00c3\\u00b1an,0.995652174,Food,,,
