,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
57,IMAGIC PRODUCTIONS,Single Proprietorship,09-Jan-2003,Platinum,Active,2020-08-14,14-Aug-2021,20030113131319896198
58,GOLDEN ARCHES DEVELOPMENT CORPORATION,Corporation,15-Dec-2016,Platinum,Active,2020-08-14,14-Aug-2021,2016121897991459810910
59,ARTTHEL LIGHT AND HEAVY EQUIPMENT PARTS & SERVICES,Single Proprietorship,22-Feb-2018,Platinum,Active,2020-08-14,15-Aug-2021,2018021136142053382372
60,MPM BUILDERS,Single Proprietorship,30-Mar-2005,Platinum,Active,2020-08-14,14-Aug-2021,2005036975681987595
61,BITES-AVENUE SNACK LOUNGE AND CATERING,Single Proprietorship,14-Mar-2019,Platinum,Active,2020-08-14,14-Aug-2021,20190350484959193621
62,REGIMED PHARMACEUTICAL DISTRIBUTOR,Single Proprietorship,24-Aug-2005,Platinum,Active,2020-08-14,14-Aug-2021,2005088109224048077
63,XURPAS ENTERPRISE INC.,Corporation,12-May-2017,Platinum,Active,2020-08-14,14-Aug-2021,2017051627131121258004
64,M.R. SANTIAGO CONSTRUCTION,Single Proprietorship,30-Mar-2006,Platinum,Active,2020-08-14,14-Aug-2021,20060398741774424553
65,BXU COPY TRADING & ENT. CORP. - TACLOBAN BRANCH,Corporation,23-Dec-2015,Platinum,Active,2020-08-14,14-Aug-2021,201512157321280372405
66,BLUREX CONSTRUCTION & SUPPLY,Single Proprietorship,05-Sep-2016,Platinum,Active,2020-08-14,14-Aug-2021,2016091839631212834010
67,AEREN CONSTRUCTION,Single Proprietorship,04-Dec-2019,Platinum,Active,2020-08-14,14-Aug-2021,2019126715835434683
68,TEMPLAR CONSTRUCTION,Single Proprietorship,12-Aug-2010,Platinum,Active,2020-08-14,14-Aug-2021,2010083516838028355
69,ACTIVE GEOANCHOR INC,Corporation,12-Oct-2015,Platinum,Active,2020-08-14,19-Aug-2021,2015101510211447088811
70,NEO-BLU ADVERTISING,Single Proprietorship,23-Feb-2016,Platinum,Active,2020-08-14,16-Aug-2021,2016021628382080438001
71,BALDON HARDWARE AND CONSTRUCTION SUPPLY,Single Proprietorship,23-Jan-2013,Platinum,Active,2020-08-14,06-Sep-2021,20130164629653117809
72,BXU COPY TRADING & ENT. CORP - CDO BRANCH,Corporation,29-Jul-2017,Platinum,Active,2020-08-14,27-Sep-2021,2017071490321355433685
73,"TROPICS AGRO INDUSTRIES, INC.",Corporation,26-Mar-2008,Platinum,Active,2020-08-14,14-Aug-2021,200803196561309643103
74,OL SONS INFINITE DEVELOPMENT CORPORATION DOING BUSINESSUNDER THE NAMES AND STYLES OF HARD GLASTEK COMMERCIAL ; HGCTOURIST INN,Corporation,15-Mar-2017,Platinum,Active,2020-08-14,14-Aug-2021,201703173523953315420
75,WESTERN MINDANAO CONSTRUCTION,Single Proprietorship,24-Jul-2007,Platinum,Active,2020-08-14,14-Aug-2021,200707153458244522
76,"WEXHAM MEDICAL RESOURCES, INC.",Corporation,09-Nov-2012,Platinum,Active,2020-08-14,14-Aug-2021,2012116170811734587
77,FRANZZ GAS STATION,Single Proprietorship,14-Jan-2020,Platinum,Active,2020-08-14,14-Aug-2021,20200128732125478210
78,E.M. RIVERA CATERING SERVICES,Single Proprietorship,08-Jul-2005,Platinum,Active,2020-08-14,14-Aug-2021,200507777182516641
79,MEGALITHIC CONSTRUCTION SUPPLIES TRADING,Single Proprietorship,16-Jul-2019,Platinum,Active,2020-08-14,14-Aug-2021,201907326791165999333
80,"RADIO VERITAS GLOBAL BROADCASTING SYSTEM, INC.",Corporation,04-Feb-2014,Platinum,Active,2020-08-14,14-Aug-2021,20140292796429191329
81,GYXIAN TRADING,Single Proprietorship,10-Nov-2010,Platinum,Active,2020-08-14,14-Aug-2021,201011368411754112333
82,SORIANO SURVEYING OFFICE AND SERVICES,Single Proprietorship,17-Dec-2012,Platinum,Active,2020-08-14,14-Aug-2021,20121263291873887475
83,F.MENDOZA ENTERPRISES,Single Proprietorship,20-Sep-2017,Platinum,Active,2020-08-14,14-Aug-2021,201709138419404925657
84,LCI ENVI CORPORATION,Corporation,21-Mar-2011,Platinum,Active,2020-08-14,14-Aug-2021,20110339687283760537
85,MECHANICAL AND CHEMICAL INDUSTRY CORPORATION,Foreign Company Organization,16-Mar-2012,Platinum,Active,2020-08-14,14-Aug-2021,20120350418991018251
86,MUZIK BLAZTER SOUND SYSTEM,Single Proprietorship,28-Aug-2018,Platinum,Active,2020-08-14,14-Aug-2021,201808814681139948901
87,ZHI VENUS INDUSTRIAL SUPPLY,Single Proprietorship,20-Jun-2012,Platinum,Active,2020-08-14,14-Aug-2021,20120654642388085567
88,AZULREM CONSTRUCTION & ENGINEERING SERVICES,Single Proprietorship,27-Apr-2004,Platinum,Active,2020-08-14,24-Aug-2021,20040438612117478545
89,CYCORE TECHNOLOGY SOLUTIONS CO. INC.,Corporation,31-Jul-2008,Platinum,Active,2020-08-14,14-Aug-2021,20080721765716156604
90,KATIGBAK ENTERPRISES (SAN PABLO CITY) INC.,Corporation,12-Jan-2016,Platinum,Active,2020-08-14,14-Aug-2021,201601158274219864879
91,QUADCUBE TECHNOLOGIES INC.,Corporation,29-Dec-2016,Platinum,Active,2020-08-14,02-Oct-2021,2016121878932134619434
92,BLUE MOUNTAIN BUILDERS & GENERAL MERCHANDISE,Single Proprietorship,07-Feb-2011,Platinum,Active,2020-08-14,14-Aug-2021,201102383292031717191
93,LAYMARK MARKETING OPC,Corporation,13-Jul-2020,Platinum,Active,2020-08-14,14-Aug-2021,2020072207731203360552
94,LA GENSOL PLAZA HOTEL INC.,Corporation,03-Jul-2014,Platinum,Active,2020-08-14,14-Aug-2021,2014071069431842611058
95,APSYS SOLUTIONS AND TECHNOLOGIES INC.,Corporation,14-May-2013,Platinum,Active,2020-08-14,14-Aug-2021,201305716081560989436
96,MLVB ENTERPRISE,Single Proprietorship,25-Feb-2014,Platinum,Active,2020-08-14,14-Aug-2021,20140294940965265142
97,CHOWKING ELIZABETH MALL (CHOWFUN INC.),Corporation,14-Feb-2018,Platinum,Active,2020-08-14,14-Aug-2021,201802115012527715042
98,ALPHA-TECH TRADING,Single Proprietorship,27-Feb-2015,Platinum,Active,2020-08-14,19-Aug-2021,201502128144834921905
99,AGEIRON TRADING,Single Proprietorship,16-Nov-2009,Platinum,Active,2020-08-14,14-Aug-2021,200911296361305756804
100,6-26-72 AUTO SPARE PARTS & WORKSHOP,Single Proprietorship,22-Jul-2014,Platinum,Active,2020-08-14,14-Aug-2021,2014071086541734535599
101,MEGA BLUE BUILDERS,Single Proprietorship,23-Mar-2011,Platinum,Active,2020-08-14,14-Aug-2021,20110339756511566394
102,WELLISA FARMS CORPORATION,Corporation,22-Feb-2017,Platinum,Active,2020-08-14,14-Aug-2021,2017021779251017385512
103,BELANCE BUILDERS AND TRADING,Single Proprietorship,04-Jun-2020,Platinum,Active,2020-08-14,14-Aug-2021,2020062177011520697895
104,DIPOLOG SHOPPING CENTER,Single Proprietorship,20-Dec-2013,Platinum,Active,2020-08-14,14-Aug-2021,201312898351847747572
105,BDOC OFFICE FURNITURE,Single Proprietorship,19-Apr-2016,Platinum,Active,2020-08-14,14-Aug-2021,201604168781555771479
106,PHARMPHIL TRADING,Single Proprietorship,05-Feb-2015,Platinum,Active,2020-08-14,14-Aug-2021,20150212594817098591
107,TCO SECURITY AGENCY,Single Proprietorship,12-Sep-2005,Platinum,Active,2020-08-14,14-Aug-2021,20050982692076125496
108,ALBANO CONSTRUCTION AND TRADING,Single Proprietorship,07-Jan-2019,Platinum,Active,2020-08-14,14-Aug-2021,20190161056779139676
109,LENTEX CCTV TRADING AND INSTALLATION REPAIR SERVICES,Single Proprietorship,29-Sep-2016,Platinum,Active,2020-08-14,14-Aug-2021,201609187206831212220
110,"PHELA GRANDE HOTEL, INCORPORATED",Corporation,03-Feb-2009,Platinum,Active,2020-08-14,14-Aug-2021,200902244864255692
111,647 CONSTRUCTION AND DEVELOPMENT CORPORATION,Corporation,04-Feb-2019,Platinum,Active,2020-08-14,14-Aug-2021,201902569361370569191
112,N-GINES TECHNOLOGY INC.,Corporation,31-Aug-2017,Platinum,Active,2020-08-14,14-Aug-2021,201708142754766059054
113,SINDAW PHILIPPINES PERFORMING ARTS GUILD INC.,Corporation,09-Jul-2012,Platinum,Active,2020-08-14,14-Aug-2021,201207555481687921581
114,JEROPIM PUBLISHING HOUSE AND CHRISTIAN BOOKSTORE,Single Proprietorship,29-Sep-2014,Platinum,Active,2020-08-14,14-Aug-2021,2014091154161813152712
115,J AND A ENTERPRISES,Single Proprietorship,09-Jun-2017,Platinum,Active,2020-08-14,14-Aug-2021,201706157492404695699
116,"MV RAM TRADING COMPANY, INC.",Corporation,14-Feb-2007,Platinum,Active,2020-08-14,23-Sep-2021,200702126502068763257
117,IRONCLAD ENGINEERING AND GENERAL SERVICES,Single Proprietorship,11-Jun-2018,Platinum,Active,2020-08-14,14-Aug-2021,20180695250145008322
118,PERE-GREEN AGRI RESOURCES,Single Proprietorship,26-Feb-2013,Platinum,Active,2020-08-14,23-Aug-2021,20130266671913410725
119,PHARMA MED DRUG STORE,Single Proprietorship,11-Dec-2013,Platinum,Active,2020-08-14,26-Aug-2021,201312892721273141163
120,"SAINT JAMES ACADEMY OF SKILLS TECHNOLOGY, INC.",Corporation,11-Dec-2015,Platinum,Active,2020-08-14,14-Aug-2021,2015121564951479648008
121,"MAYAP YA ING DIOS, INC",Corporation,04-Dec-2015,Platinum,Active,2020-08-14,14-Aug-2021,201512155900394390598
122,MEDEXHEALTH CORP.,Corporation,23-Jul-2015,Platinum,Active,2020-08-14,14-Aug-2021,2015071429951923064625
123,LOOK RIGHT ENTERPRISES,Single Proprietorship,26-Aug-2008,Platinum,Active,2020-08-14,14-Aug-2021,20080822093484445963
124,P AND H PHARMA AND MEDICAL SUPPLIES TRADING,Single Proprietorship,18-Jun-2020,Platinum,Active,2020-08-14,14-Aug-2021,2020062186461499884051
125,ADVANCE TECH CONSTRUCTION & TRADING CORP.,Corporation,10-Feb-2012,Platinum,Active,2020-08-13,13-Aug-2021,20120248429908607188
126,JARTAN MARKETING,Single Proprietorship,11-May-2016,Platinum,Active,2020-08-13,13-Aug-2021,201605170808729197785
127,EDITHA R. MABALOT TRADING,Single Proprietorship,26-Mar-2008,Platinum,Active,2020-08-13,13-Aug-2021,200803196551158712859
128,GOLDFIN CONSTRUCTION & DEVELOPMENT CORPORATION,Corporation,16-Apr-2018,Platinum,Active,2020-08-13,13-Aug-2021,2018041045571427416264
129,MACALELON BUILDERS AND GENERAL MERCHANDISE,Single Proprietorship,16-Oct-2014,Platinum,Active,2020-08-13,13-Aug-2021,2014101173611288128586
130,BUTUAN GRAND PALACE HOTEL,Corporation,11-Jul-2013,Platinum,Active,2020-08-13,27-Aug-2021,201307762151740140889
131,"LOVING MOTHER GEN. HOSPITAL & DIAGNOSTIC CENTER, INC.",Corporation,03-May-2018,Platinum,Active,2020-08-13,13-Aug-2021,2018051015832038142396
132,"INFECTIOUS DISEASE DIAGNOSTIC LABORATORY, INC.",Corporation,18-Aug-2015,Platinum,Active,2020-08-13,13-Aug-2021,2015081454741439062588
133,LIGHTHOUSE COOPERATIVE,Cooperative,16-Jul-2003,Platinum,Active,2020-08-13,13-Aug-2021,200307245121059607725
134,"MAYNILAD TOURS & EDUCATIONAL SERVICES, INC.",Corporation,14-Nov-2014,Platinum,Active,2020-08-13,13-Aug-2021,2014111198771395218006
135,R.S JARDIN CONSTRUCTION,Single Proprietorship,28-May-2020,Platinum,Active,2020-08-13,13-Aug-2021,2020052173082105561969
136,SUBIC BAY TRAVELERS HOTEL AND EVENT CENTER,Corporation,14-May-2012,Platinum,Active,2020-08-13,13-Aug-2021,201205528581622750509
137,MARAKESH CONSTRUCTION AND SUPPLY CORPORATION,Corporation,02-Mar-2020,Platinum,Active,2020-08-13,13-Aug-2021,2020032129101084432536
138,FRESHMANGO INC.,Corporation,09-Jul-2012,Platinum,Active,2020-08-13,13-Aug-2021,201207555021971802477
139,CHINA SIX ELEVEN INT'L. SALES,Single Proprietorship,13-Nov-2008,Platinum,Active,2020-08-13,13-Aug-2021,20081123446197486162
140,GULF MED ENTERPRISES,Single Proprietorship,24-Aug-2009,Platinum,Active,2020-08-13,13-Aug-2021,200908282592131122660
141,OJN CONSTRUCTION AND SUPPLY,Single Proprietorship,17-Sep-2012,Platinum,Active,2020-08-13,28-Aug-2021,20120959080179437383
142,STREAMLINE BUILDERS CORPORATION,Corporation,07-Jul-2016,Platinum,Active,2020-08-13,13-Aug-2021,201607176626707202564
143,"BRIGHTBOX, INC.",Corporation,22-Oct-2007,Platinum,Active,2020-08-13,13-Aug-2021,200710171541622777712
144,AFEW CONSTRUCTION,Single Proprietorship,06-Aug-2020,Platinum,Active,2020-08-13,13-Aug-2021,2020082231521710409215
145,TORCHRESEARCH RESOURCES CORP.,Corporation,29-Sep-2009,Platinum,Active,2020-08-13,19-Aug-2021,200909287501386069711
146,BIDWELL ENTERPRISES,Single Proprietorship,11-Jun-2018,Platinum,Active,2020-08-13,13-Aug-2021,20180695012379183186
147,TORRENO PRINTING CORPORATION,Corporation,04-Feb-2016,Platinum,Active,2020-08-13,13-Aug-2021,201602160940512727439
148,DELOUKRIS BUILDERS AND SUPPLY,Single Proprietorship,17-Jun-2009,Platinum,Active,2020-08-13,16-Aug-2021,2009062717876968116
149,AUSPICIA INC.,Corporation,09-Jun-2015,Platinum,Active,2020-08-13,27-Aug-2021,201506138018577865291
150,EDRAE PRINTING AND GENERAL MERCHANDISE,Single Proprietorship,05-Jun-2017,Platinum,Active,2020-08-13,13-Aug-2021,2017061592311434252210
151,EDMAIN CONSTRUCTION,Single Proprietorship,03-Jul-2019,Platinum,Active,2020-08-13,13-Aug-2021,2019073510838161936
152,HPM GENERAL MERCHANDISE,Single Proprietorship,19-Mar-2012,Platinum,Active,2020-08-13,13-Aug-2021,20120350535261292914
153,FONTPAGE PRINTING SERVICES,Single Proprietorship,07-Jul-2014,Platinum,Active,2020-08-13,13-Aug-2021,201407107342811434475
154,K & M SHELL STATION,Single Proprietorship,26-Jan-2017,Platinum,Active,2020-08-13,13-Aug-2021,20170118435450510260
155,SAN MARCELINO BUILDERS INC.,Corporation,04-Sep-2012,Platinum,Active,2020-08-13,13-Aug-2021,20120958309672743454
156,BRONCO ENTERPRISE,Single Proprietorship,05-Oct-2007,Platinum,Active,2020-08-13,22-Aug-2021,20071033164841713800
157,JRV CONSTRUCTION AND SUPPLY,Single Proprietorship,02-Aug-2019,Platinum,Active,2020-08-13,15-Aug-2021,201908299601493593324
158,JHE-ZA DRUGSTORE,Single Proprietorship,11-Nov-2019,Platinum,Active,2020-08-13,13-Aug-2021,20191110913625943915
159,AJ3 ELECTROLINK CORPORATION,Corporation,30-May-2011,Platinum,Active,2020-08-13,16-Aug-2021,20110541408835620596
160,APAYAO SEED PRODUCERS MULTI-PURPOSE COOPERATIVE,Cooperative,01-Oct-2009,Platinum,Active,2020-08-13,17-Sep-2021,200910288161122158724
161,ELEVATE.PH CORPORATION,Corporation,27-Jul-2020,Platinum,Active,2020-08-13,13-Aug-2021,20200722202041722646
162,D.M. BERNALES CONSTRUCTION,Single Proprietorship,04-Mar-2015,Platinum,Active,2020-08-13,13-Aug-2021,201503128647153737400
163,MERCADO CATERING SERVICES,Single Proprietorship,17-Jul-2020,Platinum,Active,2020-08-13,13-Aug-2021,2020072213481020912361
164,BPJ CONSTRUCTION AND SUPPLY,Single Proprietorship,07-Oct-2009,Platinum,Active,2020-08-13,15-Aug-2021,200910289101610312930
165,KJRS CONSTRUCTION ENTERPRISES,Single Proprietorship,11-Apr-2011,Platinum,Active,2020-08-13,13-Aug-2021,201104403651249961619
166,CTA LIQUID ANALYSIS RESOURCES,Single Proprietorship,23-Dec-2019,Platinum,Active,2020-08-13,13-Aug-2021,20191245021521239515
167,MIDAS MBVC TRADING,Single Proprietorship,27-Apr-2018,Platinum,Active,2020-08-13,13-Aug-2021,20180410198746205188
168,D'JARED VIEW CONSTRUCTION CORPORATION,Corporation,13-Jul-2012,Platinum,Active,2020-08-13,13-Aug-2021,201207559122105457837
169,RND CONSTRUCTION,Single Proprietorship,01-Mar-2005,Platinum,Active,2020-08-13,13-Aug-2021,20050367011346672890
170,E.T.T. WHITE HOUSE LUMBER & HARDWARE,Single Proprietorship,07-Feb-2013,Platinum,Active,2020-08-13,13-Aug-2021,20130265592768306872
171,DSM ENTERPRISES,Single Proprietorship,27-Aug-2015,Platinum,Active,2020-08-13,13-Aug-2021,2015081465041205721996
172,ZAFINA MARKETING,Single Proprietorship,21-Oct-2015,Platinum,Active,2020-08-13,13-Aug-2021,2015101521431299185908
173,LTDL BUILDERS,Single Proprietorship,27-Jun-2014,Platinum,Active,2020-08-13,13-Aug-2021,201406106305695802407
174,ERT INDUSTRIAL TRADING CORPORATION,Corporation,24-Jun-2011,Platinum,Active,2020-08-13,15-Aug-2021,201106419541071456062
175,ESPAÑOLA HARDWARE & CONSTRUCTION SUPPLY,Single Proprietorship,11-Aug-2014,Platinum,Active,2020-08-13,16-Aug-2021,201408110616646584208
176,LRK ENTERPRISES,Single Proprietorship,08-Mar-2010,Platinum,Active,2020-08-13,20-Aug-2021,201003326602075029704
177,RAIK CONSTRUCTION AND SUPPLY,Single Proprietorship,27-Feb-2014,Platinum,Active,2020-08-13,13-Sep-2021,20140295200513406640
178,ALNIDA PRINTING AND TRADING,Single Proprietorship,03-Aug-2020,Platinum,Active,2020-08-13,13-Aug-2021,2020082225091675774214
179,MAKEITWORK SOLUTIONS INC.,Corporation,01-Jul-2015,Platinum,Active,2020-08-13,13-Aug-2021,2015071405291440358016
180,RSINFINITY ENTERPRISE,Single Proprietorship,19-Oct-2016,Platinum,Active,2020-08-13,13-Aug-2021,201610189108402453078
181,DELA CALZADA ENTERPRISES,Single Proprietorship,24-Aug-2009,Platinum,Active,2020-08-13,13-Aug-2021,20090828258142202211
182,SKL MAINTENANCE SYSTEMS CORPORATION,Corporation,09-Nov-2001,Platinum,Active,2020-08-13,09-Sep-2021,2001116525890050089
183,SCP CONSTRUCTION,Single Proprietorship,07-Jun-2007,Platinum,Active,2020-08-13,13-Aug-2021,20070614135169604490
184,ADRIANNAH ENTERPRISE,Single Proprietorship,20-Mar-2018,Platinum,Active,2020-08-13,13-Aug-2021,2018031087042088150200
185,V.O. CHUPUICO CONSTRUCTION,Single Proprietorship,20-Feb-2007,Platinum,Active,2020-08-13,13-Aug-2021,200702127491779079464
186,3K.P MANPOWER AGENCY,Single Proprietorship,05-May-2019,Platinum,Active,2020-08-13,16-Aug-2021,201905439951815901204
187,CONSLINE ENTERPRISES,Single Proprietorship,18-Mar-2014,Platinum,Active,2020-08-13,13-Aug-2021,201403971991325327175
188,M.V. CALDO CONSTRUCTION AND SUPPLY CORPORATION (FORMERLYM.V. CALDO ENG'G CONST. AND SUPPLIES),Corporation,13-Jul-2018,Platinum,Active,2020-08-13,13-Aug-2021,2018079016497932820
189,"SANITARY CARE PRODUCTS ASIA, INC.",Corporation,18-Mar-2002,Platinum,Active,2020-08-13,13-Aug-2021,2002035681571074714
190,MAXPRINT ENTERPRISES,Single Proprietorship,01-Jun-2017,Platinum,Active,2020-08-13,13-Aug-2021,201706159560170996693
191,JUST-IN-ONE MARKETING,Single Proprietorship,09-Jul-2007,Platinum,Active,2020-08-13,02-Sep-2021,20070714985162804339
192,"MANCHEM INDUSTRIES, INC.",Corporation,01-Dec-2004,Platinum,Active,2020-08-13,13-Aug-2021,20041258031662711524
