,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
59,T.J. VELASCO CONSTRUCTION & SUPPLY,Single Proprietorship,28-Aug-2003,Platinum,Active,16-Oct-2019,19-Oct-2020,20200218111534036188
60,"EASTERN CONSTRUCTION CO., INC.",Corporation,18-Aug-2003,Platinum,Active,31-Oct-2019,31-Oct-2020,2020061787997937387
61,MACTAN ROCK INDUSTRIES INC.,Corporation,19-Jun-2003,Platinum,Active,24-Sep-2019,22-Oct-2020,20200717011219349124
62,"FOREFRONT BOOK CO., INC.",Corporation,10-Jun-2003,Platinum,Active,08-Jan-2020,08-Jan-2021,20200716741356238868
63,KOLONWEL TRADING,Single Proprietorship,29-May-2003,Platinum,Active,16-Sep-2019,02-Oct-2020,20200216511942704061
64,EVERCON BUILDERS AND EQUIPMENT CORPORATION,Corporation,20-Apr-2003,Platinum,Active,12-Nov-2019,17-Nov-2020,20200615971499821347
65,"TOP-RIGID INDUSTRIAL SAFETY SUPPLY, INC.",Corporation,04-Apr-2003,Platinum,Active,21-Nov-2019,23-Nov-2020,20200215631171175068
66,COMARC CONSTRUCTION SUPPLY,Single Proprietorship,14-Mar-2003,Platinum,Active,22-Oct-2019,22-Oct-2020,20200215252037873661
67,GARVIS CONSTRUCTION CORP.,Corporation,22-Jan-2020,Platinum,Active,28-Jan-2020,28-Jan-2021,20200614861142809132
68,INNOVATIVE CONTROLS INC.,Corporation,22-Feb-2003,Platinum,Active,07-Oct-2019,07-Oct-2020,20200214521283877583
69,GOLDEN DRAGON INDUSTRIAL CORPORATION,Corporation,13-Feb-2003,Platinum,Active,22-Aug-2019,22-Aug-2020,20200714381972210761
70,MLUD ENTERPRISES,Single Proprietorship,12-Feb-2003,Platinum,Active,09-Dec-2019,09-Dec-2020,20200514301694616591
71,MAKAPA CORPORATION,Corporation,05-Feb-2004,Platinum,Active,16-Dec-2019,23-Dec-2020,20200225952004988696
72,"FIRST BALFOUR, INC.",Corporation,03-Feb-2004,Platinum,Active,30-Aug-2019,30-Aug-2020,20200325491166839052
73,"GA PRINTING, INC",Corporation,27-Jan-2004,Platinum,Active,10-Oct-2019,10-Oct-2020,2020022433271565411
74,G.O. LISAY MARKETING,Single Proprietorship,27-Jan-2004,Platinum,Active,24-Jan-2020,01-Feb-2021,20200624311057176855
75,3K BUILDERS,Single Proprietorship,23-Jan-2004,Platinum,Active,12-Dec-2019,12-Dec-2020,20200323911030762754
76,EVER INDUSTRIES MERCHANDISING,Single Proprietorship,21-Jan-2004,Platinum,Active,15-Jan-2020,15-Jan-2021,2020022338614558600
77,"ALOG AND COMPANY, INC.",Corporation,19-Jan-2004,Platinum,Active,02-Jan-2020,09-Jan-2021,20200623111740076499
78,TRIPLE 8 CONST. & SUPPLY INC.,Corporation,19-Jan-2004,Platinum,Active,27-Sep-2019,27-Sep-2020,20200223071649007495
79,AB VISION ENGINEERING CONSTRUCTION,Single Proprietorship,18-Jan-2004,Platinum,Active,04-Oct-2019,12-Oct-2020,2020022284315436730
80,Z.C. FILIPINAS FURNITURE,Single Proprietorship,15-Jan-2004,Platinum,Active,04-Dec-2019,04-Dec-2020,2020022267681326975
81,TRDV CONSTRUCTION AND SUPPLY,Single Proprietorship,16-Jan-2020,Platinum,Active,24-Jan-2020,24-Jan-2021,20200622501307758927
82,HAPPY BOUTIQUE,Single Proprietorship,14-Jan-2004,Platinum,Active,10-Jan-2020,10-Jan-2021,20200722471440777693
83,DOMINUS CONSTRUCTION AND SERVICES CORPORATION,Corporation,07-Jan-2004,Platinum,Active,27-Jan-2020,27-Jan-2021,2020032220730804155
84,"ETIQA LIFE AND GENERAL ASSURANCE PHILIPPINES, INC. DOINGBUSINESS UNDER THE NAMES AND STYLES OF ETIQA PHILIPPINES,ETIQA PHILS., ETIQA, ELGAPI, AND ELGAP",Corporation,15-Jan-2007,Platinum,Active,21-Oct-2019,21-Oct-2020,20200721881550021891
85,RICHMAR CONSTRUCTION,Single Proprietorship,19-Dec-2003,Platinum,Active,27-Jan-2020,27-Jan-2021,2020022180741718528
86,JOUSENN TRADING COMPANY,Partnership,02-Dec-2003,Platinum,Active,21-Nov-2019,21-Nov-2020,2020062108127519675
87,"ALLADO CONSTRUCTION COMPANY, INC.",Corporation,01-Dec-2003,Platinum,Active,07-Aug-2019,07-Oct-2020,20200421061275775410
88,PADER SERVICE STATION,Single Proprietorship,17-Jan-2020,Platinum,Active,27-Jan-2020,27-Jan-2021,2020052087598075516
89,"LT DAUSONS INDUSTRIES, INC.",Corporation,25-Nov-2003,Platinum,Active,08-Aug-2019,24-Sep-2020,2020082082320146189
90,"IONE RESOURCES, INC.",Corporation,25-Nov-2003,Platinum,Active,17-Oct-2019,26-Oct-2020,20200220781754978670
91,"THREE W BUILDERS, INC.",Corporation,09-Mar-2004,Platinum,Active,03-Dec-2019,05-Dec-2020,2020023357343225881
92,GAWIS CONSTRUCTION SERVICES,Single Proprietorship,08-Jan-2020,Platinum,Active,23-Jan-2020,23-Jan-2021,2020073331258503553
93,R.R. ENCABO CONSTRUCTORS INC.,Corporation,08-Mar-2004,Platinum,Active,19-Nov-2019,24-Nov-2020,20200233181372271414
94,NEW PROFILE CONSTRUCTION CO. INC.,Corporation,04-Mar-2004,Platinum,Active,19-Dec-2019,19-Dec-2020,20200632961733489530
95,STEVEN CONSTRUCTION AND SUPPLY,Single Proprietorship,03-Mar-2004,Platinum,Active,18-Nov-2019,19-Nov-2020,2020073249940352542
96,TRAFFIC SIGNAL BUILDERS (TSB) INCORPORATED,Corporation,02-Mar-2004,Platinum,Active,23-Oct-2019,23-Oct-2020,20200732151531044978
97,R. SEMILLA CONSTRUCTION AND MARKETING,Single Proprietorship,27-Feb-2004,Platinum,Active,15-Nov-2019,15-Nov-2020,2020023176469684779
98,MONVIVE CONSTRUCTION & SUPPLY,Single Proprietorship,27-Feb-2004,Platinum,Active,18-Nov-2019,27-Nov-2020,20200631701642130772
99,"WCS CONSTRUCTION, INC.",Corporation,26-Feb-2004,Platinum,Active,24-Jan-2020,12-Mar-2021,2020023122328956695
100,HI-TONE CONSTRUCTION & DEVELOPMENT CORPORATION,Corporation,24-Feb-2004,Platinum,Active,18-Oct-2019,27-Oct-2020,20200230941896765304
101,L.A. ARIZOLA CONSTRUCTION & SUPPLY,Single Proprietorship,24-Feb-2004,Platinum,Active,17-Oct-2019,25-Oct-2020,2020053092241096447
102,"BDM ENTERPRISES, INC.",Corporation,20-Feb-2004,Platinum,Active,06-Jan-2020,08-Jan-2021,2020023030338120586
103,M DEJESICA ENTERPRISES,Single Proprietorship,20-Feb-2004,Platinum,Active,09-Aug-2019,20-Aug-2020,20200830141045471464
104,"BEROVAN MARKETING, INC.",Corporation,20-Feb-2004,Platinum,Active,07-Nov-2019,27-Nov-2020,20200229921755190080
105,RILEM PHARMA CORPORATION,Corporation,18-Feb-2004,Platinum,Active,11-Sep-2019,30-Sep-2020,2020022904351312398
106,"ENGINELINK INTERNATIONAL, CO.",Partnership,14-Feb-2004,Platinum,Active,27-Dec-2019,04-Jan-2021,20200728101384740043
107,SUNWEST CONSTRUCTION AND DEVELOPMENT CORPORATION,Corporation,12-Feb-2004,Platinum,Active,18-Nov-2019,05-Dec-2020,2020022736598738816
108,MEDIC-PRO CORPORATION,Corporation,10-Feb-2004,Platinum,Active,21-Nov-2019,10-Dec-2020,20200627011609298579
109,M.E.G. CONSTRUCTION,Single Proprietorship,14-Jan-2020,Platinum,Active,22-Jan-2020,22-Jan-2021,20200526971234808520
110,DXB CONSTRUCTION,Single Proprietorship,14-Jan-2020,Platinum,Active,28-Jan-2020,28-Jan-2021,20200226041091806827
111,"OMNI HAULING SERVICES, INC.",Corporation,27-Jul-2004,Platinum,Active,27-Nov-2019,04-Dec-2020,20200246411777471200
112,"KEDEM ENTERPRISES, INC.",Corporation,20-Jul-2004,Platinum,Active,23-Jan-2020,29-Jan-2021,20200745482024899650
113,MEDILIGHT INCORPORATED,Corporation,10-Jul-2004,Platinum,Active,14-Jan-2020,23-Jan-2021,2020064431838417845
114,STERITEX MEDICAL SYSTEM,Single Proprietorship,09-Jul-2004,Platinum,Active,17-Jan-2020,05-Feb-2021,20200544071474530751
115,480 BUILDERS,Single Proprietorship,07-Jul-2004,Platinum,Active,19-Sep-2019,19-Sep-2020,202002438942745352
116,SOLEDAD CONSTRUCTION,Single Proprietorship,26-Dec-2019,Platinum,Active,21-Jan-2020,21-Jan-2021,20200743821715619169
117,INFRAWIDE CONSTRUCTION CORPORATION,Corporation,26-Dec-2019,Platinum,Active,08-Jan-2020,08-Jan-2021,2020024354914751336
118,SERCHER DEVELOPMENT CORPORATION,Corporation,16-Jun-2004,Platinum,Active,17-Oct-2019,22-Oct-2020,2020074224176714763
119,PGM CONSTRUCTION AND PLUMBING SERVICES,Single Proprietorship,15-Jun-2004,Platinum,Active,07-Nov-2019,15-Nov-2020,2020074206345857084
120,AZITSOROG INCORPORATED,Corporation,19-May-2004,Platinum,Active,11-Nov-2019,16-Nov-2020,20200239801342715552
121,"COSMOTECH PHILIPPINES, INC.",Corporation,14-May-2004,Platinum,Active,04-Nov-2019,05-Nov-2020,20200739631018020790
122,ALPLAN BUILDERS,Single Proprietorship,06-Jan-2020,Platinum,Active,14-Jan-2020,14-Jan-2021,20200839421589628531
123,KEYSYS INC,Corporation,04-May-2004,Platinum,Active,02-Oct-2019,02-Oct-2020,2020023902999520262
124,4 DOUBLERS TRADING & CONTRACTOR,Single Proprietorship,29-Apr-2004,Platinum,Active,08-Oct-2019,27-Oct-2020,2020033888111420597
125,YVES ENTERPRISES,Single Proprietorship,15-Apr-2004,Platinum,Active,23-Aug-2019,23-Aug-2020,20200237711156011167
126,MASTER BUILDER GENERAL CONTRACTOR INC.,Corporation,06-Jan-2020,Platinum,Active,23-Jan-2020,23-Jan-2021,20200837441300195564
127,CLARENZON MARKETING,Single Proprietorship,01-Apr-2004,Platinum,Active,17-Jan-2020,20-Jan-2021,20200236651836445829
128,INTELISOFT MICROCOMPUTER SYSTEMS,Single Proprietorship,01-Apr-2004,Platinum,Active,25-Sep-2019,25-Sep-2020,20200236331352154103
129,"NEWTOWN MERCHANDISING, INC.",Corporation,21-Mar-2004,Platinum,Active,28-Jan-2020,28-Feb-2021,2020073513125550307
130,E.R. RODRIGUEZ CONSTRUCTION,Single Proprietorship,15-Mar-2004,Platinum,Active,11-Dec-2019,28-Dec-2020,2020073434441423641
131,"SRDP CONSULTING, INC.",Corporation,14-Oct-2004,Platinum,Active,29-Oct-2019,29-Oct-2020,20200254091350742870
132,A.S.S. CONSTRUCTION,Single Proprietorship,13-Oct-2004,Platinum,Active,21-Oct-2019,02-Nov-2020,20200753971254467384
133,FJH CONSTRUCTION AND DEVELOPMENT,Single Proprietorship,12-Dec-2019,Platinum,Active,14-Jan-2020,14-Jan-2021,20200353681998726777
134,ED-VAL ENTERPRISES,Single Proprietorship,12-Oct-2004,Platinum,Active,09-Dec-2019,10-Dec-2020,2020025367296055646
135,RB APOLINARIO CONSTRUCTION SERVICES,Single Proprietorship,16-Dec-2019,Platinum,Active,22-Jan-2020,22-Jan-2021,20200251201444265367
136,ZAS CONSTRUCTION AND SUPPLY,Single Proprietorship,10-Sep-2004,Platinum,Active,24-Jan-2020,15-Feb-2021,2020035113857188583
137,"DEFENSE AND PROTECTION SYSTEMS PHILS, INC.",Corporation,07-Sep-2004,Platinum,Active,04-Sep-2019,06-Sep-2020,2020025068636636868
138,REX E. MORALES CONSTRUCTION,Single Proprietorship,02-Sep-2004,Platinum,Active,27-Nov-2019,15-Dec-2020,2020035049312548710
139,BRIMA CONSTRUCTION & ENTERPRISES,Single Proprietorship,27-Aug-2004,Platinum,Active,04-Sep-2019,13-Sep-2020,20200250041030194385
140,"AGP TRADING, INC.",Corporation,26-Aug-2004,Platinum,Active,24-Oct-2019,24-Oct-2020,2020074990689060931
141,INFRARICH TEKNO CONSTRUK INC,Corporation,17-Dec-2019,Platinum,Active,27-Dec-2019,27-Dec-2020,2020024955905733986
142,ALLIED BOTANICAL CORPORATION,Corporation,11-Aug-2004,Platinum,Active,17-Dec-2019,23-Dec-2020,20200248341651837483
143,J.E. ARRADAZA CONSTRUCTION & SUPPLY,Single Proprietorship,10-Aug-2004,Platinum,Active,21-Nov-2019,06-Dec-2020,20200248322103982414
144,PRE-AN'S ENTERPRISES,Single Proprietorship,06-Aug-2004,Platinum,Active,22-Jan-2020,03-Feb-2021,202007480290663458
145,"DSC, INC.",Corporation,06-Aug-2004,Platinum,Active,27-Aug-2019,27-Aug-2020,20200847961126557955
146,J. H. PAJARA CONSTRUCTION CORPORATION,Corporation,05-Aug-2004,Platinum,Active,16-Aug-2019,29-Sep-2020,20200747801598328304
147,V.S. CERDON IRON WORKS & CONSTRUCTION,Single Proprietorship,04-Aug-2004,Platinum,Active,26-Nov-2019,26-Nov-2020,2020034757949518910
148,METRO GLOBE TRADING,Single Proprietorship,29-Jul-2004,Platinum,Active,21-Nov-2019,22-Nov-2020,20200246871222646806
149,VALLERY ENTERPRISES,Single Proprietorship,29-Jul-2004,Platinum,Active,06-Dec-2019,07-Jan-2021,2020074677353472544
150,FYKER ENTERPRISES,Single Proprietorship,27-Jul-2004,Platinum,Active,21-Oct-2019,27-Oct-2020,20200746572107463558
151,EDANNA CONSTRUCTION,Single Proprietorship,24-Jan-2005,Platinum,Active,06-Dec-2019,11-Dec-2020,2020026145411142128
152,J.B. ALARCON ENTERPRISES,Single Proprietorship,22-Jan-2005,Platinum,Active,02-Sep-2019,10-Sep-2020,2020046131379137502
153,CASIPIT CONSTRUCTION AND SUPPLY,Single Proprietorship,22-Jan-2005,Platinum,Active,19-Nov-2019,19-Nov-2020,20200761291008821240
154,DIAGNOSTICA TRADING,Single Proprietorship,19-Jan-2005,Platinum,Active,06-Nov-2019,19-Dec-2020,20200260991286670837
155,VICENTE T. LAO CONSTRUCTION,Single Proprietorship,17-Jan-2005,Platinum,Active,11-Oct-2019,11-Oct-2020,202006605835887920
156,SHOOTING STAR TRADING,Single Proprietorship,11-Jan-2005,Platinum,Active,19-Nov-2019,28-Nov-2020,20200660021319963461
157,JNGG TRADING,Single Proprietorship,06-Jan-2005,Platinum,Active,04-Sep-2019,04-Sep-2020,2020075964814390352
158,LSDR TRADING AND GENERAL MERCHANDISE,Single Proprietorship,05-Jan-2005,Platinum,Active,18-Dec-2019,18-Dec-2020,2020085953127854375
159,"EYESPY DETECTIVES & INVESTIGATORS, CO.",Partnership,07-Dec-2004,Platinum,Active,18-Dec-2019,05-Jan-2021,202002583371944030
160,FJARR CONSTRUCTION,Single Proprietorship,10-Dec-2019,Platinum,Active,28-Jan-2020,28-Jan-2021,20200557701018177760
161,GATS AND SON CONSTRUCTION DEVELOPMENT CO.,Partnership,10-Dec-2019,Platinum,Active,17-Jan-2020,17-Jan-2021,2020025767906901498
162,LAURENICE ENTERPRISES,Single Proprietorship,10-Dec-2019,Platinum,Active,28-Jan-2020,28-Jan-2021,2020045749803562391
163,"PACIFIC RIM INNOVATION AND MANAGEMENT EXPONENTS, INC.",Corporation,22-Nov-2004,Platinum,Active,23-Dec-2019,23-Dec-2020,20200357301895266232
164,B.L.M. MARKETING,Single Proprietorship,18-Nov-2004,Platinum,Active,10-Oct-2019,10-Oct-2020,20200856831522981156
165,L.N.R. CONSTRUCTION,Single Proprietorship,10-Nov-2004,Platinum,Active,16-Jan-2020,19-Jan-2021,2020075622730957116
166,E.M. CUERPO INC.,Corporation,09-Nov-2004,Platinum,Active,04-Nov-2019,04-Nov-2020,2020075610595014705
167,"EAST-WEST SEED COMPANY, INC.",Corporation,04-Nov-2004,Platinum,Active,06-Jan-2020,26-Jan-2021,20200355761556822718
168,COUNTRYMED ENTERPRISES,Single Proprietorship,31-Oct-2004,Platinum,Active,13-Dec-2019,21-Dec-2020,20200655501196022344
169,GRANBY TRADING & CONSTRUCTION,Single Proprietorship,27-Oct-2004,Platinum,Active,18-Nov-2019,18-Nov-2020,2020025535276997841
170,ANGELES ARCHITECTURE & DESIGN,Single Proprietorship,11-Dec-2019,Platinum,Active,06-Jan-2020,06-Jan-2021,2020035512834132822
171,C.B. GARAY PHILWIDE BUILDERS,Single Proprietorship,18-Mar-2005,Platinum,Active,12-Dec-2019,13-Dec-2020,20200768951934808188
172,"CENIT LIGHTING PHILS., INC.",Corporation,18-Mar-2005,Platinum,Active,26-Nov-2019,26-Nov-2020,2020026881824397905
173,"PACIFIC CONCRETE PRODUCTS, INC.",Corporation,16-Mar-2005,Platinum,Active,17-Oct-2019,19-Oct-2020,20200268641186832620
174,BIMBO CONSTRUCTION & SUPPLY,Single Proprietorship,14-Mar-2005,Platinum,Active,26-Nov-2019,08-Dec-2020,20200368371433096105
175,JAYSABB CONSTRUCTION AND SUPPLY,Single Proprietorship,03-Dec-2019,Platinum,Active,09-Dec-2019,09-Dec-2020,2020066794908396338
176,N N MARTIN CONSTRUCTION,Single Proprietorship,03-Dec-2019,Platinum,Active,18-Dec-2019,18-Dec-2020,20200767911785067799
177,SOOSAN ENS CO. LTD. PHILIPPINES,Corporation,03-Dec-2019,Platinum,Active,06-Dec-2019,06-Dec-2020,20200567781653162587
178,PUERTO BIOCHEMIST DRUG INC.,Corporation,01-Mar-2005,Platinum,Active,11-Dec-2019,11-Dec-2020,2020076691554114457
179,WEARR ENTERPRISES & DEVELOPMENT CORPORATION,Corporation,26-Feb-2005,Platinum,Active,24-Jan-2020,04-Mar-2021,2020026657510303093
180,RRC CONSTRUCTION,Single Proprietorship,23-Feb-2005,Platinum,Active,13-Sep-2019,21-Oct-2020,20200866261547143598
181,PRISMODIAL CONSTRUCTION CORPORATION,Corporation,17-Feb-2005,Platinum,Active,28-Nov-2019,02-Dec-2020,2020076555134359771
182,JONIK TRADING & CONSTRUCTION,Single Proprietorship,11-Feb-2005,Platinum,Active,11-Nov-2019,22-Nov-2020,20200765031168560123
183,"CTC BUILDER AND SUPPLIES, INC.",Corporation,07-Feb-2005,Platinum,Active,11-Nov-2019,16-Nov-2020,2020066410868888994
184,MACMAC ELECTRICAL & CIVIL CONTRACTORS CORPORATION,Corporation,03-Feb-2005,Platinum,Active,07-Nov-2019,16-Nov-2020,20200263411112959764
185,MEDALERT ENTERPRISES,Single Proprietorship,31-Jan-2005,Platinum,Active,20-Jan-2020,20-Jan-2021,20200263061910508442
186,SANDSTORM CONSTRUCTION,Single Proprietorship,27-Jan-2005,Platinum,Active,21-Oct-2019,21-Oct-2020,20200662511822967177
187,TDA CONSTRUCTION,Single Proprietorship,06-Dec-2019,Platinum,Active,22-Jan-2020,22-Jan-2021,2020026214991347068
188,NEO-CARE PHILIPPINES,Single Proprietorship,25-Jan-2005,Platinum,Active,23-Jan-2020,23-Jan-2021,2020026183801100143
189,JNN ENTERPRISE,Single Proprietorship,06-Dec-2019,Platinum,Active,19-Dec-2019,19-Dec-2020,2020026176104232950
190,JOBEL ENTERPRISES,Single Proprietorship,24-Jan-2005,Platinum,Active,21-Nov-2019,29-Nov-2020,2020086173467383015
191,PBAJ CONSTRUCTION AND SUPPLY,Single Proprietorship,28-Nov-2019,Platinum,Active,10-Dec-2019,10-Dec-2020,2020037428993766529
192,BERDIES AGRI-TRADING,Single Proprietorship,25-May-2005,Platinum,Active,22-Aug-2019,28-Aug-2020,2020087423887220014
193,AAAL CONSTRUCTION,Single Proprietorship,28-Nov-2019,Platinum,Active,10-Dec-2019,10-Dec-2020,202007740088436342
