245,Municipality of Hagonoy
246,"City Government of Santa Rosa, Laguna"
247,Municipality of Norzagaray Bulacan
248,DPWH-Palawan 2nd District Engineering Office
249,National Economic and Development Authority RO1
250,"MUNICIPALITY OF ALFONSO, CAVITE BAC"
251,Cagayan Valley Medical Center
252,National Food Authority - Central Luzon Regional Office
253,Municipality of Naujan
254,Benguet General Hospital
255,"LGU - Tagkawayan, Quezon"
256,"LOCAL GOVERNMENT UNIT OF PI\\u00c3\\u2018AN, ZN"
257,AVALON DIAGNOSTIC CENTER
258,DepEd Marinduque
259,Municipality of Naujan
260,Department of Labor and Employment
261,Philippine Science High School - SOCCSKSARGEN Region Campus
262,LGU-Remedios T. Romualdez
263,"LOCAL GOVERNMENT UNIT OF PI\\u00c3\\u2018AN, ZN"
264,Bicol Medical Center
265,"LOCAL GOVERNMENT UNIT OF SANTA MAGDALENA, SORSOGON"
266,BICOL MEDICAL CENTER
267,"Local Government Unit of Hagonoy, Davao del Sur"
268,Southern Philippines Medical Center
269,PROVINCIAL GOVERNMENT OF AURORA
270,"Local Government of Pitogo, Zamboanga del Sur"
271,"Local Government Unit-Morong, Bataan"
272,Department of Health - Metro Manila - Center for Health Development
273,LOCAL GOVERNMENT UNIT OF ALAMADA
274,DPWH REGIONAL OFFICE 3
275,Talisay District Hospital
276,Civil Service Commission Regional Office No. 8
277,Department of Social Welfare and Development - Caraga
278,"LGU, Calanasan, Apayao"
279,"Municipality of Paete, Laguna"
280,Local Government Unit of Dapa
281,Local Government Unit of Dapa
282,"PEOPLE\'S TELEVISION NETWORK, INC."
283,"Municipal Government of Tulunan, Cotabato"
284,MUNICIPALITY OF ALOGUINSAN
285,"LGU-Javier, Leyte"
286,Jose R. Reyes Memorial Medical Center
287,Philippine Council for Health Research and Development
288,PROVINCIAL GOVERNMENT OF AURORA
289,PROVINCIAL GOVERNMENT OF AURORA
290,LGU-Hagonoy
291,National Economic and Development Authority - Regional Office X
292,National Economic and Development Authority Regional Office VII
293,"Philippine Coconut Authority Regions I, II, III & IVB"
294,CIVIL SERVICE COMMISSION REGIONAL OFFICE VI
295,LGU - Dimataling
296,"Municipality of Tanay, Rizal"
297,PLGU QUIRINO
298,"LGU-STA.MAGDALENA,SORSOGON"
299,Bureau of Corrections-Sablayan Prison and Penal Farm
300,Municipal Government of Carmona
301,Department of the Interior and Local Government- Central Office
302,Department of the Interior and Local Government - Central Office
303,"Local Government of Gumaca, Quezon"
304,Department of Health Center for Health Development
305,MABALACAT CITY GOVERNMENT
306,DPWH_Regional Office7
307,DEPARTMENT OF AGRARIAN REFORM - MASBATE
308,Government Procurement Policy Board - Technical Support Office
309,PLGU QUIRINO
310,LGU Tagum City
311,CLMMRH
312,Provincial Government of Bataan
313,Philippine Reclamation Authority
314,"LOCAL GOVERNMENT UNIT OF JUBAN, SORSOGON"
315,"MUNICIPALITY OF PAKIL, LAGUNA"
316,LOCAL GOVERNMENT UNIT-SAN DIONISIO
317,Local Government Unit of Cabanatuan City
318,Barangay Poblacion Alto
319,"LGU- San Nicolas, Batangas"
320,"Municipality of Gumaca, Quezon"
321,Municipal Government of Carmona
322,Municipal Government of Carmona
323,Bangko Sentral ng Pilipinas La Union Regional Office
324,PAROLE AND PROBATION ADMINISTRATION REGION IV-A
325,Government Procurement Policy Board - Technical Support Office
326,Department of Public Works and Highways
327,DPWH CENTRAL OFFICE
328,DEPARTMENT OF SCIENCE AND TECHNOLOGY RO9
329,"MUNICIPALITY OF NABUNTURAN, COMPOSTELA VALLEY"
330,Municipality of Bantay
331,LGU-MOALBOAL
332,Department of Health Central Visayas Center for Health Development
333,"Local Government Unit - Mabitac, Laguna"
334,"MUNICIPALITY OF NABUNTURAN, COMPOSTELA VALLEY"
335,NEDA-RO1
336,LGU_Dipaculao
337,Municipality of Dipaculao Aurora
338,City Government of Valenzuela
339,LGU TOBIAS FORNIER
340,Department of Agriculture Western Visayas
341,Bangko Sentral ng Pilipinas La Union Regional Office
342,"LGU, Remedios T. Romualdez, Agusan del Norte"
343,"LGU - CITY OF NAGA, CEBU"
344,Municipal Government of Nagcarlan
345,West Visayas State Univesity
346,"APO Production Unit, Inc."
347,"Local Government Unit of Catmon, Cebu"
348,"Local Government Unit, Caramoran, Catanduanes"
349,LGU POLANCO
350,Local Government Unit of San Manuel Tarlac
351,LGU MARIPIPI
352,DPWH - Pampanga 1st DEO
353,MUNICIPALITY OF MARCOS ILOCOS NORTE
354,SAMAR STATE UNIVERSITY
355,Department of Agriculture RFO 5
356,Municipality of Kalawit
357,Municipality of Quezon
358,Provincial Government of Batangas
359,City Government of Bi\\u00c3\\u00b1an
360,Department of Public Works and Highways - Zambales 2nd DEO
361,Department of Public Works and Highways- Zambales 2nd DEO
362,LOCAL GOVERNMENT UNIT OF ALAMADA
363,"Municipality of Dingle, Iloilo"
364,LOCAL GOVERNMENT OF BAKUN
365,LGU OZAMIZ CITY
366,Jorome
367,Municipality of Balete
368,Local Government Unit of Aleosan
369,The Provincial Government of Catanduanes
370,"LGU Loreto,Agusan del Sur"
371,PhilRice Los Ba\\u00c3\\u00b1os
372,"LGU San Juan, Siquijor"
373,"LOCAL GOVERNMENT UNIT-CATANAUAN, QUEZON"
374,lgu
375,"Municipal Government of Calatagan, Batangas"
376,LOCAL GOVERNMENT UNIT OF BAKUN
377,LGU Binangonan
378,LGU-Guiuan
379,"MUNICIPALITY OF SALCEDO, ILOCOS SUR"
380,MO-BAC
381,"LOCAL GOVERNMENT UNIT - SOMINOT, ZDS"
382,PAROLE AND PROBATION ADMINISTRATION REGION IV-A
383,"Municipality of Bauan, Batangas"
384,BJMPRO-NCR
385,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - BATANGAS IV DEO
386,"Local Government Unit of Diadi,Nueva Vizcaya"
387,"LGU-Gregorio del Pilar, Ilocos Sur"
388,Authority of the Freeport Area of Bataan
389,"LGU San Juan, Siquijor"
390,"Local Government Unit of Sudipen, La Union"
391,Bangko Sentral ng Pilipinas Tuguegarao Branch
392,DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FO V
393,Authority of the Freeport Area of Bataan
394,City Government of Baguio
395,Municipality of Alimodian
396,Local Government Unit of Oton
397,PLGU Benguet
398,Department of Agrarian Reform - Camarines Sur II
399,MUNICIPAL GOVERNMENT OF CULABA
400,Department of Science and Technology Regional Office 1
401,"MLGU-Kawayan, Biliran"
402,MUNICIPALITY OF LAUA-AN
403,"LGU Josefina, Zamboanga del Sur"
404,DEPARTMENT OF AGRICULTURE REGIONAL FIELD OFFICE 1
405,Energy Regulatory Commission
406,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER
407,LGU - Vallehermoso
408,LGU-Pinamalayan
409,LGU SIGAY
410,Department of Agriculture - Central Office
411,Department of Agriculture - Central Office
412,MUNICIPALITY OF BILIRAN
413,PHILIPPINE FISHERIES DEVELOPMENT AUTHORITY-GENERAL SANTOS FISH PORT COMPLEX
414,GOVERNOR CELESTINO GALLARES MEMORIAL HOSPITAL
415,LGU Banate
416,MUNICIPALITY OF BANATE
417,Local Government Unit of Dapa
418,LGU KIBUNGAN BAC
419,LGU GENERAL LUNA
420,"Municipality of Valencia, Bohol"
421,"LGU-Sinait, Ilocos Sur"
422,"LGU-Rosales, Pangasinan"
423,Department of Transportation
424,Municipality of San Teodoro
425,LGU LA LIBERTAD ZDN
426,WESTERN MINDANAO STATE UNIVERSITY
427,City Government of Butuan
428,LGU LA LIBERTAD
429,CENTER FOR HEALTH DEVELOPMENT - REGION VI
430,National Irrigation Administration - Central Office
431,Municipality of Asturias
432,Municipality of Kalibo
433,Department of Transportation
434,Department of Transportation
435,City Government of Antipolo
436,Barangay Western Bicutan
437,University of the Philippines Los Ba\\u00c3\\u00b1os
438,"Local Government Unit of Titay, Zamboanga Sibugay"
439,LGU BALAMBAN
440,LOCAL GOVERNMENT UNIT OF TITAY
441,DPWH BATANGAS I DISTRICT ENGINEERING OFFICE
442,DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII
443,CITY GOVERNMENT OF VIGAN
444,Local Government Unit of Sapian
445,University of the Philippines Los Ba\\u00c3\\u00b1os
446,LOCAL GOVERNMENT UNIT OF TITAY
447,lipa city government
448,"LGU-MABINI, BATANGAS"
449,CITY GOVERNMENT OF VIGAN
450,DPWH BATANGAS I DISTRICT ENGINEERING OFFICE
451,"Municipality of Wao, Lanao del Sur"
452,LGU DAPA
453,LGU-Bayambang
454,Hon. Barry Y. Baguio
455,PHILIPPINE CARABAO CENTER
456,CAMARINES NORTE STATE COLLEGE
457,"Municipality of Kapatagan, Province of Lanao del Norte"
458,LGU DAGUPAN CITY
459,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC)
460,Province of Antique
461,Municipality of Kalibo
462,"Municipal Government of Compostela, Cebu"
463,PROVINCE OF ANTIQUE
464,lipa city government
465,Land Transportation Office - Central Office
466,LGU -SANTA CRUZ LAGUNA
467,Metropolitan Cebu Water District
468,Local Government Unit - Canlaon City
469,"LGU-Labo, Camarines Norte"
470,PRC Lucena Regional Office
471,PRC MIMAROPA REGIONAL OFFICE
472,Department of Agrarian Reform Camarines Sur 1
473,PRC MIMAROPA REGIONAL OFFICE
474,PRC MIMAROPA REGIONALOFFICE
475,Municipality of Agoncillo
476,LGU-Bayambang
477,LGU-Maasin City
478,Department of Science and Technology - CARAGA
479,"Municipal Government of Angono, Rizal"
480,Roxas City Government
481,"LGU Casiguran, Aurora"
482,"LGU-ROSARIO, LA UNION"
483,LGU CALASIAO PANGASINAN
484,"LGU - Jamindan, Capiz"
485,"Departement of Environment and Natural Resources Region V, Regional Office"
486,"MUNICIPALITY OF PANGLAO, BOHOL"
487,"Local Government Unit of Tampilisan, Zamboanga del Norte"
488,Purchase of Rice for the Indigent Families
489,"Municipality of Wao, Lanao del Sur"
490,LGU- San Miguel Bulacan
491,Municipality of Santo Tomas Pangasinan
492,"Local Government Unit of Casiguran, Aurora"
493,"Municipality of Janiuay, Province of Iloilo"
494,MUNICIPAL GOVERNMENT OF BATAN
495,"LOCAL GOVERNMENT UNIT-DEL GALLEGO, CAMARINES SUR"
496,DAR-PALAWAN
497,CAMARINES NORTE STATE COLLEGE
498,LGU-Santa Ignacia Tarlac
499,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER
500,CITY GOVERNMENT OF CABADBARAN
501,LGU ALABEL
502,Government Service Insurance System
503,City Government of Tacurong
504,City Government of Tacurong
505,Municipality of Calinog
506,Government Service Insurance System
507,LGU SIGAY
508,LGU- Pres.M.A Roxas
509,LOCAL  GOVERNMENT  UNIT  OF  PARACALE
510,Zamboanga City Medical Center
511,LGU Catarman
512,LGU Catarman
513,Zamboanga City Medical Center
514,Tarlac State University
515,"Local Government Unit of Brooke\'s Point, Palawan"
516,Philippine Pharma Procurement Inc.
517,"Food Terminal, Inc."
518,PHILIPPINE INTERNATIONAL TRADING CORPORATION
519,National Irrigation Administration
520,Provincial Local Government Unit of Ifugao
521,Municipality of Gregorio del Pilar
522,Department of Education - Schools Division Office of Albay
523,Department of Health-Center for Health Development-Cordillera Administrative Region
524,LGU Giporlos Eastern Samar
525,Municipality of Tabuelan
526,"MUNICIPALITY OF PATNONGON, ANTIQUE"
527,Municipal Government of Tadian
528,Municipality of Pagbilao
529,Provincial Government of Pangasinan
530,Authority of the Freeport Area of Bataan
531,City Government of Bi\\u00c3\\u00b1an
532,PROVINCIAL GOVERNMENT OF SURIGAO DEL NORTE
533,Municipality of Sablan
534,National Irrigation Administration
535,"Municipal Government of San Vicente, Palawan"
536,DEPARTMENT OF AGRARIAN REFORM-PANGASINAN
537,Kalinga State University
538,Research Institute for Tropical Medicine (RITM-DOH)
539,Research Institute for Tropical Medicine (RITM-DOH)
540,CIty Government of Bayugan
541,Mindano Central Sanitarium
542,LGU Piagapo
543,DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT REGION XII
544,"LGU-Abulug, Cagayan"
545,CITY GOVERNMENT OF PUERTO PRINCESA
546,"Municipality of Carles, Iloilo"
547,Quezon City LGU
548,Quezon City LGU
549,Benguet Provincial Government
550,NORTH LUZON PHILIPPINES STATE COLLEGE
551,LGU MALALAG
552,"Local Government Unit of Brooke\'s Point, Palawan"
553,Municipality of Santa Catalina
554,Municipality of Santa Catalina
555,CITY GOVERNMENT OF KORONADAL
556,Department of Environment and Natural Resources-PENRO Ilocos Sur
557,PROVINCIAL GOVERNMENT OF LAGUNA
558,St. Anthony Mother and Child Hospital
559,Municipality of Montevista
560,Department of Agrarian Reform
561,Ministry of Public Works - BARMM
562,SAN LORENZO RUIZ GENERAL HOSPITAL
563,Civil Service Commission - Regional Office 1
564,"DSWD FO VIII, MAGSAYSAY BOULEVARD, TACLOBAN CITY"
565,TECHNICAL EDUCATION AND SKILLS DEVELOPMENT AUTHORITY REGIONAL OFFICE I
566,"MUNICIPALITY OF CARMEN, CEBU"
567,Philippine Reclamation Authority
568,Bangui Institute of Technology
569,Local Government Unit of Sulop
570,Local Government Unit of Bayawan City
571,Provincial Government of Aklan
572,"Municipality of San Juan, Southern Leyte"
573,Marita L. Flores
574,Sugar Regulatory Administration
575,Local Government Unit of Manjuyod
576,"Local Government Unit of Tiwi, Albay"
577,National Power Corporation
578,DEPARTMENT OF AGRARIAN REFORM REGIONAL OFFICE V
579,Bangko Sentral ng Pilipinas - Batac Branch
580,City Government of Bayugan
581,Civil Service Commission-National Capital Region
582,Department of Agrarian Reform-Regional Office XI
583,LGU-Ragay
584,Benguet Provincial Government
585,"LGU - Bokod, Benguet"
586,Benguet Provincial Government
587,Municipality of Padre Burgos Quezon
588,"LGU - San VIcente, Ilocos Sur"
589,"Municipality of Danao, Bohol"
590,"Local Government Unit of Carmen, Cotabato"
591,"Municipality of Hadji Muhtamad, Basilan"
592,LGU-DAET
593,TESDA La Union Provincial Office
594,Department of Health-Caraga
595,LGU-DAET
596,BATANES GENERAL HOSPITAL
597,DEPARTMENT OF AGRICULTURE - REGIONAL FIELD OFFICE 7
598,"LOCAL GOVERNMENT UNIT OF ATIMONAN, QUEZON"
599,"Municipal Government of Quezon, Bukidnon"
600,LGU VALENCIA
601,"MUNICIPALITY OF QUIRINO, ILOCOS SUR"
602,LGU VALENCIA
603,Local Government Unit of New Bataan
604,DENR - National Capital Region
605,MUNICIPALITY OF VALENCIA NEGROS ORIENTAL
606,DEPARTMENT OF TRADE & INDUSTRY - 9
607,LGU VALENCIA NEGROS ORIENTAL
608,PAROLE AND PROBATION ADMINISTRATION-REGION 6
609,DENR Regional Office No. 1
610,Provincial Government of Palawan
611,Dr. Jose Fabella Memorial Hospital
612,DEPARTMENT OF TRADE & INDUSTRY - 9
613,Municipality of Malvar
614,Barangay Catioan
615,Local Government Unit - Baao
616,LGU Oroquieta
617,"BARANGAY ARANGIN, NAUJAN SK"
618,DEPARTMENT OF AGRICULTURE - REGION III
619,DEPARTMENT OF AGRARIAN REFORM
620,Margosatubig Regional Hospital
621,Philippine Statistics Authority MIMAROPA
622,Social Housing Finance Corporation
623,Sangguniang Kabataan of Barangay Masagana Naujan
624,LUIS HORA MEMORIAL REGIONAL HOSPITAL
625,"Barangay Tagumpay, Naujan SK"
626,"Barangay Inarawan, Naujan, SK"
627,Department of Information and Communications Technology Mindanao Cluster 1
628,DENR PENRO PANGASINAN
629,Department of Agrarian Reform
630,Office of the Solicitor General
631,DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES
632,Philippine National Oil Company
633,Bangko Sentral ng Pilipinas
634,DEPARTMENT OF AGRARIAN REFORM - CATANDUANES
635,City of Manila
636,Panikian Sk
637,SANGGUNIANG KABATAAN NG BRGY PAGKAKAISA NAUJAN
638,City Government of Baguio
639,"Local Government Unit of Maragondon, Cavite"
640,"Municipality of Gitagum, Misamis Oriental"
641,LGU-GENERAL MAMERTO NATIVIDAD
642,Tondo Medical Center
643,"BARANGAY BUCAL 3B, MARAGONDON, CAVITE"
644,"BARANGAY BUCAL 4B, MARAGONDON, CAVITE"
645,"BARANGAY BUCAL 3A, MARAGONDON, CAVITE"
646,PNOC
647,Cebu City Government
648,Province of Zamboanga Del Sur
649,"BARANGAY CAINGIN, MARAGONDON, CAVITE"
650,"BARANGAY GARITA B, MARAGONDON, CAVITE"
651,"BARANGAY BUCAL 2, MARAGONDON, CAVITE"
652,Sangguniang Kabataan ng Barangay San Antonio Naujan
653,"BARANGAY POBLACION 2B, MARAGONDON, CAVITE"
654,"BARANGAY TALIPUSNGO, MARAGONDON, CAVITE"
655,"Barangay Pinagsanhan A, Maragondon, Cavite"
656,"BARANGAY BUCAL 4A, MARAGONDON, CAVITE"
657,Davao City Water District
658,"SK Barangay Adrialuna Naujan, Oriental Mindoro"
659,Municipality of Libungan
660,"BARANGAY PANTIHAN 3, MARAGONDON, CAVITE"
661,Sangguniang Kabataan of Arangin
662,"SK BUCAL 3B, MARAGONDON, CAVITE"
663,"Municipality of Tiwi, Albay"
664,"BARANGAY BUCAL 1, MARAGONDON, CAVITE"
665,Sangguniang Kabataan ng Barangay Inarawan Naujan
666,Municipality of Pulilan
667,Local Government Unit of Naga
668,Sangguniang Kabataan ng Barangay Aurora Naujan
669,Provincial Government of Nueva Ecija
670,Provincial Government of Nueva Ecija
671,Provincial Government of Nueva Ecija
672,Sangguniang Kabataan of Barangay Mahabang Parang
673,Mariveles Mental Wellness And General Hospital
674,Municipality of Looc
675,PROVINCIAL GOVERNEMNT OF AKLAN
676,Office of Civil Defense
677,"BARANGAY PANTIHAN 2, MARAGONDON, CAVITE"
678,Municipality of Batad Iloilo
679,Provincial Government of Bulacan
680,Department of Agriculture Regional Field Office 10
681,Mariveles Mental Wellness And General Hospital
682,DR. JOSE RIZAL MEMORIAL HOSPITAL
683,Municipality of Batad Iloilo
684,"Barangay Mabato, Maragondon, Cavite"
685,"Barangay Patungan, Maragondon, Cavite"
686,"Barangay Poblacion 1A, Maragondon, Cavite"
687,"Barangay Poblacion 1B, Maragondon, Cavite"
688,"Barangay San Miguel B, Maragondon, Cavite"
689,"Barangay Tulay A, Maragondon, Cavite"
690,"Barangay Tulay B, Maragondon, Cavite"
691,"Barangay Pantihan 1, Maragondon, Cavite"
692,"Barangay Pinagsanhan B, Maragondon, Cavite"
693,"Local Government Unit of Balungao, Pangasinan"
694,Sangguniang Kabataan of Barangay Santiago
695,Sangguniang Kabataan of Barangay Mabini
696,"LOCAL GOVERNMENT UNIT OF PRESENTACION, CAMARINES SUR"
697,National Fire Training Institute (Philippine Public Safety College)
698,Department of Social Welfare and Development Field Office VI
699,National Children\'s Hospital
700,"Barangay Poblacion 2A, maragondon, Cavite"
701,Philippine Mining Development Corporation
702,Cebu Technological University
703,National Mapping & Resource Information Authority
704,Provincial Government of Pangasinan
705,"SANGGUNIANG KABATAAN NG BRGY. PAGKAKAISA, NAUJAN"
706,National Mapping & Resource Information Authority
707,BARANGAY MOTODERAZO
708,Local Government Unit - Santa Rosa
709,DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III
710,"Sangguniang Kabataan of Barangay Mahabang Parang, Naujan"
711,Philippine Guarantee Corporation
712,Dept. of Information and Communications Technology
713,Securities and Exchange Commission
714,Sangguniang Kabataan - Tagumpay Naujan
715,"LGU-Gamay,Northern Samar"
716,Bureau of Corrections-NBP
717,Department of Agriculture Region 10
718,"Barangay Pantihan 4, Maragondon, Cavite"
719,Subic Bay Metropolitan Authority
720,PNOC EXPLORATION CORPORATION
721,LGU-Olongapo City
722,Department of Agriculture RFO 8
723,MANILA INTERNATIONAL AIRPORT AUTHORITY
724,"LGU-Mercedes, Eastern Samar"
725,Department of Health - Center for Health Development I
726,Northwest Samar State University
727,Municipal Government of Moncada
728,"Sangguniang Kabataan ng San Nicolas, Naujan"
729,Department of Budget and Management Regional Office No. 7
730,SUPREME COURT OF THE PHILIPPINES
731,"Local Government Unit - Municipality of San Nicolas, Province of Pangasinan"
732,SUPREME COURT OF THE PHILIPPINES
733,BATANGAS MEDICAL CENTER
734,Baguio General Hospital and Medical Center
735,Department of Agrarian Reform-Benguet
736,"LGU- LEMERY, BATANGAS"
737,Local Government Unit of Anao
738,NATIONAL BUREAU OF INVESTIGATION
739,Mindano Central Sanitarium
740,Sangguniang Kabataanng ng Barangay Panikian
741,Philippine Textile Research Institute
742,Municipality of General Nakar
743,Public-Private Partnership Center
744,"Barangay GaritaA, Maragondon, Cavite"
745,Department of Agrarian Reform - Province of Iloilo
746,"Barangay Layong Mabilog, Maragondon, Cavite"
