,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
28,TEAM ALBAY YOUTH ORGANIZATIONS (TAYO) INC.,Corporation,08-Nov-2017,Platinum,Active,02-Jul-2020,02-Jul-2021,2017111295462112025771
29,VERMED DRUG AND PHARMA DISTRIBUTOR,Single Proprietorship,25-Jan-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201201474621505464894
30,JETHRO CONSTRUCTION AND SUPPLY,Single Proprietorship,23-Jun-2016,Platinum,Active,25-Jun-2020,25-Jun-2021,201606175243229199526
31,PAPILOTTE ENTERPRISES,Single Proprietorship,21-Feb-2006,Platinum,Active,26-Jun-2020,26-Jun-2021,20060294921567740690
32,R.C.2 TRADING,Single Proprietorship,13-May-2014,Platinum,Active,26-Jun-2020,26-Jun-2021,2014051017661272459454
33,LUCKY A CONSTRUCTION CORPORATION,Corporation,23-Jul-2014,Platinum,Active,25-Jun-2020,25-Jun-2021,201407108769227493642
34,ROJUNED CONSTRUCTION,Single Proprietorship,21-Aug-2007,Platinum,Active,25-Jun-2020,25-Jun-2021,200708159511376259126
35,M.J. CHALUYEN CONSTRUCTION,Single Proprietorship,07-Oct-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,201910171572020047532
36,CAR ACESS AUTO SUPPLY & GENERAL MERCHANDISE INC.,Corporation,16-Nov-2015,Platinum,Active,30-Jun-2020,30-Jun-2021,201511154274842724128
37,JLM AUTO PARTS,Single Proprietorship,03-Feb-2020,Platinum,Active,28-Jul-2020,28-Jul-2021,2020022093011629390185
38,BLUE DECK ENTERPRISES,Single Proprietorship,17-Aug-2004,Platinum,Active,25-Jun-2020,25-Jun-2021,20040848961794467907
39,GRAND SUCCESS INT'L VENTURES CORP.,Corporation,11-Mar-2009,Platinum,Active,25-Jun-2020,25-Jun-2021,20090326114128870818
40,HIGH TWELVE CONST. & GEN. MDSE.,Single Proprietorship,18-Jan-2005,Platinum,Active,07-Aug-2020,07-Aug-2021,20050160701776970790
41,DLS CONSTRUCTION SUPPLY AND GENERAL MERCHANDISE,Single Proprietorship,15-May-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,2014051021161978868333
42,"ANJO REFRIGERATION & AIRCONDITIONING, SALES, PARTS &SERVICES",Single Proprietorship,22-Sep-2014,Platinum,Active,26-Jun-2020,05-Aug-2021,201409114505282247014
43,P. ZABALA ENTERPRISES,Single Proprietorship,24-Oct-2005,Platinum,Active,07-Jul-2020,07-Jul-2021,2005108638966478870
44,WEST VISAYAS FEDERATION OF MULTI-PURPOSE & SEED PROD COOP,Cooperative,05-Nov-2010,Platinum,Active,25-Jun-2020,25-Jun-2021,201011367611551535454
45,PRINCENA'S MACHINE SHOP,Single Proprietorship,11-May-2014,Platinum,Active,02-Jul-2020,02-Jul-2021,201405101614145523424
46,DELCON CONSTRUCTION,Single Proprietorship,28-Jan-2020,Platinum,Active,15-Jul-2020,15-Jul-2021,202001335270123196
47,COMM BUILDERS & TECHNOLOGY PHILIPPINES CORP.,Corporation,29-Nov-2007,Platinum,Active,06-Jul-2020,23-Jul-2021,20071117807795028068
48,CMGM ENTERPRISES,Single Proprietorship,11-Feb-2011,Platinum,Active,29-Jun-2020,29-Jun-2021,201102384952031954881
49,C.A.Y BUILDING,Single Proprietorship,18-May-2020,Platinum,Active,24-Jul-2020,24-Jul-2021,2020052165731638122231
50,PRINCE OF LOVE TRADING,Single Proprietorship,27-Jun-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,201706154669516426916
51,GARDEN ORCHID HOTEL & RESORT CORPORATION,Corporation,19-May-2008,Platinum,Active,10-Jul-2020,10-Jul-2021,20080520563725733925
52,BMAN CAR SERVICE CENTER,Single Proprietorship,10-Feb-2017,Platinum,Active,26-Jun-2020,26-Jun-2021,2017021806202127798493
53,SYNERMAXX CORPORATION,Corporation,14-Jan-2016,Platinum,Active,01-Jul-2020,01-Jul-2021,201601158573589112980
54,WESTERN VISAYAS ELECTRIC SUPPLIES AND SERVICES CORPORATION,Corporation,09-Jan-2018,Platinum,Active,30-Jun-2020,30-Jun-2021,201801120720959097311
55,JMT GAS STATION,Single Proprietorship,25-Jun-2015,Platinum,Active,26-Jun-2020,05-Aug-2021,201506139913479424794
56,"UNIVERSAL MBF PHARMA (UMP), CO.",Partnership,04-Oct-2013,Platinum,Active,25-Jun-2020,25-Jun-2021,20131083997429211772
57,LS GENERAL MERCHANDISE,Single Proprietorship,08-Jun-2014,Platinum,Active,25-Jun-2020,25-Jun-2021,2014061042621681085297
58,AUTOWELT PH INCORPORATED,Corporation,20-Oct-2015,Platinum,Active,26-Jun-2020,11-Jul-2021,2015101519971452681271
59,KICHIROU ENTERPRISES,Single Proprietorship,24-Jul-2017,Platinum,Active,22-Jul-2020,22-Jul-2021,201707149848845186999
60,PRO DIGITAL IMAGE WORKS INC.,Corporation,16-Oct-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201210939761581356895
61,RAPID LINE TRADING AND INSTALLATION SERVICES,Single Proprietorship,22-Jan-2009,Platinum,Active,29-Jun-2020,29-Jun-2021,20090124232246488012
62,NXS OFFICE SUPPLIES ENTERPRISE,Single Proprietorship,13-Aug-2013,Platinum,Active,26-Jun-2020,26-Jun-2021,20130879244456319057
63,STATESMAN MARKETING,Single Proprietorship,20-Feb-2019,Platinum,Active,29-Jun-2020,29-Jun-2021,201902539512019411486
64,REE COOLING SERVICES,Single Proprietorship,24-Sep-2014,Platinum,Active,26-Jun-2020,26-Jun-2021,201409114905976686702
65,JECA TRADING & CONSTRUCTION,Single Proprietorship,23-Feb-2012,Platinum,Active,30-Jun-2020,30-Jun-2021,201202491381299233564
66,TWINS AND I GENERAL MERCHANDIZE,Single Proprietorship,06-Jun-2019,Platinum,Active,13-Jul-2020,13-Jul-2021,20190639550123262008
67,TECHNOLOGY LINKS INTERNATIONAL CORPORATION,Corporation,12-Jun-2008,Platinum,Active,29-Jun-2020,29-Jun-2021,200806209581599063907
68,ZJC ENTERPRISES,Single Proprietorship,22-Oct-2008,Platinum,Active,26-Jun-2020,31-Jul-2021,20081023010693524438
69,3 DESIE BUILDER SYSTEM,Single Proprietorship,20-Mar-2019,Platinum,Active,29-Jun-2020,29-Jun-2021,20190349680838366258
70,NAJAH CONSTRUCTION SUPPLY,Single Proprietorship,10-Aug-2015,Platinum,Active,26-Jun-2020,03-Jul-2021,20150814464388422854
71,JEPA CONSTRUCTION AND DEVELOPMENT CORPORATION,Corporation,20-May-2002,Platinum,Active,29-Jun-2020,29-Jun-2021,200205778708814439
72,BEECARTINE CONSTRUCTION AND SUPPLY,Single Proprietorship,26-Oct-2006,Platinum,Active,30-Jun-2020,04-Jul-2021,20061011523268239827
73,TWO PILLARS CONSTRUCTION SERVICES,Single Proprietorship,10-Jan-2019,Platinum,Active,29-Jun-2020,01-Jul-2021,201901606221027003097
74,FERRANCULLO MEDICAL CLINIC,Single Proprietorship,22-Jun-2020,Platinum,Active,27-Jul-2020,27-Jul-2021,2020062188301186165652
75,M.G. VILLAMIN CONSTRUCTION,Single Proprietorship,17-Sep-2007,Platinum,Active,26-Jun-2020,26-Jun-2021,20070916483202860042
76,ONE DEXCEL PHARMA INC.,Corporation,18-Jun-2020,Platinum,Active,26-Jun-2020,26-Jun-2021,2020062186702078522554
77,AJM PROVIDENCE BUILDERS & TRADING INC.,Corporation,14-Oct-2014,Platinum,Active,25-Jun-2020,28-Jun-2021,2014101170591133897417
78,ORO OXYGEN CORPORATION,Corporation,14-Sep-2007,Platinum,Active,01-Jul-2020,29-Jul-2021,20070916465199296640
79,JARED CATERING SERVICES AND VENUE RENTAL,Single Proprietorship,15-Mar-2017,Platinum,Active,25-Jun-2020,25-Jun-2021,2017031737292032172460
80,"IEQUITY TECHNOLOGIES, CORPORATION",Corporation,09-May-2011,Platinum,Active,26-Jun-2020,26-Jun-2021,20110540880150341591
81,MMJ GAS STATION,Single Proprietorship,20-Mar-2019,Platinum,Active,29-Jun-2020,29-Jun-2021,20190349685883403307
82,GCPK CONSTRUCTION AND SUPPLY,Single Proprietorship,19-Jun-2019,Platinum,Active,26-Jun-2020,02-Jul-2021,20190637672797115540
83,MNRSQUARED CONSTRUCTION AND TRADING,Single Proprietorship,25-Oct-2012,Platinum,Active,03-Jul-2020,17-Jul-2021,20121061197713820108
84,SOLAR SURVEILLANCE SYSTEM,Single Proprietorship,28-Nov-2014,Platinum,Active,26-Jun-2020,26-Jun-2021,201411121152209324080
85,TRUMPH MOTORCYCLE CORPORATION,Corporation,26-Nov-2019,Platinum,Active,01-Jul-2020,01-Jul-2021,2019118017932669895
86,JORDAN RIVER ENTERPRISES,Single Proprietorship,05-Aug-2013,Platinum,Active,30-Jun-2020,08-Jul-2021,20130878522532665621
87,HIROKI CONSTRUCTION,Single Proprietorship,20-Aug-2018,Platinum,Active,26-Jun-2020,26-Jun-2021,201808827801741015554
88,MANGAGOY VICTORY HARDWARE,Single Proprietorship,18-Jun-2014,Platinum,Active,26-Jun-2020,13-Jul-2021,201406105351616802700
89,EVOLUTIONARY SYSTEMS COMPANY LTD.,Foreign Company Organization,16-Apr-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,201904458422093796331
90,NEW VIC CONSTRUCTION CORPORATION,Corporation,16-Feb-2010,Platinum,Active,29-Jun-2020,29-Jun-2021,201002321101819917657
91,SM PRIMEHOLDINGS INC.,Corporation,10-May-2019,Platinum,Active,27-Jul-2020,27-Jul-2021,201905431451751008296
92,LMB AGRI-FEEDS SUPPLY,Single Proprietorship,11-Feb-2015,Platinum,Active,02-Jul-2020,09-Jul-2021,201502126473294440655
93,HASTING CORPORATION,Corporation,19-Jun-2020,Platinum,Active,29-Jun-2020,29-Jun-2021,2020062187541572711753
94,"JS & V ENTERPRISES, GENERAL CONTRACTOR, INC.",Corporation,24-May-2007,Platinum,Active,06-Jul-2020,06-Jul-2021,200705138182075040327
95,VALLEY CONSTRUCTION AND GENERAL MERCHANDISE,Single Proprietorship,10-Nov-2006,Platinum,Active,26-Jun-2020,26-Jun-2021,200611116691372949004
96,A PLUS ENTERPRISES,Single Proprietorship,08-May-2017,Platinum,Active,26-Jun-2020,26-Jun-2021,2017051640361023762074
97,JSC ENGINEERING SERVICES,Single Proprietorship,16-Feb-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,201702179501168821840
98,ISECURE INTEGRATED BUSINESS SOLUTION INC.,Corporation,26-Mar-2007,Platinum,Active,02-Jul-2020,02-Jul-2021,20070313303323915366
99,VICTA CONSTRUCTION MARKETING & GENERAL SERVICES,Single Proprietorship,31-Oct-2006,Platinum,Active,01-Jul-2020,08-Jul-2021,200610115711114034599
100,NANA TRADING & SERVICES,Single Proprietorship,04-Jun-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,20190639875566647356
101,PRINCEMARK DRUGMARK DISTRIBUTOR,Single Proprietorship,19-Mar-2009,Platinum,Active,26-Jun-2020,26-Jun-2021,200903255762026125303
102,POWERNET SYSTEMS CORPORATION,Corporation,13-May-2002,Platinum,Active,13-Jul-2020,13-Jul-2021,200205744917597550
103,GMZ PRINTING SERVICES,Single Proprietorship,27-Jun-2018,Platinum,Active,30-Jun-2020,30-Jun-2021,201806926942096112200
104,"NAS CONSTRUCTION, INC",Corporation,04-May-2009,Platinum,Active,26-Jun-2020,26-Jun-2021,200905263361612626017
105,LAREEVAN GROCERY,Single Proprietorship,07-Mar-2014,Platinum,Active,02-Jul-2020,02-Jul-2021,20140396038811385701
106,TOPWAYER ENTERPRISE CORP,Corporation,28-May-2019,Platinum,Active,30-Jun-2020,30-Jun-2021,201905408251864395483
107,CAT-B INDUSTRIAL SUPPLIES,Single Proprietorship,05-Jul-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,20190734525412981934
108,J.M. BAYATAN CONSTRUCTION AND SUPPLY,Single Proprietorship,13-Mar-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,20190350747196208561
109,ANDOTEK CORPORATION,Corporation,19-Jun-2020,Platinum,Active,26-Jun-2020,26-Jun-2021,2020062187121159485680
110,EA-EC CONSTRUCTION AND SUPPLY,Single Proprietorship,05-Oct-2007,Platinum,Active,26-Jun-2020,05-Jul-2021,200710168551792640970
111,MAHHA TRADING CO,Partnership,16-Jun-2015,Platinum,Active,29-Jun-2020,29-Jun-2021,201506138809769645348
112,SJR SOLAR POWER ENTERPRISE,Single Proprietorship,31-May-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,201805968241341693930
113,APP CONSTRUCTION AND SUPPLIES,Single Proprietorship,03-Aug-2015,Platinum,Active,29-Jun-2020,18-Aug-2021,2015081440841837042803
114,R.K. ENGINEERING AND CONSTRUCTION WORKS,Single Proprietorship,23-Jan-2004,Platinum,Active,26-Jun-2020,26-Jun-2021,2004012389938296509
115,"BIODEVICES, INC.",Corporation,23-Jul-2009,Platinum,Active,01-Jul-2020,01-Jul-2021,200907278351214954326
116,BC ENTERPRISES,Single Proprietorship,25-May-2005,Platinum,Active,26-Jun-2020,26-Jun-2021,2005057418543678366
117,"STEFAN'S PHARMACEUTICALS, DRUGSTORE,DISTRIBUTOR & GEN.MERCHANDISE",Single Proprietorship,19-Dec-2004,Platinum,Active,26-Jun-2020,15-Jul-2021,20041259251311647975
118,OMICRON CONSTRUCTION,Single Proprietorship,19-Jul-2007,Platinum,Active,01-Jul-2020,09-Jul-2021,200707151941490965566
119,QUEGUES BUILDERS AND ENTERPRISES,Single Proprietorship,21-Sep-2016,Platinum,Active,26-Jun-2020,26-Jun-2021,2016091858221335652183
120,ASISI SYSTEMS CORP,Corporation,21-Jul-2014,Platinum,Active,26-Jun-2020,26-Jun-2021,2014071084691806538953
121,BLUE JADE GENERAL MERCHANDISE,Single Proprietorship,20-Jun-2013,Platinum,Active,29-Jun-2020,29-Jun-2021,201306745301712914123
122,ROCK SPELL EVENTS AND ADVERTISING SERVICES,Single Proprietorship,21-Oct-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,201410117769531953543
123,CORONADO'S FARM PLANT NURSERY,Single Proprietorship,24-Nov-2004,Platinum,Active,26-Jun-2020,26-Jun-2021,200411574589405553
124,ELI EZEKIEL LIGHTING CORPORATION,Corporation,01-Jun-2020,Platinum,Active,26-Jun-2020,26-Jun-2021,202006217378462200462
125,BLUE SNAKE VEHICLE MAINTENANCE SERVICES,Single Proprietorship,10-Nov-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,201411119511446725814
126,SGM CONSTRUCTION,Single Proprietorship,12-May-2015,Platinum,Active,30-Jun-2020,30-Jun-2021,2015051355681230232995
127,S&AMP;P TRUCKING SERVICES,Single Proprietorship,07-Nov-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,20181169344933633542
128,ELPA CONSTRUCTION,Single Proprietorship,23-Jan-2013,Platinum,Active,29-Jun-2020,29-Jun-2021,20130164643803747324
129,CALAMBA SPORTING GOODS AND GENERAL MERCHANDISE,Single Proprietorship,18-Nov-2003,Platinum,Active,26-Jun-2020,03-Jul-2021,20031120491101158946
130,SHOPPERS SAVER COMMERCIAL,Single Proprietorship,19-Aug-2015,Platinum,Active,26-Jun-2020,12-Jul-2021,2015081457961110586289
131,"MISG SECURITY AGENCY, INC.",Corporation,01-Dec-2010,Platinum,Active,30-Jun-2020,30-Jun-2021,201012828261536451584
132,NADER ICHI CORPORATION,Corporation,23-Mar-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,2018031074131338581071
133,GLOBAL DIESEL POWER SYSTEM CORPORATION,Corporation,13-Aug-2013,Platinum,Active,07-Jul-2020,07-Jul-2021,20130879268279796506
134,VANAARDE ELECTRICAL DISTRIBUTOR TRADING & SERVICES,Single Proprietorship,30-Nov-2017,Platinum,Active,20-Jul-2020,20-Jul-2021,2017111257671538915566
135,THREESEVENS MERCHANDISING,Single Proprietorship,14-Jun-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,201906382991031450189
136,RGDG CONSTRUCTION,Single Proprietorship,30-Jan-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201201476821354077598
137,DEQAGON CONSTRUCTION,Single Proprietorship,22-Jun-2020,Platinum,Active,01-Jul-2020,01-Jul-2021,202006218881293207833
138,JAGAS MEDICADENTA CORPORATION / JAGAS DENTAL TRADING JOINTVENTURE,Corporation,30-Sep-2015,Platinum,Active,26-Jun-2020,26-Jun-2021,2015091498451807227184
139,ANGGEK TRADING AND CONSTRUCTION,Single Proprietorship,07-Feb-2011,Platinum,Active,26-Jun-2020,26-Jun-2021,20110238352810996610
140,MILSEB TRADING AND GENERAL MERCHANDISE,Single Proprietorship,19-Feb-2008,Platinum,Active,03-Jul-2020,03-Jul-2021,20080218919658831765
141,YLL BUILDERS,Single Proprietorship,24-Nov-2014,Platinum,Active,30-Jun-2020,30-Jun-2021,201411120728494146154
142,BSA 99 ENTERPRISES INCORPORATED,Corporation,05-Mar-2015,Platinum,Active,26-Jun-2020,26-Jun-2021,201503128841707517057
143,VC VARIN CONSTRUCTION AND HARDWARE SUPPLY,Single Proprietorship,29-Jun-2007,Platinum,Active,26-Jun-2020,26-Jun-2021,20070614788408234241
144,APALLA CONSTRUCTION & SURVEYING SERVICES,Single Proprietorship,01-Jun-2016,Platinum,Active,26-Jun-2020,26-Jun-2021,201606172465380442645
145,ROFMAN TRADING,Single Proprietorship,26-Feb-2007,Platinum,Active,29-Jun-2020,01-Jul-2021,200702128822061244055
146,JMD PLANT NURSERY AND CONCRETE PRODUCTS,Single Proprietorship,16-Sep-2004,Platinum,Active,29-Jun-2020,29-Jun-2021,2004095172335391255
147,ZYRRA KIM MANPOWER SERVICES,Single Proprietorship,20-May-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,201905422921114941330
148,SMPE CONSTRUCTION,Single Proprietorship,17-Apr-2013,Platinum,Active,29-Jun-2020,29-Jun-2021,201304700781758222344
149,MECHAPHIL CORPORATION,Corporation,21-Jul-2004,Platinum,Active,26-Jun-2020,26-Jun-2021,2004074559933071823
150,R.R. TORRES CONSTRUCTION & SUPPLY,Single Proprietorship,01-May-2015,Platinum,Active,26-Jun-2020,26-Jun-2021,2015051346492120232690
151,JOLOC CONSTRUCTION SUPPLIES,Single Proprietorship,21-Dec-2004,Platinum,Active,24-Jul-2020,24-Jul-2021,2004125926376984408
152,JRACS PHARMACEUTICAL DISTRIBUTOR,Single Proprietorship,18-Feb-2004,Platinum,Active,30-Jun-2020,16-Jul-2021,20040219723628361740
153,WSL-ABL INCORPORATED,Corporation,08-Aug-2019,Platinum,Active,25-Jun-2020,25-Jun-2021,201908286131887708016
154,CHARLMELDAY CONSTRUCTION SUPPLY AND SERVICES,Single Proprietorship,27-Dec-2006,Platinum,Active,26-Jun-2020,26-Jun-2021,20061212057119632677
155,N.T.S. TRAVEL AND TOURS,Single Proprietorship,06-Nov-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,201711130539452523277
156,N.T. SEVILLA PHARMA TRADING,Single Proprietorship,01-Apr-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,201704169566458382186
157,CRUISE NEWS FLASH,Single Proprietorship,13-Jul-2012,Platinum,Active,29-Jun-2020,29-Jun-2021,201207558731486115231
158,EA AGL BUILDERS CONSTRUCTION AND SUPPLY CORP.,Corporation,20-May-2020,Platinum,Active,26-Jun-2020,26-Jun-2021,202005216768102201935
159,CAMRAL'S PHARMACY AND GENERAL MERCHANDISE,Single Proprietorship,21-May-2015,Platinum,Active,29-Jun-2020,29-Jun-2021,201505136420132694510
160,R.A. LANTING SECURITY AND INVESTIGATION AGENCY,Single Proprietorship,13-Sep-2007,Platinum,Active,26-Jun-2020,26-Jun-2021,200709164341277534292
161,LIZVIL CONSTRUCTION & SUPPLY,Single Proprietorship,07-May-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,201905436251036103325
162,ARABIAN SURVEYING & CONSTRUCTION,Single Proprietorship,09-Mar-2012,Platinum,Active,29-Jun-2020,29-Jun-2021,201203500321682676174
163,PHILCONST DEVELOPMENT CORPORATION,Corporation,02-Mar-2016,Platinum,Active,29-Jun-2020,29-Jun-2021,2016031637781815590618
164,NORTHMED TECHNOLOGY AND BIOMEDICAL SERVICES,Single Proprietorship,30-Oct-2016,Platinum,Active,29-Jun-2020,29-Jun-2021,2016101908252101096062
165,"D.M. HOUSE CONSTRUCTION, INC.",Corporation,10-Aug-2007,Platinum,Active,14-Jul-2020,14-Jul-2021,20070815783305065885
166,SK HARDWARE & GENERAL MERCHANDISE,Single Proprietorship,17-Dec-2014,Platinum,Active,30-Jun-2020,30-Jun-2021,2014121228041855464880
167,ZIMMONS INDUSTRIES,Single Proprietorship,30-Oct-2013,Platinum,Active,29-Jun-2020,29-Jun-2021,20131086054952449319
168,CELSO C. FERRER CONTRACTOR,Single Proprietorship,14-Jan-2008,Platinum,Active,29-Jun-2020,29-Jun-2021,200801182291145515478
169,J.A. DEVELOPERS AND ENGINEERS,Single Proprietorship,16-Apr-2018,Platinum,Active,26-Jun-2020,26-Jun-2021,201804104462420227462
170,KJM11 CONSTRUCTION AND BUILDERS,Single Proprietorship,08-Dec-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,201712125350575564879
171,MQY ENTERPRISES & CONSTRUCTION SUPPLY,Single Proprietorship,21-Feb-2018,Platinum,Active,25-Jun-2020,25-Jun-2021,2018021136921307148547
172,MOIST GRAPHIC DESIGN AND CREATIVE SERVICES,Single Proprietorship,08-Oct-2010,Platinum,Active,01-Jul-2020,01-Jul-2021,20101036281311185229
173,YSO-TEK GENERAL MERCHANDISE,Single Proprietorship,27-Jan-2015,Platinum,Active,26-Jun-2020,03-Jul-2021,2015011246272100725111
174,TWO A&K AGRICULTURAL NURSERY,Single Proprietorship,08-Jul-2019,Platinum,Active,29-Jun-2020,18-Jul-2021,20190734125597517056
175,HILRACO CONSTRUCTION & SUPPLIES,Single Proprietorship,08-Apr-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,201404991421342045039
176,KM88 CONSTRUCTION INC.,Corporation,27-Nov-2017,Platinum,Active,10-Jul-2020,10-Jul-2021,2017111264262053220809
177,PHENIX GARUDA CONSTRUCTION & DEV'T. CORP.,Corporation,01-Apr-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,2016041674721230637195
178,"MERALCO ENERGY, INC.",Corporation,19-Jun-2012,Platinum,Active,02-Jul-2020,24-Jul-2021,201206545221792699137
179,ATL MARKETING,Single Proprietorship,09-Aug-2010,Platinum,Active,30-Jun-2020,10-Jul-2021,2010083508461122709
180,IIT TRADING,Single Proprietorship,22-Oct-2019,Platinum,Active,07-Jul-2020,07-Jul-2021,20191014009142698953
181,MANINGO AGRIVET SUPPLY,Single Proprietorship,22-Jul-2019,Platinum,Active,30-Jun-2020,06-Aug-2021,20190731499821005504
182,JOHN AND ANN TRAVEL AND TOURS,Single Proprietorship,21-Mar-2019,Platinum,Active,10-Jul-2020,10-Jul-2021,201903494341992976026
183,"GREENSUN AUTOMOTIVE ENTERPRISES, INC.",Corporation,11-Dec-2012,Platinum,Active,10-Jul-2020,10-Jul-2021,20121263141450460430
184,GREEN IMPACT WASTE MANAGEMENT SOLUTIONS,Single Proprietorship,14-Jan-2019,Platinum,Active,29-Jun-2020,29-Jun-2021,201901602791193457203
185,CCF EARTHMOVING CORP.,Corporation,14-May-2013,Platinum,Active,26-Jun-2020,26-Jun-2021,201305716921584728912
186,PLANET DRUGSTORE CORPORATION,Corporation,29-Jan-2008,Platinum,Active,26-Jun-2020,26-Jun-2021,20080118453539830990
