,Unnamed: 0,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
15,15,FHAROYO TRADING,Single Proprietorship,17-Sep-2013,Platinum,Active,29-Jul-2020,29-Jul-2021,201309823731979472292
16,16,ALFO MARKETING,Single Proprietorship,15-May-2007,Platinum,Active,17-Jul-2020,30-Aug-2021,200705136841957453556
17,17,KAI CONSTRUCTION,Single Proprietorship,17-Jun-2009,Platinum,Active,23-Jul-2020,16-Aug-2021,200906272021274871579
18,18,DYNA CARE MEDICAL TRADING,Single Proprietorship,09-Oct-2007,Platinum,Active,17-Jul-2020,17-Jul-2021,200710169312104454220
19,19,ECOLIFT ELEVATOR AND ESCALATOR CORPORATION,Corporation,05-Jun-2017,Platinum,Active,23-Jul-2020,23-Jul-2021,2017061589431835488126
20,20,"RUFINO BRODETH & CO., INCORPORATED",Corporation,23-May-2013,Platinum,Active,20-Jul-2020,13-Sep-2021,20130572347942908058
21,21,THE NEW LAOAG AUTO SUPPLY,Single Proprietorship,22-Oct-2007,Platinum,Active,21-Jul-2020,21-Jul-2021,200710171641715898767
22,22,ADRIANNE'S FOODHOUSE & CATERING SERVICES,Single Proprietorship,22-Apr-2009,Platinum,Active,20-Jul-2020,20-Jul-2021,200904261621982528586
23,23,TANTUCO CONSTRUCTION & TRADING CORPORATION,Corporation,01-Dec-2005,Platinum,Active,03-Aug-2020,03-Aug-2021,20051288982139457881
24,24,GRUPPO TECHNICO MEDICO INTERNATIONALE INC.,Corporation,12-Jun-2014,Platinum,Active,20-Jul-2020,20-Jul-2021,201406104935795702554
25,25,MEDGENIX PHARMACEUTICAL TRADING,Single Proprietorship,17-Jun-2020,Platinum,Active,23-Jul-2020,23-Jul-2021,2020062185741928850807
26,26,FLORIDABLANCA ENVIRO CORPORATION,Corporation,13-Jul-2020,Platinum,Active,28-Jul-2020,28-Jul-2021,2020072208022122760207
27,27,HI-FACTOR IONTECH DIGITAL INDUSTRIES CORPORATION,Corporation,03-Apr-2012,Platinum,Active,22-Jul-2020,17-Aug-2021,201204513591461053195
28,28,F.P. CARREON CONSTRUCTION,Single Proprietorship,24-May-2007,Platinum,Active,20-Jul-2020,20-Jul-2021,200705138161719579336
29,29,HAMYRA GENERAL MERCHANDISE,Single Proprietorship,06-Oct-2010,Platinum,Active,20-Jul-2020,20-Jul-2021,20101036238672580416
30,30,FIRST INFINITY PIPE INCORPORATED,Corporation,01-Jun-2012,Platinum,Active,27-Jul-2020,27-Jul-2021,20120653715196316092
31,31,SMARTBOOKS PUBLISHING,Single Proprietorship,11-May-2006,Platinum,Active,23-Jul-2020,23-Jul-2021,200605101571507314989
32,32,GAB ENTERPRISES,Single Proprietorship,04-May-2016,Platinum,Active,20-Jul-2020,20-Jul-2021,2016051702221462527835
33,33,"GLOBAL MEDICAL SOLUTIONS, INC.",Corporation,05-Jun-2006,Platinum,Active,22-Jul-2020,01-Aug-2021,200606103031126791780
34,34,"MARKETMERGE, INC.",Corporation,19-Mar-2012,Platinum,Active,13-Aug-2020,13-Aug-2021,20120350487505949849
35,35,NIZA BUILDERS AND ALLIED SERVICES CORPORATION,Corporation,05-Sep-2016,Platinum,Active,20-Jul-2020,20-Jul-2021,201609183902164629807
36,36,SARANGANI ROCKMIXER INCORPORATED,Corporation,22-Jan-2004,Platinum,Active,04-Aug-2020,09-Aug-2021,20040123661076106439
37,37,SIX ONE EIGHT SOUVENIRS & GENERAL MERCHANDISE,Single Proprietorship,01-Feb-2016,Platinum,Active,28-Jul-2020,28-Jul-2021,201602160392436113990
38,38,CWME BUILDERS AND SUPPLY,Single Proprietorship,31-Jan-2011,Platinum,Active,12-Aug-2020,12-Aug-2021,201101380972141372207
39,39,GLORIETTA MARKETING CORPORATION,Corporation,22-Jan-2014,Platinum,Active,21-Jul-2020,21-Jul-2021,20140191667795735151
40,40,ND CARANZO BUILDERS AND CONSTRUCTION SUPPLY,Single Proprietorship,24-Mar-2015,Platinum,Active,20-Jul-2020,20-Jul-2021,2015031311101591938294
41,41,C.V. NICOLAS TIRE SUPPLY,Single Proprietorship,20-Dec-2017,Platinum,Active,22-Jul-2020,22-Jul-2021,2017121230071430026124
42,42,"INSTITUTE OF CORPORATE DIRECTORS, INC.",Corporation,20-Apr-2015,Platinum,Active,20-Jul-2020,30-Jul-2021,201504133493975744035
43,43,"MARBAN SECURITY AND INVESTIGATION AGENCY, INC.",Corporation,23-Oct-2009,Platinum,Active,20-Jul-2020,20-Jul-2021,20091029202868360791
44,44,"JOHN-ABBY LAND DEVELOPMENT, INC.",Corporation,03-Apr-2009,Platinum,Active,21-Jul-2020,21-Jul-2021,20090425906981744402
45,45,OPHTHAMED PHARMA CORPORATION,Corporation,10-Oct-2017,Platinum,Active,20-Jul-2020,20-Jul-2021,201710134654449580599
46,46,JOPATS RESORT,Single Proprietorship,22-May-2017,Platinum,Active,27-Jul-2020,27-Jul-2021,2017051614421331846251
47,47,QUALITEK INSPECTION SUPPLIES & SERVICES INC.,Corporation,25-Nov-2011,Platinum,Active,20-Jul-2020,01-Aug-2021,201111457421156551697
48,48,"MICHAEL T. ANG, ARCHITECT",Single Proprietorship,02-Mar-2017,Platinum,Active,20-Jul-2020,20-Jul-2021,201703175857503729643
49,49,NORTHPOINT ALLIANCE MOTORS CORPORATION,Corporation,14-Feb-2014,Platinum,Active,21-Jul-2020,21-Jul-2021,201402937911852454260
50,50,MKAY GENERAL MERCHANDISE,Single Proprietorship,28-Jul-2016,Platinum,Active,24-Jul-2020,02-Aug-2021,201607178870994660085
51,51,PREMIERE POWERLINES PRODUCTS AND BUILDERS CORPORATION,Corporation,27-Mar-2003,Platinum,Active,21-Jul-2020,23-Jul-2021,2003031550122570247
52,52,"REDGOLD FORWARDER, INC.",Corporation,03-Jul-2002,Platinum,Active,28-Jul-2020,31-Jul-2021,2002078652091534309
53,53,B.A. LAGAZO BUILDERS,Single Proprietorship,09-Nov-2009,Platinum,Active,20-Jul-2020,20-Jul-2021,200911295071678826003
54,54,HI-FACTOR CELL AND GADGET'Z CORPORATION,Corporation,07-Jul-2011,Platinum,Active,21-Jul-2020,21-Jul-2021,201107422621346370139
55,55,TMDEE ENTERPRISES,Single Proprietorship,10-Dec-2003,Platinum,Active,20-Jul-2020,30-Jul-2021,20031221571247569927
56,56,JAVAPRO MACHINERY WORKS,Single Proprietorship,24-Nov-2017,Platinum,Active,20-Jul-2020,20-Jul-2021,201711126599579335061
57,57,SANTEH FEEDS CORPORATION,Corporation,07-Oct-2004,Platinum,Active,21-Jul-2020,21-Jul-2021,20041053381595300779
58,58,HEALTHRUSH ENTERPRISES,Single Proprietorship,07-Nov-2018,Platinum,Active,24-Jul-2020,24-Jul-2021,20181169720776021282
59,59,RICHARD GARDEN CENTER AND LANDSCAPING,Single Proprietorship,08-Apr-2015,Platinum,Active,21-Jul-2020,21-Jul-2021,201504132305837749689
60,60,FIRSTLINE PHARMA,Corporation,18-Jul-2019,Platinum,Active,21-Jul-2020,01-Aug-2021,201907322051864948692
61,61,NEXGEN BIODEVICES,Corporation,18-Jul-2019,Platinum,Active,21-Jul-2020,01-Aug-2021,201907321491375964172
62,62,NOVARAE BIOTECH,Corporation,18-Jul-2019,Platinum,Active,21-Jul-2020,01-Aug-2021,2019073215115478715
63,63,CHRISTIAN FAITH TRADING,Single Proprietorship,14-Mar-2011,Platinum,Active,20-Jul-2020,20-Jul-2021,20110339451931218045
64,64,LIXSOURCE TRADING,Single Proprietorship,29-Jul-2017,Platinum,Active,22-Jul-2020,27-Aug-2021,201707148464198726719
65,65,OFFICEBOX ENTERPRISES - MANDAUE,Single Proprietorship,26-May-2011,Platinum,Active,17-Jul-2020,17-Jul-2021,20110541314328126997
66,66,MCBONING CONSTRUCTION ENGINEERING AND SUPPLIES,Single Proprietorship,22-Jun-2020,Platinum,Active,17-Jul-2020,17-Jul-2021,20200621886556761650
67,67,CAYAT PHARMACY,Single Proprietorship,07-Apr-2017,Platinum,Active,03-Aug-2020,03-Aug-2021,20170416894631623508
68,68,MVDC TRADING AND GENERAL MERCHANDISE,Single Proprietorship,04-Aug-2016,Platinum,Active,20-Jul-2020,21-Jul-2021,2016081801902115616042
69,69,VIIKSET BUILDERS & SUPPLY CORPORATION,Corporation,11-Jul-2016,Platinum,Active,21-Jul-2020,21-Jul-2021,2016071768671712056758
70,70,SHOPMORE COMMERCIAL CORPORATION,Corporation,24-Mar-2011,Platinum,Active,23-Jul-2020,23-Jul-2021,201103398491040841463
71,71,IGI CONSTRUCTION TRADING,Single Proprietorship,07-Jul-2020,Platinum,Active,20-Jul-2020,20-Jul-2021,2020072202561969739211
72,72,EM REFRIGERATION AND AIR CONDITIONING SERVICES,Single Proprietorship,13-Nov-2009,Platinum,Active,21-Jul-2020,21-Jul-2021,200911296121488198605
73,73,RASA SURVEYING AND REALTY,Single Proprietorship,09-Aug-2004,Platinum,Active,22-Jul-2020,23-Jul-2021,2004084826764322176
74,74,CYNTHIA LUMELAY GENERAL MERCHANDISE,Single Proprietorship,03-Jul-2014,Platinum,Active,20-Jul-2020,20-Jul-2021,2014071070061309829669
75,75,ARTSONS GENERAL ENGINEERING AND CONSTRUCTION SERVICES,Single Proprietorship,07-Jul-2020,Platinum,Active,20-Jul-2020,20-Jul-2021,2020072202461284579416
76,76,KAITLIANA SCHOOL SUPPLIES TRADING,Single Proprietorship,09-Jul-2020,Platinum,Active,21-Jul-2020,21-Jul-2021,2020072205201368154884
77,77,"CERTIFICATION INTERNATIONAL PHILIPPINES, INC.",Corporation,19-Jun-2007,Platinum,Active,20-Jul-2020,20-Jul-2021,200706144131678217987
78,78,LATORRE BUILDERS & CONSTRUCTION,Single Proprietorship,10-Dec-2004,Platinum,Active,22-Jul-2020,22-Jul-2021,2004125875901175388
79,79,ANNE - ANNE GENERAL MERCHANDISE,Single Proprietorship,08-Jul-2014,Platinum,Active,20-Jul-2020,20-Jul-2021,201407107370200686378
80,80,DANIEL ADAD CONSTRUCTION AND HEAVY EQUIPMENT RENTAL,Single Proprietorship,06-Jul-2018,Platinum,Active,17-Jul-2020,06-Aug-2021,201807912061200536107
81,81,NIPPONDENSO SURPLUS PARTS AND AUTO SUPPLY,Single Proprietorship,27-Apr-2011,Platinum,Active,29-Jul-2020,29-Jul-2021,201104406791672574426
82,82,MARBID'S ENTERPRISES,Single Proprietorship,30-Apr-2013,Platinum,Active,23-Jul-2020,23-Jul-2021,20130470895574681484
83,83,MEA GLASS SUPPLY,Single Proprietorship,13-Feb-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,201502126739123286980
84,84,DHAZEAR TRADING CORP.,Corporation,25-Jun-2020,Platinum,Active,21-Jul-2020,21-Jul-2021,202006219085794563015
85,85,KEISER FOOD HAWZ,Single Proprietorship,22-Mar-2017,Platinum,Active,20-Jul-2020,20-Jul-2021,2017031718671157084363
86,86,CENTRAL NEURO SYSTEMS TRADING CO.,Partnership,28-Apr-2016,Platinum,Active,03-Aug-2020,03-Aug-2021,2016041698691682459592
87,87,CEL DON TRADING,Single Proprietorship,22-Aug-2012,Platinum,Active,20-Jul-2020,26-Jul-2021,201208576911018927571
88,88,WILSON'S INSTANT TREE BANK,Single Proprietorship,25-Jan-2013,Platinum,Active,20-Jul-2020,20-Jul-2021,20130164801562175976
89,89,MEGALITHIC CONSTRUCTION SUPPLIES TRADING,Single Proprietorship,16-Jul-2019,Platinum,Active,14-Aug-2020,14-Aug-2021,201907326791165999333
90,90,NORTHERN CONSTRUCTION AND ALLIED SERVICES,Single Proprietorship,10-Mar-2014,Platinum,Active,22-Jul-2020,28-Aug-2021,20140396266294223476
91,91,"ABM GLOBAL SOLUTIONS, INC.",Corporation,25-Jul-2002,Platinum,Active,21-Jul-2020,21-Jul-2021,20020730259522031381
92,92,KIBZ CATERING SERVICES,Single Proprietorship,16-Jul-2016,Platinum,Active,23-Jul-2020,23-Jul-2021,2016071776741921492407
93,93,C.E. MERCADO CONSTRUCTION,Single Proprietorship,11-Feb-2013,Platinum,Active,24-Jul-2020,24-Jul-2021,201302658901494484478
94,94,PRINZE ADRIAN CONSTRUCTION,Single Proprietorship,29-Feb-2008,Platinum,Active,20-Jul-2020,20-Jul-2021,20080219155954039118
95,95,D' MARKETBEST TRADING,Single Proprietorship,13-Jun-2018,Platinum,Active,17-Jul-2020,22-Jul-2021,201806948581391819528
96,96,"SADDI AGRI-FARM AND TRADING, INC.",Corporation,12-Feb-2020,Platinum,Active,21-Jul-2020,21-Jul-2021,202002210383933704256
97,97,S&J BUILDERS,Single Proprietorship,26-Feb-2019,Platinum,Active,21-Jul-2020,21-Jul-2021,201902532421058239649
98,98,GOLIATH EQUIPMENT SALES CORP,Corporation,20-Jan-2020,Platinum,Active,22-Jul-2020,22-Jul-2021,20200118531961367931
99,99,MRR-J ENTERPRISES,Single Proprietorship,10-Jun-2010,Platinum,Active,30-Jul-2020,30-Jul-2021,20100634013284005054
100,100,"HOMEDEX BUILDING SUPPLIES, INC.",Corporation,04-Oct-2016,Platinum,Active,22-Jul-2020,22-Jul-2021,201610187526296294435
101,101,TRNP CATERING SERVICES,Single Proprietorship,08-Jun-2014,Platinum,Active,24-Jul-2020,24-Jul-2021,201406104327145963992
102,102,POWERSCAN COMPUTER SYSTEM & GENERAL MERCHANDISE,Single Proprietorship,05-Sep-2006,Platinum,Active,22-Jul-2020,22-Jul-2021,200609110141698269491
103,103,"TOWER MEDICAL DISTRIBUTING COMPANY, INC.",Corporation,15-Jun-2001,Platinum,Active,22-Jul-2020,22-Jul-2021,20010673712453865
104,104,KATIGBAK ENTERPRISES (SAN PABLO CITY) INC.,Corporation,12-Jan-2016,Platinum,Active,14-Aug-2020,14-Aug-2021,201601158274219864879
105,105,QUEENTET MANUFACTURING & INDUSTRIAL SUPPLIES & SERVICES INC.,Corporation,10-Jan-2019,Platinum,Active,21-Jul-2020,21-Jul-2021,201901606911432994682
106,106,TABLAS MEGA CONSTRUCTION,Single Proprietorship,01-Feb-2018,Platinum,Active,20-Jul-2020,20-Jul-2021,2018021172661386501825
107,107,"KANLA-ON AUTO SUPPLY, INC.",Corporation,27-Nov-2008,Platinum,Active,23-Jul-2020,23-Jul-2021,200811236631240608657
108,108,UNITED SUSTAINMENT SOLUTIONS CORPORATION,Corporation,10-Apr-2019,Platinum,Active,07-Aug-2020,07-Aug-2021,201904465222058124928
109,109,ILIGAN DATAVISION SALES CENTER,Single Proprietorship,09-Aug-2007,Platinum,Active,22-Jul-2020,22-Jul-2021,200708157541107429282
110,110,BS PHARMA DRUGS AND MEDICAL SUPPLIES,Single Proprietorship,24-Apr-2008,Platinum,Active,21-Jul-2020,22-Jul-2021,20080420151699431590
111,111,WWF MARKETING,Single Proprietorship,28-Aug-2007,Platinum,Active,21-Jul-2020,21-Jul-2021,20070816097961788694
112,112,FILRAD CORPORATION,Corporation,22-Sep-2008,Platinum,Active,17-Jul-2020,17-Jul-2021,20080922528169488109
113,113,NTT LIMITED PHILIPPINE BRANCH,Corporation,14-Jun-2019,Platinum,Active,23-Jul-2020,07-Aug-2021,201906384361589164305
114,114,AIRE CONSTRUCTION SUPPLY AND SERVICES,Single Proprietorship,04-Oct-2019,Platinum,Active,17-Jul-2020,17-Jul-2021,201910175532001368874
115,115,5R CABLENET SERVICES INC.,Corporation,26-Jul-2018,Platinum,Active,14-Aug-2020,16-Aug-2021,20180787414306054888
116,116,ALTAPIL CONSTRUCTION & SUPPLY,Single Proprietorship,24-Jan-2018,Platinum,Active,05-Aug-2020,05-Aug-2021,2018011188561384048128
117,117,S AND A LEARNING SOLUTIONS,Single Proprietorship,23-Apr-2013,Platinum,Active,21-Jul-2020,21-Jul-2021,201304705481346744365
118,118,TRI-AC CONSTRUCTION AND SUPPLY,Single Proprietorship,05-Apr-2019,Platinum,Active,22-Jul-2020,30-Jul-2021,201904469991591667627
119,119,PHIKADEN MEDICAL EQUIPMENT SUPPLY,Single Proprietorship,30-Jul-2017,Platinum,Active,22-Jul-2020,22-Jul-2021,201707148359524078135
120,120,BLUE SAPPHIRE TELECOMS CONSULTANCY AND SERVICES INC.,Corporation,09-Dec-2011,Platinum,Active,22-Jul-2020,29-Jul-2021,201112641441877218080
121,121,JAMBYTES COMPUTER SOLUTIONS,Single Proprietorship,02-Sep-2019,Platinum,Active,22-Jul-2020,22-Jul-2021,20190924028337206392
122,122,IMPACT ONE NATION INDUSTRIAL CORP.,Corporation,11-Sep-2015,Platinum,Active,22-Jul-2020,22-Jul-2021,2015091479581163591443
123,123,"FABRIMETRICS PHILS., INC.",Corporation,03-Sep-2014,Platinum,Active,23-Jul-2020,21-Aug-2021,201409113000395516197
124,124,"AGUA FRIO GARDEN RESORT, INC.",Corporation,24-Aug-2009,Platinum,Active,22-Jul-2020,23-Jul-2021,20090828297903576665
125,125,"ECV OFFICE SUPPLIES WAREHOUSE, INC.",Corporation,07-Jul-2017,Platinum,Active,22-Jul-2020,28-Jul-2021,20170715287416376828
126,126,"THE INTELIGENTE PUBLISHING, INC.",Corporation,07-Apr-2016,Platinum,Active,21-Jul-2020,21-Jul-2021,201604167849540792701
127,127,"VJ GRAPHIC ARTS, INC.",Corporation,04-Apr-2003,Platinum,Active,21-Jul-2020,21-Jul-2021,200304112472036655046
128,128,JCML BUILDERS INC.,Corporation,24-Jun-2019,Platinum,Active,24-Jul-2020,19-Aug-2021,201906368991595089836
129,129,CARLITOS INN,Single Proprietorship,11-Jul-2019,Platinum,Active,21-Jul-2020,21-Jul-2021,20190733535275049578
130,130,NC RODRIGUEZ CONSTRUCTION,Single Proprietorship,09-Mar-2020,Platinum,Active,17-Jul-2020,17-Jul-2021,202003214039899905892
131,131,"TELEDATACOM PHILIPPINES, INC.",Corporation,27-Sep-2005,Platinum,Active,20-Jul-2020,28-Jul-2021,20050983991603976630
132,132,JCR ESH CONSULTANCY INCORPORATED,Corporation,18-Nov-2016,Platinum,Active,22-Jul-2020,10-Sep-2021,201611193046514123237
133,133,EVERGLOW TRADING,Single Proprietorship,17-Jul-2012,Platinum,Active,22-Jul-2020,22-Jul-2021,201207560641261890235
134,134,DAET CURTAIN MASTER AND MERCHANDISE,Single Proprietorship,07-Nov-2017,Platinum,Active,30-Jul-2020,30-Jul-2021,2017111299061155056165
135,135,NIPCON DISTRIBUTORS,Single Proprietorship,19-May-2004,Platinum,Active,21-Jul-2020,30-Jul-2021,2004053978648363043
136,136,ERIC C. BALDO LAND SURVEYING,Single Proprietorship,04-Jun-2019,Platinum,Active,21-Jul-2020,21-Jul-2021,20190639879377623238
137,137,"BUILDHAUS CENTRE, INC.",Corporation,03-Aug-2016,Platinum,Active,23-Jul-2020,23-Jul-2021,20160817987640494461
138,138,PRIMESEARCH SERVICE PROVIDER CORPORATION,Corporation,16-Dec-2016,Platinum,Active,21-Jul-2020,30-Jul-2021,2016121895611829789888
139,139,GP MEDICAL SUPPLIES,Single Proprietorship,17-Mar-2010,Platinum,Active,28-Jul-2020,28-Jul-2021,201003328391691264196
140,140,AVELINO RESORT AND HOTEL,Corporation,22-Oct-2019,Platinum,Active,21-Jul-2020,21-Jul-2021,20191014179152720358
141,141,HAYDEN GENERAL MERCHANDISE,Single Proprietorship,16-Aug-2017,Platinum,Active,21-Jul-2020,24-Jul-2021,2017081454551605550473
142,142,ELEEO CONSTRUCTION AND SUPPLY,Single Proprietorship,11-Jun-2013,Platinum,Active,28-Jul-2020,09-Aug-2021,20130673914900249542
143,143,TREVOR INTERNATIONAL TRADING,Single Proprietorship,15-Mar-2016,Platinum,Active,21-Jul-2020,16-Aug-2021,2016031654001170449046
144,144,ALFREDO D. SANTOS CONSTRUCTION,Single Proprietorship,06-Jun-2013,Platinum,Active,22-Jul-2020,24-Jul-2021,20130673630478415690
145,145,GOLDILOCKS BAKESHOP INC,Corporation,31-Jul-2015,Platinum,Active,22-Jul-2020,22-Jul-2021,201507178418667684315
146,146,"INQBIZION, INC.",Corporation,04-Oct-2016,Platinum,Active,21-Jul-2020,21-Jul-2021,201610187520891644140
147,147,3A'S OFFICE SUPPLIES AND EQUIPMENT TRADING,Single Proprietorship,18-Sep-2019,Platinum,Active,23-Jul-2020,23-Jul-2021,201909207151496931153
148,148,VIZ PHARMACEUTICAL DISTRIBUTION,Single Proprietorship,13-Jul-2006,Platinum,Active,21-Jul-2020,23-Jul-2021,20060710586716149142
149,149,"BROWNSTONE ASIA-TECH, INC.",Corporation,05-Oct-2001,Platinum,Active,20-Jul-2020,08-Sep-2021,2001101821341405361
150,150,MG SAMIDAN CONSTRUCTION,Single Proprietorship,27-Jul-2007,Platinum,Active,21-Jul-2020,21-Jul-2021,20070721939551583991
151,151,CLV GROCERY,Single Proprietorship,17-Mar-2015,Platinum,Active,21-Jul-2020,03-Sep-2021,2015031302541273627774
152,152,EASTERN BASIC PHARMACY,Single Proprietorship,21-Feb-2005,Platinum,Active,21-Jul-2020,21-Jul-2021,2005021873362027657541
153,153,STELSEN SECURITY AGENCY CORPORATION,Corporation,14-Dec-2006,Platinum,Active,27-Jul-2020,27-Jul-2021,20061234794677429
154,154,MARCRIS ENTERPRISES,Single Proprietorship,17-Feb-2016,Platinum,Active,22-Jul-2020,22-Jul-2021,2016021623511600242365
155,155,ACCUCOM SYSTEM SOLUTIONS INC.,Corporation,11-Apr-2018,Platinum,Active,21-Jul-2020,21-Jul-2021,201804105386919406633
156,156,"REGATTA HOTELS,INC.",Corporation,02-Mar-2015,Platinum,Active,23-Jul-2020,23-Jul-2021,201503128342994330868
157,157,CT FERRER TRADING,Single Proprietorship,31-May-2018,Platinum,Active,29-Jul-2020,29-Jul-2021,201805967141435274211
158,158,RD COBACHA CONSTRUCTION,Single Proprietorship,24-Sep-2005,Platinum,Active,22-Jul-2020,30-Jul-2021,20050983761420457210
159,159,AUTOKID SUBIC TRADING CORPORATION,Corporation,23-Jul-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,201507142935765728105
160,160,PALATABLE CORPORATION,Corporation,23-Apr-2020,Platinum,Active,21-Jul-2020,21-Jul-2021,202004215731269764163
161,161,"ANJENE INDUSTRIES, INC.",Corporation,30-May-2011,Platinum,Active,21-Jul-2020,21-Jul-2021,201105413941346885064
162,162,MISCHA KWIN MERCHANDISING,Single Proprietorship,18-Nov-2016,Platinum,Active,23-Jul-2020,23-Jul-2021,2016111932001303369624
163,163,LUZVIMINDA ENGINEERING,Single Proprietorship,11-Jul-2007,Platinum,Active,23-Jul-2020,24-Jul-2021,20070715059195900921
164,164,DE LOS SANTOS MEDICAL CENTER,Corporation,11-Feb-2013,Platinum,Active,04-Aug-2020,04-Aug-2021,201302659151283707872
165,165,LINK_NETWORK SOLUTIONS INC.,Corporation,22-May-2008,Platinum,Active,21-Jul-2020,28-Jul-2021,20080520614222811864
166,166,AJ70 TRADING,Single Proprietorship,14-Jan-2008,Platinum,Active,24-Jul-2020,30-Jul-2021,20080118233266859963
167,167,ALIMED PHARMACY,Single Proprietorship,10-Jul-2020,Platinum,Active,13-Aug-2020,13-Aug-2021,202007220727685124966
168,168,NEW CBPP PALAWAN ENTERPRISES,Single Proprietorship,07-Feb-2011,Platinum,Active,22-Jul-2020,22-Jul-2021,201102383401694096481
169,169,"LEXICON PRESS, INC.",Corporation,01-Oct-2007,Platinum,Active,23-Jul-2020,23-Jul-2021,200710167291658603657
170,170,OLIVAN HARDWARE DEPOT INC.,Corporation,23-Jun-2017,Platinum,Active,23-Jul-2020,23-Jul-2021,201706155181746039681
171,171,"WS PACIFIC PUBLICATIONS, INC.",Corporation,17-Jul-2007,Platinum,Active,24-Jul-2020,24-Jul-2021,200707151611934767066
172,172,PHILIPPINE GAMING MANAGEMENT CORPORATION,Corporation,23-Jun-2017,Platinum,Active,28-Jul-2020,07-Aug-2021,2017061551691879470100
173,173,ADLIGHTS INCORPORATED,Corporation,18-Mar-2014,Platinum,Active,21-Jul-2020,21-Jul-2021,20140396995281595646
174,174,"SANDMAN SOFTWARE SYSTEMS, INC",Corporation,30-Jul-2019,Platinum,Active,23-Jul-2020,15-Aug-2021,20190730626949242130
175,175,BRIDGECOM ENTERPRISES CO. INC.,Corporation,10-Jun-2013,Platinum,Active,13-Aug-2020,13-Aug-2021,20130673824500585293
176,176,VRJ WRIGHTMED CORP.,Corporation,09-Jul-2019,Platinum,Active,30-Jul-2020,06-Aug-2021,20190734038461935768
177,177,PROVINCIAL COOPERATIVE UNION OF DAVAO,Cooperative,15-Mar-2013,Platinum,Active,21-Jul-2020,21-Jul-2021,201303684051735163863
178,178,SPEED CURE PHARMA,Single Proprietorship,25-Jan-2011,Platinum,Active,21-Jul-2020,21-Jul-2021,201101379651511815721
179,179,JM OLBES MARKETING,Single Proprietorship,07-May-2009,Platinum,Active,05-Aug-2020,05-Aug-2021,200905264411432410179
180,180,JGO BUILDERS,Single Proprietorship,11-Oct-2017,Platinum,Active,21-Jul-2020,31-Jul-2021,2017101342671309237386
181,181,MKD ENTERPRISES,Single Proprietorship,21-Nov-2017,Platinum,Active,21-Jul-2020,21-Jul-2021,2017111272441783503687
182,182,LFH SUITE REALTY CORPORATION,Corporation,06-Jan-2016,Platinum,Active,21-Jul-2020,28-Aug-2021,2016011578202145953790
183,183,TAGUM BUILDERS CONTRACTORS CORPORATION,Corporation,28-Aug-2013,Platinum,Active,23-Jul-2020,19-Aug-2021,20130880142233232896
