,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
29,R.A.G. CORONA CONSTRUCTION AND AGGREGATES SUPPLY,Single Proprietorship,27-Apr-2015,Platinum,Active,11-May-2020,31-May-2021,2015041340651213645875
30,GC CONSTRUCTION,Single Proprietorship,26-Mar-2015,Platinum,Active,11-May-2020,28-May-2021,2015031314671375065407
31,PASCAL CONSTRUCTION,Single Proprietorship,15-Mar-2010,Platinum,Active,10-Jun-2020,10-Jun-2021,201003327431555385793
32,KALINGA PRINTING PRESS AND GENERAL MERCHAMDISE,Single Proprietorship,08-Jun-2018,Platinum,Active,08-Jun-2020,08-Jun-2021,20180695454388897759
33,ZF CONSTRUCTION,Single Proprietorship,02-Aug-2004,Platinum,Active,11-May-2020,11-May-2021,20040847201043692999
34,KALINGA AGRI VET SUPPLY AND GENERAL MERCHANDISE,Single Proprietorship,08-Jun-2018,Platinum,Active,26-May-2020,26-May-2021,2018069545065604263
35,LOURBEL CONSTRUCTION & SUPPLY,Single Proprietorship,27-Feb-2012,Platinum,Active,14-May-2020,14-May-2021,20120249247852486818
36,LPO1 GROUP OF COMPANIES INC.,Corporation,27-Mar-2019,Platinum,Active,18-May-2020,18-May-2021,201903484201881864272
37,NEM CONSTRUCTION SUPPLIES & SERVICES,Single Proprietorship,14-Aug-2014,Platinum,Active,07-May-2020,07-May-2021,2014081111691452884535
38,TONICHE FOODHAUS AND CATERING SERVICES,Single Proprietorship,28-Aug-2013,Platinum,Active,30-Jun-2020,30-Jun-2021,201308798901562331672
39,"OMNIBUS BIO-MEDICAL SYSTEMS, INC.",Corporation,08-Mar-2002,Platinum,Active,11-May-2020,20-May-2021,20020315909264550544
40,LANAO BUILDER & ENTERPRISES,Single Proprietorship,22-May-2007,Platinum,Active,11-May-2020,20-May-2021,200705137732146755418
41,BRILLANTES CONSTRUCTION,Single Proprietorship,29-Jan-2005,Platinum,Active,11-May-2020,11-May-2021,2005016283995392849
42,TMI RESORT,Single Proprietorship,06-May-2019,Platinum,Active,14-May-2020,14-May-2021,201905438781100658696
43,LIGHT & SHADE CONSTRUCTION,Single Proprietorship,28-Jun-2016,Platinum,Active,12-May-2020,07-Jun-2021,201606175504912458710
44,GPM TRADING & ENGINEERING SERVICES,Single Proprietorship,22-Mar-2010,Platinum,Active,12-May-2020,12-May-2021,20100332933156063504
45,"AZ COMMUNICATIONS NETWORK, INC.",Corporation,16-Jul-2002,Platinum,Active,18-May-2020,18-May-2021,200207143731330060366
46,A AND A'S EATERY AND CATERING SERVICES,Single Proprietorship,18-May-2017,Platinum,Active,12-May-2020,12-May-2021,201705162153816302873
47,SVETLANA'S GEN. MERCHANDISE,Single Proprietorship,10-Sep-2012,Platinum,Active,11-May-2020,30-May-2021,201209586421464040482
48,ALMAKAR BUILDERS & METAL WORKS,Single Proprietorship,23-Dec-2003,Platinum,Active,11-May-2020,11-May-2021,2003122198168325266
49,LUCENA FRESH AIR HOTEL,Single Proprietorship,30-Jun-2014,Platinum,Active,19-May-2020,19-May-2021,2014061064801102477031
50,AMIANAN CONSTRUCTION,Single Proprietorship,02-Mar-2010,Platinum,Active,13-May-2020,13-May-2021,2010033246137889707
51,JOAS GENERAL SUPPLY AND CATERING SERVICES,Single Proprietorship,08-Jan-2020,Platinum,Active,11-May-2020,11-May-2021,20200133111686329283
52,SHEIL-MAR TRADING,Single Proprietorship,18-Mar-2005,Platinum,Active,11-May-2020,11-May-2021,200503691492583902
53,STRENGTH MEDICAL AND DRUG SUPPLY,Single Proprietorship,28-Dec-2016,Platinum,Active,11-May-2020,16-May-2021,2016121882201678688164
54,SUGPON MULTI-PURPOSE COOPERATIVE,Cooperative,22-Sep-2010,Platinum,Active,14-May-2020,14-May-2021,20100935954710436996
55,LBPASCUAL INFORMATION TECHNOLOGY SOLUTIONS,Single Proprietorship,11-Feb-2019,Platinum,Active,16-Jun-2020,16-Jun-2021,201902558151556854454
56,FEDUCO TREE NURSERY AND AGRO FOREST PLANTATION,Single Proprietorship,13-May-2010,Platinum,Active,11-May-2020,11-May-2021,20100533598225986290
57,CS CONSTRUCTION AND SUPPLY,Single Proprietorship,19-Dec-2005,Platinum,Active,11-May-2020,11-May-2021,2005129027772336847
58,"WE ARE IT PHILIPPINES, INC.",Corporation,25-May-2006,Platinum,Active,13-May-2020,22-May-2021,200605265321805518552
59,CLEAN BORDERS SHORETRADE CORP.,Corporation,28-Apr-2016,Platinum,Active,01-Jun-2020,01-Jun-2021,2016041697931103885568
60,(FMEI)-FERNANDO MEDICAL ENTERPRISES INC.,Corporation,30-May-2001,Platinum,Active,26-May-2020,21-Jun-2021,200105571720173177
61,SAN ANTONIO DE PADUA GLASS SUPPLY,Single Proprietorship,18-Dec-2018,Platinum,Active,12-May-2020,12-May-2021,20181262403955945145
62,ST. PADRE PIOS GARDEN,Single Proprietorship,13-Oct-2014,Platinum,Active,13-May-2020,13-May-2021,201410116693758633780
63,THREE N' ONE ENTERPRISES,Single Proprietorship,20-Apr-2010,Platinum,Active,02-Jun-2020,02-Jun-2021,201004333091826184662
64,NOE`S BUILDERS,Single Proprietorship,06-Sep-2013,Platinum,Active,27-May-2020,23-Jun-2021,20130981445462876096
65,RM ESPALDON ENTERPRISES,Single Proprietorship,19-Jul-2010,Platinum,Active,01-Jun-2020,01-Jun-2021,201007346681373195563
66,AMAZING FIND BUILDERS CORPORATION,Corporation,09-Feb-2015,Platinum,Active,18-May-2020,28-May-2021,201502126226386199153
67,EXECOM COMPUTER SALES & SERVICES,Single Proprietorship,08-Apr-2019,Platinum,Active,12-May-2020,12-May-2021,201904469431448894175
68,CONECTA PACIFIC MEDTRADE INC.,Corporation,11-Mar-2002,Platinum,Active,11-May-2020,11-May-2021,2002035331065395188
69,SUNGEM PHARMA,Single Proprietorship,09-Jul-2008,Platinum,Active,11-May-2020,21-May-2021,20080721438210706275
70,PRINDI CONSTRUCTION,Single Proprietorship,23-Aug-2011,Platinum,Active,11-May-2020,11-May-2021,201108434591432313326
71,TOBES BUILDERS AND SUPPLY CORPORATION,Corporation,05-May-2020,Platinum,Active,12-May-2020,12-May-2021,2020052160751082663020
72,"LANDEVTECH CONSTRUCTION, INC.",Corporation,12-Apr-2016,Platinum,Active,11-May-2020,11-May-2021,2016041682651782363268
73,STUARHT CONSTRUCTION SUPPLY & GENERAL MERCHANDISE,Single Proprietorship,11-Nov-2019,Platinum,Active,11-May-2020,11-May-2021,201911108591944410685
74,IGO MARKETING,Single Proprietorship,08-Dec-2008,Platinum,Active,12-May-2020,24-May-2021,200812237761773211443
75,LANDAM CONSTRUCTION,Single Proprietorship,18-Mar-2020,Platinum,Active,13-May-2020,13-May-2021,2020032148541664698651
76,LAKEE PHARMA INC.,Corporation,09-Jan-2017,Platinum,Active,11-May-2020,16-May-2021,201701187003737299668
77,"TACLOBAN TAP COMMERCIAL, INC.",Corporation,02-Aug-2002,Platinum,Active,11-May-2020,08-Jun-2021,200208926985947350
78,GNF GENERAL MERCHANDISE,Single Proprietorship,25-May-2005,Platinum,Active,11-May-2020,20-May-2021,2005057416512271406
79,ALLIED PACIFIC PACKAGING SOLUTIONS CORPORATION,Corporation,28-May-2012,Platinum,Active,11-May-2020,11-May-2021,201205535021596585047
80,MICAH - NAOMI ENTERPRISES,Single Proprietorship,09-Jul-2010,Platinum,Active,11-May-2020,11-May-2021,20100734516489404042
81,MBM CONSTRUCTION,Single Proprietorship,13-Feb-2014,Platinum,Active,12-May-2020,12-May-2021,20140293708123830626
82,PRIME GENIUVATIONS TRADING CORP,Corporation,31-Jan-2019,Platinum,Active,19-May-2020,19-May-2021,201901574521642019051
83,RABB CONSTRUCTION AND SUPPLY,Single Proprietorship,17-Mar-2020,Platinum,Active,14-May-2020,14-May-2021,202003214672811909748
84,JOHN 6:51 BUILDERS,Single Proprietorship,02-May-2014,Platinum,Active,18-May-2020,30-May-2021,2014051009721224744915
85,FILBOOT MANUFACTURING CORPORATION,Corporation,10-Apr-2002,Platinum,Active,19-May-2020,20-May-2021,2002046261307058822
86,MAR-VEL CONSTRUCTION & SUPPLY,Single Proprietorship,18-Sep-2002,Platinum,Active,02-Jun-2020,02-Jun-2021,20020910371814535040
87,HARD SHELL DESIGN AND CONSTRUCTION,Single Proprietorship,07-Jun-2016,Platinum,Active,14-May-2020,14-May-2021,201606173085316710425
88,KPB CONSTRUCTION SERVICES AND GENERAL MERCHANDIZE,Single Proprietorship,03-Jul-2014,Platinum,Active,12-May-2020,12-May-2021,2014071069611010417745
89,RJD ENTERPRISES,Single Proprietorship,02-Mar-2018,Platinum,Active,14-May-2020,14-May-2021,2018031119452145087665
90,SIX STARS TRADING,Single Proprietorship,08-Oct-2014,Platinum,Active,12-May-2020,12-May-2021,2014101163441146037015
91,BDSCIENTIA MEDICAL AND DIAGNOSTIC SUPPLIES,Single Proprietorship,21-May-2015,Platinum,Active,13-May-2020,20-May-2021,201505136456734383670
92,DREAM CIRCUITS ELECTRONIC SUPPLIES AND ALLIED SERVICES,Single Proprietorship,31-Mar-2009,Platinum,Active,18-May-2020,18-May-2021,200903258271580071970
93,MAKK BUILDERS,Single Proprietorship,15-May-2013,Platinum,Active,11-May-2020,14-May-2021,201305717451709931935
94,JAKE RAMYL GENERAL MERCHANDISE AND SUPPLIES,Single Proprietorship,23-Sep-2016,Platinum,Active,11-May-2020,29-May-2021,2016091861081801274262
95,JDRC CONSTRUCTION & SUPPLIES,Single Proprietorship,05-Nov-2009,Platinum,Active,11-May-2020,16-May-2021,200911294121337994039
96,V.S. LAUNGAYAN HARDWARE & CONSTRUCTION SUPPLY,Single Proprietorship,14-Mar-2014,Platinum,Active,12-May-2020,12-May-2021,201403968191832116383
97,CEBU TOPSTRONG HARDWARE SUPPLIES INC,Corporation,22-Apr-2015,Platinum,Active,20-May-2020,20-May-2021,201504134536351293686
98,MMK CONSTRUCTION AND SUPPLY,Single Proprietorship,05-Dec-2019,Platinum,Active,19-May-2020,19-May-2021,2019126368289954232
99,PHOENICIANS INTERNATIONAL MARKETING,Single Proprietorship,14-Jun-2012,Platinum,Active,12-May-2020,18-May-2021,20120654382989718114
100,ILOILO YCADALE TRADING,Single Proprietorship,21-Jan-2008,Platinum,Active,14-May-2020,14-May-2021,200801183241319085084
101,REDSOIL AGRICULTURAL PRODUCTS CORP.,Corporation,29-Apr-2020,Platinum,Active,18-May-2020,18-May-2021,2020042159081501438028
102,LKS TRADING AND GENERAL SERVICES CORPORATION,Corporation,05-Jan-2015,Platinum,Active,22-Jun-2020,22-Jun-2021,2015011233021957735215
103,JODANS AIRE MARKETING,Single Proprietorship,20-Oct-2009,Platinum,Active,18-May-2020,18-May-2021,200910291201194621519
104,JODANS ENGINEERING,Single Proprietorship,22-Jun-2012,Platinum,Active,18-May-2020,18-May-2021,201206547671397382968
105,WINEARCH VENTURES CORPORATION,Corporation,01-Aug-2019,Platinum,Active,12-May-2020,12-May-2021,20190830054548660309
106,"PARTNERS' CHOICEMED, INC.",Corporation,30-May-2014,Platinum,Active,18-May-2020,05-Jun-2021,2014051035181012182874
107,"CIM TECHNOLOGIES, INC.",Corporation,18-Dec-2000,Platinum,Active,13-May-2020,13-May-2021,200012111914806768
108,OCEAN BOUNTIES SEAFOOD MARKET &AMP; RESTAURANT,Single Proprietorship,22-Nov-2018,Platinum,Active,13-May-2020,13-May-2021,20181166215864565599
109,ALGON ENGINEERING CONSTRUCTION CORPORATION,Corporation,24-May-2007,Platinum,Active,12-May-2020,18-May-2021,20070513834893937258
110,SYRL ENGINEERING WORKS AND SUPPLY,Single Proprietorship,22-Mar-2017,Platinum,Active,12-May-2020,16-May-2021,2017031715721750062599
111,AGOO PRINTING PRESS,Single Proprietorship,15-Feb-2005,Platinum,Active,12-May-2020,12-May-2021,20050265211818959020
112,CANDOL'S ENTERPRISES,Single Proprietorship,10-Sep-2019,Platinum,Active,13-May-2020,13-May-2021,201909223971258319305
113,PMEJIA CONSTRUCTION AND SUPPLIES,Single Proprietorship,06-Oct-2017,Platinum,Active,28-May-2020,28-May-2021,2017101352441590330576
114,HIGH AND MILES CONSTRUCTION,Single Proprietorship,09-Feb-2005,Platinum,Active,12-May-2020,12-May-2021,2005026446453387279
115,"NERA (PHILIPPINES), INC.",Corporation,20-Sep-2002,Platinum,Active,12-May-2020,12-May-2021,20020910692072699190
116,CHEMPRO ENTERPRISES,Single Proprietorship,22-May-2008,Platinum,Active,13-May-2020,13-May-2021,20080520622346244685
117,LIFE AND HEALTH SOURCE PHARMACEUTICAL DISTRIBUTION CO.,Partnership,16-Sep-2015,Platinum,Active,18-May-2020,05-Jun-2021,201509148555471596968
118,RC LIM MARKETING,Single Proprietorship,08-Feb-2005,Platinum,Active,13-May-2020,20-May-2021,20050264261324983010
119,"L.R. TIQUI BUILDERS, INC.",Corporation,17-Aug-2005,Platinum,Active,13-May-2020,20-May-2021,2005088056572566831
120,NASHE ENTERPRISES,Single Proprietorship,04-Sep-2001,Platinum,Active,13-May-2020,13-May-2021,200109152345684386
121,DIAGEM MEDICAL SUPPLY CORPORATION,Corporation,28-Apr-2010,Platinum,Active,20-May-2020,29-May-2021,201004334241125792959
122,A. COSTA ENTERPRISES,Single Proprietorship,06-Nov-2006,Platinum,Active,13-May-2020,13-May-2021,2006111160723838325
123,E.L. ANDAYA RICE STORE,Single Proprietorship,08-Jan-2020,Platinum,Active,14-May-2020,14-May-2021,20200132792058133340
124,LUCKY TIGER ENTERPRISES,Single Proprietorship,10-Mar-2016,Platinum,Active,12-May-2020,12-May-2021,2016031649082004821972
125,"AQUA HAUS, INC",Corporation,08-Aug-2008,Platinum,Active,18-May-2020,18-May-2021,200808219171498166487
126,LITTLE MOM CATERING SERVICES,Single Proprietorship,21-Oct-2013,Platinum,Active,03-Jun-2020,03-Jun-2021,20131085299173874911
127,GEDAN FOOD SERVICES,Single Proprietorship,12-Feb-2015,Platinum,Active,20-May-2020,20-May-2021,201502126621513944563
128,5'S CONSTRUCTION & SUPPLY,Single Proprietorship,09-Jul-2007,Platinum,Active,12-May-2020,12-May-2021,200707149681154292138
129,G-FORCE ENTERPRISES,Single Proprietorship,20-Oct-2009,Platinum,Active,12-May-2020,12-May-2021,2009102912695666740
130,REX TOURIST INN,Single Proprietorship,24-Jan-2013,Platinum,Active,18-May-2020,18-May-2021,20130164726174432187
131,AL-FAHDEL CONSTRUCTION & ENGINEERING,Single Proprietorship,15-Jun-2007,Platinum,Active,12-May-2020,12-May-2021,20070614301807834213
132,ASTERDEN SUPPLIES AND GEN. MERCHANDISE CORP,Corporation,11-Oct-2018,Platinum,Active,12-May-2020,12-May-2021,201810735862008613570
133,MICROGENETIX INC.,Corporation,13-Feb-2014,Platinum,Active,13-May-2020,13-May-2021,20140293660649897515
134,CASA REY FRANCIS PENSION HOUSE & RESTAURANT,Single Proprietorship,23-Apr-2014,Platinum,Active,14-May-2020,25-Jun-2021,20140410003141254572
135,M.G. SERRANO ENTERPRISE,Single Proprietorship,02-Mar-2009,Platinum,Active,13-May-2020,22-May-2021,200903251041092172519
136,MULTI- SCAN CORPORATION,Corporation,11-Apr-2002,Platinum,Active,19-May-2020,27-May-2021,2002046321640649242
137,JJ CONSTRUCTION AND INDUSTRIAL SUPPLIES TRADING,Single Proprietorship,15-Jan-2020,Platinum,Active,12-May-2020,12-May-2021,2020012430541465119
138,RML CONSTRUCTION SUPPLY,Single Proprietorship,05-Oct-2009,Platinum,Active,13-May-2020,13-May-2021,200910288521819686094
139,LOIZA'S PAVILION,Single Proprietorship,19-Feb-2009,Platinum,Active,12-May-2020,31-May-2021,200902249031113246301
140,VIKING CONSTRUCTION & SUPPLIES,Single Proprietorship,09-Mar-2005,Platinum,Active,12-May-2020,12-May-2021,20050368091101983100
141,NARROW CREEK HARDWARE INC,Corporation,03-Feb-2017,Platinum,Active,12-May-2020,08-Jun-2021,2017021820501789695309
142,AMDI CONSTRUCTION,Single Proprietorship,06-Jul-2011,Platinum,Active,12-May-2020,12-May-2021,201107422181542410841
143,DIANNE BUILDERS,Single Proprietorship,28-Jan-2008,Platinum,Active,20-May-2020,22-May-2021,20080118421541464412
144,ABC EDUCATIONAL DEVELOPMENT CENTER,Single Proprietorship,03-Oct-2005,Platinum,Active,13-May-2020,13-May-2021,20051084561427234607
145,ARCINUE COMM'L. CORPORATION,Corporation,02-Jun-2005,Platinum,Active,14-May-2020,14-May-2021,20050674841154275539
146,"P & J AGRICULTURAL TRADING, INC.",Corporation,18-Apr-2002,Platinum,Active,18-May-2020,28-May-2021,2002046621324182703
147,LVRO CONSTRUCTION AND SUPPLY,Single Proprietorship,15-Jul-2004,Platinum,Active,14-May-2020,18-May-2021,2004074480576417587
148,L.B. LEONCIO TRADING AND CONSTRUCTION,Single Proprietorship,23-Nov-2006,Platinum,Active,14-May-2020,10-Jun-2021,200611117851179459009
149,CVR AGGREGATES,Single Proprietorship,21-Nov-2017,Platinum,Active,13-May-2020,30-May-2021,2017111282981011145407
150,PHARMASERV EXPRESS INC,Corporation,29-Jan-2016,Platinum,Active,14-May-2020,14-May-2021,201601160275597234893
151,CHRISWILL TRADING,Single Proprietorship,28-Jun-2018,Platinum,Active,13-May-2020,13-May-2021,201806924151792725566
152,NONABON ENTERPRISES,Single Proprietorship,02-Feb-2008,Platinum,Active,13-May-2020,13-May-2021,20080218560474326619
153,CLA CONSTRUCTION,Single Proprietorship,01-Oct-2007,Platinum,Active,14-May-2020,28-May-2021,200710167371732308528
154,JBR CONSTRUCTION SUPPLIES TRADING,Single Proprietorship,11-Mar-2019,Platinum,Active,14-May-2020,14-May-2021,201903511091982599659
155,MAC TYCOON MARKETING,Single Proprietorship,23-Aug-2004,Platinum,Active,13-May-2020,13-May-2021,2004084950818695824
156,ER SALAC BUILDERS CORPORATION,Corporation,26-Feb-2014,Platinum,Active,12-May-2020,12-May-2021,201402950581199561801
157,WILLTORR CONSTRUCTION,Single Proprietorship,03-Jul-2007,Platinum,Active,13-May-2020,23-May-2021,200707148301814621599
158,B5 BUILDERS AND SUPPLIES,Single Proprietorship,12-Feb-2007,Platinum,Active,12-May-2020,12-May-2021,200702126071290869
159,PRESTIGE ADVANCE SYSTEMS INC.,Corporation,17-Oct-2005,Platinum,Active,12-May-2020,12-May-2021,20051085921443047081
160,PRICEWATERHOUSE COOPERS PVT LTD,Foreign Company Organization,22-Oct-2019,Platinum,Active,13-May-2020,13-May-2021,201910141031217115420
161,BROWNSTEEL PRIME PARTS & SERVICES CORPORATION,Corporation,19-Jul-2007,Platinum,Active,19-May-2020,24-May-2021,20070715208551041060
162,"INCA PHILIPPINES, INC.",Corporation,07-Jul-2004,Platinum,Active,14-May-2020,19-Jun-2021,2004074378383556894
163,BQPC CORPORATION,Corporation,08-Jul-2013,Platinum,Active,13-May-2020,13-May-2021,201307758291350821075
164,HI-DENSITY INTERNATIONAL CONSTRUCTION AND DEVELOPMENT INC.,Corporation,01-Apr-2019,Platinum,Active,01-Jun-2020,24-Jun-2021,20190447750133713255
165,J.R.A. AGRI SUPPLY & GENERAL MERCHANDISE,Single Proprietorship,27-Jun-2014,Platinum,Active,12-May-2020,23-May-2021,20140610638289534433
166,HAFF CONSTRUCTION AND SUPPLIES,Single Proprietorship,07-Apr-2017,Platinum,Active,14-May-2020,14-May-2021,201704168807830790110
167,LEARY CONSTRUCTION AND SUPPLY,Single Proprietorship,06-Feb-2017,Platinum,Active,14-May-2020,15-May-2021,20170218148510271538
168,GEFF ENTERPRISES,Single Proprietorship,13-Jul-2011,Platinum,Active,14-May-2020,14-May-2021,20110742437119688940
169,B.M. SANTOS TRADING,Single Proprietorship,16-Jun-2010,Platinum,Active,14-May-2020,14-May-2021,201006341161874866492
170,SYMON ENGINEERING AND CONSTRUCTION,Single Proprietorship,02-Dec-2013,Platinum,Active,13-May-2020,13-May-2021,201312885702109518697
171,CASSEY AND PAOLO'S GENERAL MERCHANDISE,Single Proprietorship,08-Sep-2014,Platinum,Active,19-May-2020,19-May-2021,2014091134171057609451
172,DICON BUILDERS CORPORATION,Corporation,16-Jul-2008,Platinum,Active,13-May-2020,16-May-2021,200807215511916568872
173,SHARAMALLE CONSTRUCTION AND GENERAL ENGINEERING,Single Proprietorship,28-Dec-2016,Platinum,Active,13-May-2020,20-May-2021,2016121881361724681727
174,STA. MARCELA GASOLINE STATION,Single Proprietorship,30-Jan-2020,Platinum,Active,13-May-2020,13-May-2021,2020012090961111365359
175,"REGINA SHIPPING LINES, INC.",Corporation,03-Aug-2007,Platinum,Active,19-Jun-2020,19-Jun-2021,20070815591248214480
176,CYENNE BUILDERS & SUPPLY,Single Proprietorship,19-Aug-2015,Platinum,Active,14-May-2020,14-May-2021,201508145842609911520
177,POWERZONE PETROLEUM PRODUCTS CORPORATION,Corporation,25-Jun-2007,Platinum,Active,14-May-2020,14-May-2021,200706145661134122279
178,JIMWELL BUILDERS,Single Proprietorship,26-May-2016,Platinum,Active,12-May-2020,10-Jun-2021,2016051720211899525883
179,BUILDWAYS CONSTRUCTION & SUPPLY,Single Proprietorship,21-Oct-2011,Platinum,Active,18-May-2020,18-May-2021,201110449551781566848
180,MONTPHIL CONSTRUCTION CORP.,Corporation,28-May-2007,Platinum,Active,14-May-2020,24-May-2021,200705138971219496253
181,PRINCE TECHNOLOGIES CORPORATION,Corporation,12-Apr-2004,Platinum,Active,19-May-2020,19-May-2021,20040437321871243221
182,TWO ACES CONSTRUCTION AND SUPPLY,Single Proprietorship,21-Aug-2006,Platinum,Active,28-May-2020,28-May-2021,20060810884944268726
183,MONTAÑO CONSTRUCTION & DEVELOPMENT CORPORATION,Corporation,28-May-2007,Platinum,Active,14-May-2020,21-May-2021,200705139011908253894
184,B. L. CABAL ENTERPRISES & HARDWARE,Single Proprietorship,07-Dec-2018,Platinum,Active,13-May-2020,13-May-2021,201812637171702672767
185,"ITS SCIENCE (PHILS), INC",Corporation,23-Jun-2008,Platinum,Active,18-May-2020,18-May-2021,2008067531273791036
186,JSQUARED CONSTRUCTION,Single Proprietorship,14-Jan-2019,Platinum,Active,18-May-2020,18-May-2021,201901602541687938433
187,JMB-PETROLEUM CORP,Corporation,21-May-2019,Platinum,Active,09-Jun-2020,09-Jun-2021,20190541755463665818
188,"ORMOC MACMERCURY HARDWARE & ALLIED SERVICES, INC.",Corporation,28-Nov-2003,Platinum,Active,14-May-2020,14-May-2021,2003112102552518298
189,PATRICK CARENDERIA,Single Proprietorship,12-Sep-2012,Platinum,Active,13-May-2020,05-Jun-2021,201209587861597031795
190,SUNSHINE SAPPHIRE CONSTRUCTION & SUPPLY,Single Proprietorship,24-Apr-2017,Platinum,Active,14-May-2020,14-May-2021,201704166013721748201
191,A4V TECHNICAL AND INDUSTRIAL CORPORATION,Corporation,25-Sep-2007,Platinum,Active,28-May-2020,28-May-2021,200709166311018205776
192,ZIRCON ENGINEERING SERVICES AND SUPPLY,Single Proprietorship,26-Feb-2019,Platinum,Active,13-May-2020,14-May-2021,201902532802090224823
193,LEIGHCHEEN CONSTRUCTION CORPORATION,Corporation,21-Sep-2015,Platinum,Active,13-May-2020,17-May-2021,2015091490191031899740
194,3GS TRADING,Single Proprietorship,10-May-2017,Platinum,Active,13-May-2020,21-May-2021,201705163537380831561
195,"FIL-ANASERVE, INC.",Corporation,20-Sep-2005,Platinum,Active,13-May-2020,28-May-2021,20050990255815012818
