Procuring Entity name,Edited Start Date,Amount Awarded
Department of Labor and Employment Regional Office No. VIII,2020-06-26,84892500.0
Department of Agriculture Western Visayas,2020-05-27,84625000.0
Department of Health,2020-07-17,84480000.0
DPWH_Regional Office7,2020-07-13,83997999.9
Department of Labor and Employment Regional Office No. VIII,2020-06-22,82784000.0
Provincial Government of Nueva Ecija,2020-05-01,80411250.0
Department of Public Works and Highways,2020-07-06,79984975.83
Department of Labor and Employment Regional Office No. VIII,2020-07-06,79984975.83
City Government of Taguig,2020-04-15,76462992.73
City Government of Taguig,2020-04-20,75000000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-09,74000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-26,73105200.0
Department of Labor and Employment Regional Office No. VIII,2020-07-06,72500000.0
Department of Agriculture Western Visayas,2020-05-20,70225000.0
City Government of Taguig,2020-04-21,65680250.0
Department of Health,2020-03-24,64790000.0
CITY GOVERNMENT OF PUERTO PRINCESA,2020-05-21,64400000.0
City Government of Taguig,2020-05-21,63051750.0
Local Government Unit of Cabanatuan City,2020-04-29,62253877.5
Department of Health,2020-06-01,61218000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-13,57000000.0
Department of Health Center for Health Development,2020-05-04,54800000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-15,54000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,53200000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-21,51000000.0
City Government of Taguig,2020-05-06,50164000.0
City Government of Taguig,2020-04-14,50000000.0
City Government of Taguig,2020-04-29,50000000.0
Department of Agriculture RFO 5,2020-05-08,50000000.0
City Government of Taguig,2020-05-08,50000000.0
Department of Health,2020-04-30,49920000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-14,49500000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-27,49500000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,49310368.01
Department of Labor and Employment Regional Office No. VIII,2020-05-06,49000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,49000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,49000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,48700000.0
DPWH Regional Office III,2020-04-22,48450131.34
Department of Labor and Employment Regional Office No. VIII,2020-04-16,48000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,48000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,48000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-06,48000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-25,48000000.0
CIty Government of Bayugan,2020-04-21,47995000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-25,47181000.0
Southern Philippines Medical Center,2020-04-22,46500000.0
Southern Philippines Medical Center,2020-04-22,46500000.0
Department of Health,2020-06-01,45981000.0
DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,2020-05-08,45000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-04,45000000.0
Rizal Provincial Government,2020-06-17,44400000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,44000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-15,43400000.0
Department of Agriculture RFO 5,2020-05-08,42666465.0
Department of Agriculture RFO 5,2020-05-08,42666465.0
LGU - CITY OF NAGA,2020-04-27,42425000.0
City Government of Taguig,2020-05-21,42034500.0
DPWH_Regional Office7,2020-07-13,41998763.84
City Government of Taguig,2020-06-05,40000000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-06,40000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-01,40000000.0
Provincial Government of Nueva Ecija,2020-04-27,39900000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,39500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-13,39200000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,38328480.0
Department of Agriculture RFO 5,2020-05-08,38032392.0
Department of Labor and Employment Regional Office No. VIII,2020-05-12,37960000.0
City Government of Taguig,2020-04-29,37900000.0
Department of Health,2020-07-16,37440000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-17,36750000.0
City Government of Biñan,2020-04-23,36640000.0
City Government of Butuan,2020-05-15,36040000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,35437500.0
Provincial Government of Bulacan,2020-03-20,35299000.0
City Government of Biñan,2020-04-23,35112500.0
City Government of Biñan,2020-04-23,35112500.0
Department of Labor and Employment Regional Office No. VIII,2020-05-07,35000000.0
Provincial Government of Batangas,2020-06-10,34803959.0
City Government of Butuan,2020-05-18,34747052.25
City Government of Taguig,2020-04-06,34374040.0
Department of Labor and Employment Regional Office No. VIII,2020-04-16,34300000.0
LGU Tagbilaran City,2020-04-24,34118200.0
City Government of Antipolo,2020-06-18,33600000.0
lipa city government,2020-04-21,33000000.0
lipa city government,2020-04-21,33000000.0
Provincial Government of Bulacan,2020-04-06,33000000.0
Provincial Government of Bulacan,2020-04-20,33000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,33000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,33000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,33000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,32000000.0
Provincial Government of Nueva Ecija,2020-04-30,31366250.0
CITY GOVERNMENT OF CABUYAO,2020-05-15,31080000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,30888000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-02,30734890.0
City Government of Taguig,2020-04-07,30250000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,30077210.0
Department of Labor and Employment Regional Office No. VIII,2020-06-18,30000000.0
City Government of Taguig,2020-03-30,29771160.0
CITY GOVERNMENT OF CABUYAO,2020-04-24,29298860.0
Provincial Government of Bulacan,2020-04-17,29025000.0
City Government of Taguig,2020-03-19,28749495.0
Department of Labor and Employment Regional Office No. VIII,2020-05-25,28587600.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,28484506.75
City Government of Taguig,2020-04-23,28406400.0
DPWH_Regional Office7,2020-07-13,27999000.0
DPWH_Regional Office7,2020-07-13,27999000.0
Provincial Government of Batangas,2020-05-08,27998250.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,27668520.0
Provincial Government of Bulacan,2020-04-20,27500000.0
Office of Civil Defense,2020-05-08,27170000.0
City Government of Taguig,2020-04-07,27000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,26960000.0
Department of Agriculture RFO 5,2020-05-08,26852000.0
Provincial Government of Bulacan,2020-03-20,26775576.0
Department of Labor and Employment Regional Office No. VIII,2020-06-22,26717600.0
Department of Public Works and Highways,2020-07-06,26517984.95
Department of Labor and Employment Regional Office No. VIII,2020-07-06,26517984.95
DPWH_Regional Office7,2020-07-13,25999500.0
DPWH_Regional Office7,2020-07-13,25999000.0
DPWH_Regional Office7,2020-07-13,25999000.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-04-28,25794950.0
MUNICIPAL GOVERNMENT OF SUAL,2020-04-30,25625000.0
City Government of Antipolo,2020-06-18,25600000.0
Local Government Unit of Iriga City,2020-04-23,25200000.0
LGU Tagbilaran City,2020-06-11,25000000.0
Office of Civil Defense,2020-04-21,25000000.0
lipa city government,2020-04-13,24832000.0
City Government of Taguig,2020-04-02,24785664.0
Department of Labor and Employment Regional Office No. VIII,2020-03-30,24750000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-01,24750000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,24750000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,24600000.0
DEPARTMENT OF AGRICULTURE REGIONAL FIELD OFFICE 1,2020-05-14,24548000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-27,24500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,24500000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-01,24500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,24500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,24500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,24500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-16,24500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,24500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-13,24500000.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-15,24300000.0
Provincial Government of Bulacan,2020-05-21,24200000.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-14,24010000.0
City Government of Santa Rosa,2020-05-20,24000000.0
Provincial Government of Batangas,2020-04-25,23999850.0
Department of Labor and Employment Regional Office No. VIII,2020-04-03,23810000.0
City Government of Taguig,2020-04-17,23750000.0
City Government of Taguig,2020-05-08,23519735.0
City of Bogo,2020-05-20,23500000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-04,23500000.0
Food Terminal,2020-07-20,23153238.35
Department of Agriculture Western Visayas,2020-05-27,22800000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-05,22800000.0
Provincial Government of Bulacan,2020-06-04,22709349.0
Provincial Government of Batangas,2020-05-15,22506000.0
DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,2020-05-08,22500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,22495000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,22200000.0
CITY GOVERNMENT OF CABUYAO,2020-04-30,21950000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-10,21916720.0
Ministry of Public Works - BARMM,2020-04-16,21678000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-06,21570000.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-04-28,21327520.81
City Government of Butuan,2020-04-27,21301000.0
City Government of Taguig,2020-05-05,21250000.0
City Government of Butuan,2020-04-30,21200000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-12,21195000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,20818566.0
Provincial Government of Nueva Ecija,2020-04-30,20790407.0
Provincial Government of Nueva Ecija,2020-04-30,20790407.0
City Government of Taguig,2020-05-14,20742400.0
Provincial Government of Batangas,2020-05-14,20449600.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,20316000.0
Provincial Government of Batangas,2020-05-14,20074576.0
City Government of Taguig,2020-05-08,20000000.0
Municipal Government of Pagalungan,2020-04-23,20000000.0
DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,2020-05-15,20000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-08,20000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,19998997.2
Provincial Government of Batangas,2020-06-17,19997997.0
PROVINCIAL GOVERNMENT OF SURIGAO DEL NORTE,2020-04-30,19980000.0
Provincial Government of Batangas,2020-04-28,19804050.0
Jorome,2020-04-17,19761150.0
Rizal Provincial Government,2020-06-17,19760000.0
Southern Philippines Medical Center,2020-06-15,19650000.0
BAC-SEC SARANGANI,2020-05-15,19500000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-19,19468800.0
City Government of Santa Rosa,2020-05-20,19400000.0
City Government of Taguig,2020-03-26,19354993.0
Department of Health Center for Health Development,2020-07-09,19000000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-01,18480000.0
Department of Agriculture Regional Field Office 10,2020-05-18,18377646.0
Department of Labor and Employment Regional Office No. VIII,2020-06-04,18215000.0
Bureau of Corrections-NBP,2020-04-21,18186300.0
Bureau of Corrections-NBP,2020-06-11,18180250.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,18150299.5
Provincial Government of La Union,2020-04-24,17940720.0
Southern Philippines Medical Center,2020-05-27,17900000.0
Provincial Government of La Union,2020-04-24,17834640.0
City Government of Taguig,2020-04-07,17779584.0
Department of Labor and Employment Regional Office No. VIII,2020-06-04,17625000.0
City Government of Taguig,2020-05-08,17494179.5
Department of Labor and Employment Regional Office No. VIII,2020-03-26,17307250.0
Provincial Government of Pangasinan,2020-06-24,17246847.0
Department of Labor and Employment Regional Office No. VIII,2020-03-30,17030000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-29,17029586.6
lipa city government,2020-05-11,17000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,16933750.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,16895000.0
Provincial Government of Bulacan,2020-04-08,16800480.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,16800000.0
Provincial Government of Bulacan,2020-05-06,16560500.0
LGU Tagbilaran City,2020-04-23,16560000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,16484560.5
Department of Labor and Employment Regional Office No. VIII,2020-06-30,16386040.0
Department of Health,2020-06-01,16200000.0
Municipality of Pagbilao,2020-05-05,16150000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-24,16044500.0
Provincial Government of Bulacan,2020-05-22,16043225.0
Provincial Government of La Union,2020-04-24,15973150.0
Department of Agriculture Regional Field Office 10,2020-05-18,15885000.0
Department of Agriculture RFO 5,2020-05-08,15771845.0
City Government of Taguig,2020-05-28,15750000.0
MUNICIPALITY OF HERMOSA,2020-04-23,15614200.0
Department of Agriculture RFO 5,2020-05-08,15591800.0
Bureau of Quarantine,2020-05-15,15497250.0
Bureau of Corrections-NBP,2020-03-31,15310060.0
Provincial Government of Apayao,2020-06-09,15297250.0
Municipality of Quezon,2020-04-15,15288900.0
CLMMRH,2020-05-28,15100000.0
CLMMRH,2020-05-28,15100000.0
CLMMRH,2020-05-28,15100000.0
CLMMRH,2020-05-28,15100000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,15009159.0
Provincial Government of Batangas,2020-05-17,15000000.0
Department of Health,2020-06-17,15000000.0
LGU -SANTA CRUZ LAGUNA,2020-05-11,15000000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-02,15000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,14999778.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,14999040.0
CIty Government of Bayugan,2020-05-04,14998012.5
Department of Labor and Employment Regional Office No. VIII,2020-06-05,14997522.0
LGU- CLAVER,2020-03-26,14995000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,14960000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-25,14890431.5
Provincial Government of Bulacan,2020-05-21,14853400.0
Department of Labor and Employment Regional Office No. VIII,2020-05-18,14810000.0
City Government of Antipolo,2020-05-22,14786928.0
Local Government Unit of Cabanatuan City,2020-04-30,14784000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-11,14594419.2
Southern Philippines Medical Center,2020-07-09,14479030.0
MUNICIPALITY OF CARAGA,2020-05-20,14415000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-29,14270500.0
PROVINCIAL GOVERNMENT OF SURIGAO DEL NORTE,2020-05-26,14100000.0
CITY GOVERNMENT OF CABUYAO,2020-05-18,14096290.0
Department of Labor and Employment Regional Office No. VIII,2020-06-18,14066000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,13950000.0
LGU Tagbilaran City,2020-04-21,13868271.92
Provincial Government of Batangas,2020-06-16,13861560.0
MUNICIPAL GOVERNMENT OF SUAL,2020-05-13,13805000.0
LGU OZAMIZ CITY,2020-05-08,13800000.0
CITY GOVERNMENT OF PUERTO PRINCESA,2020-05-21,13800000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-10,13785000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-18,13720000.0
Provincial Government of Apayao,2020-06-09,13644750.0
Bureau of Quarantine,2020-05-15,13500000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,13500000.0
LGU - Kabankalan City,2020-04-30,13495500.0
Department of Public Works and Highways,2020-07-06,13451495.91
Department of Labor and Employment Regional Office No. VIII,2020-07-06,13451495.91
LGU MUNICIPALITY OF MACABEBE,2020-04-23,13369950.0
Department of Labor and Employment Regional Office No. VIII,2020-03-31,13280000.0
City Government of Taguig,2020-06-19,13227000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-06,13200000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,13000000.0
DEPARTMENT OF AGRICULTURE REGIONAL OFFICE III,2020-05-11,12999296.0
DPWH_Regional Office7,2020-07-13,12998000.0
Provincial Government of Bulacan,2020-05-06,12995350.0
Department of Labor and Employment Regional Office No. VIII,2020-07-01,12874950.0
Jose B. Lingad Memorial General Hospital,2020-06-30,12850000.0
DSWD FO VIII,2020-06-10,12823982.0
City Government of Taguig,2020-04-06,12750000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,12700250.0
Provincial Government of Bulacan,2020-05-07,12581250.0
Cebu City Government,2020-03-30,12500000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,12480750.0
Department of Labor and Employment Regional Office No. VIII,2020-05-11,12420000.0
Southern Philippines Medical Center,2020-05-15,12380000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-03,12375000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-03,12375000.0
City Government of Taguig,2020-03-27,12372175.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,12281400.0
Department of Labor and Employment Regional Office No. VIII,2020-05-20,12250000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,12250000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-19,12250000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-27,12250000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-12,12250000.0
CITY GOVERNMENT OF PUERTO PRINCESA,2020-04-24,12238000.0
LGU Loreto,2020-05-05,12216825.0
City Government of Taguig,2020-04-23,12157302.73
Jorome,2020-05-05,12148800.0
City Government of Taguig,2020-03-31,12093869.64
Department of Labor and Employment Regional Office No. VIII,2020-04-24,12039750.0
Department of Labor and Employment Regional Office No. VIII,2020-07-10,12014676.0
LGU-Olongapo City,2020-04-24,12000000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-06-30,12000000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-06-30,12000000.0
PROVINCIAL GOVERNMENT OF AURORA,2020-06-02,11955323.89
PROVINCIAL GOVERNMENT OF AURORA,2020-05-27,11950391.33
City Government of Butuan,2020-05-15,11940000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,11913000.0
City Government of Taguig,2020-03-23,11900000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-05,11900000.0
Provincial Government of Bulacan,2020-05-21,11755866.0
CAGAYAN VALLEY MEDICAL CENTER,2020-06-05,11560851.09
LGU-Olongapo City,2020-04-28,11537750.0
LGU-Olongapo City,2020-04-28,11537000.0
CITY GOVERNMENT OF VIGAN,2020-04-20,11513500.0
Department of Health - Metro Manila - Center for Health Development,2020-05-15,11504100.0
City Government of Taguig,2020-04-03,11500000.0
PROVINCIAL GOVERNMENT OF SURIGAO DEL NORTE,2020-04-16,11500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-13,11500000.0
Province of Zamboanga Del Sur,2020-05-21,11500000.0
MUNICIPAL GOVERNMENT OF MARAMAG,2020-04-07,11495000.0
City Government of Taguig,2020-06-15,11440000.0
Provincial Government of Bulacan,2020-05-21,11430374.91
Provincial Government of Batangas,2020-06-20,11350983.67
Department of Labor and Employment Regional Office No. VIII,2020-04-17,11310000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,11291290.0
LGU-TUKURAN,2020-04-20,11279412.0
Rizal Provincial Government,2020-05-22,11200000.0
Municipality of Pagbilao,2020-04-21,11150000.0
LGU Loreto,2020-04-28,11136750.0
Department of Labor and Employment Regional Office No. VIII,2020-07-06,11136076.0
LGU-Olongapo City,2020-04-28,11100000.0
PROVINCIAL GOVERNMENT OF SURIGAO DEL NORTE,2020-04-16,11090000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-19,11060000.0
Local Government Unit - Municipality of San Nicolas,2020-04-16,11020000.0
LGU ALABEL,2020-04-24,11000000.0
LGU ALABEL,2020-04-24,11000000.0
LGU-Maasin City,2020-05-05,11000000.0
LGU-Maasin City,2020-06-02,11000000.0
LGU Sta. Barbara,2020-04-27,11000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-15,11000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-07,11000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,11000000.0
Provincial Government of Pangasinan,2020-05-07,10925000.0
LGU- Aguinaldo,2020-04-24,10909080.0
Department of Labor and Employment Regional Office No. VIII,2020-06-11,10875000.0
Provincial Government of Batangas,2020-05-15,10870500.0
LGU MALALAG,2020-05-29,10841700.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,10794000.0
City Government of Taguig,2020-04-14,10739296.0
Provincial Government of Aklan,2020-05-27,10723500.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,10719450.0
Capiz Provincial Government,2020-05-26,10711500.0
City Government of Butuan,2020-05-18,10650500.0
DEPARTMENT OF AGRICULTURE - REGIONAL FIELD OFFICE 7,2020-06-01,10630000.0
DEPARTMENT OF AGRICULTURE - REGIONAL FIELD OFFICE 7,2020-06-10,10627874.0
DEPARTMENT OF AGRICULTURE - REGIONAL FIELD OFFICE 7,2020-06-02,10625000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-25,10620000.0
DEPARTMENT OF AGRICULTURE - REGIONAL FIELD OFFICE 7,2020-06-03,10617876.0
Department of Labor and Employment Regional Office No. VIII,2020-03-31,10606104.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,10600000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,10580000.0
City Government of Taguig,2020-04-07,10500000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-20,10500000.0
Provincial Government of Bulacan,2020-07-02,10500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,10450000.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-05-15,10449200.0
Department of Agriculture RFO 5,2020-05-20,10442911.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,10430000.0
Jorome,2020-04-17,10405584.0
Jorome,2020-04-17,10405584.0
Department of Labor and Employment Regional Office No. VIII,2020-05-21,10400000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-07,10400000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,10400000.0
Local Government Unit - Santa Rosa,2020-04-25,10395000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,10394110.0
Department of Labor and Employment Regional Office No. VIII,2020-05-07,10312500.0
Municipal Government of San Vicente,2020-05-05,10259400.0
Department of Labor and Employment Regional Office No. VIII,2020-04-06,10200000.0
LGU Tagbilaran City,2020-03-27,10165462.44
LGU - Kabankalan City,2020-04-23,10108160.0
City Government of Butuan,2020-06-23,10089010.75
DEPARTMENT OF AGRICULTURE - REGIONAL FIELD OFFICE 7,2020-07-15,10060800.0
Provincial Government of Bulacan,2020-06-24,10052500.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-06-30,10000000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-06-30,10000000.0
SAN LORENZO RUIZ GENERAL HOSPITAL,2020-06-23,10000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-04,10000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-08,10000000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-08,9999745.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,9999738.0
Department of Labor and Employment Regional Office No. VIII,2020-05-11,9999738.0
LOCAL GOVERNMENT OF MARIA AURORA,2020-04-22,9999600.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,9999360.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,9999360.0
Municipal Government of Tulunan,2020-05-15,9999000.0
PROVINCIAL GOVERNMENT OF AURORA,2020-06-01,9997079.21
LGU Tagbilaran City,2020-05-11,9972167.98
Department of Labor and Employment Regional Office No. VIII,2020-06-15,9950000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-23,9918000.0
LUNG CENTER OF THE PHILIPPINES,2020-07-13,9900000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-11,9900000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-25,9840000.0
Research Institute for Tropical Medicine (RITM-DOH),2020-05-04,9839815.0
Department of Agriculture RFO 5,2020-05-08,9800000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-07-02,9800000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-07-02,9800000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-07-02,9800000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-07-02,9800000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-07-02,9800000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-07-02,9800000.0
Bureau of Corrections-NBP,2020-05-13,9793876.0
Department of Labor and Employment Regional Office No. VIII,2020-06-05,9785000.0
