Name Of Awarded Company,Amount Awarded
LOLO APO GEN. MERCHANDISE,29475157.6
"SeedWorks Philippines, Incorporated",29299950.0
SILVERICE TRADING CORP,28587600.0
CANOGA ENTERPRISES,28556346.0
Double J Grains Trading,28484506.75
RCV Enterprise,28283930.0
NEW ISABELA GRAINS MILLING,27750000.0
"JV Integrated Energy Systems and Resources, Inc & Unimasters Conglomeration, Inc",27668520.0
WESTERN FORTUNE TRADING,27576288.0
"ZAFIRE DISTRIBUTORS, INC.",27412315.0
Hafid N' Erasmus Corporation,27261215.0
Smart Communications Inc.,27000000.0
Miyana Industrial Marketing and Services,26960000.0
DPIA Marketing Cooperative,26653750.0
Yanyan Marketing,26566150.0
P.B. Obial Constuction,25999500.0
Sta. Ana Enterprises,25813010.0
SALVADOR GRIPAL CORPORATION,25625000.0
"Gransol Trading Co., Inc.",25600000.0
Duomedics Enterprises,25487880.0
Pinwenco Enterprises,25394552.9
Alghen Trading,25276778.0
"Malangatong Farmers Association, Inc.",25200000.0
"PSI Air 2007, Inc.",25000000.0
STA. ANA HEALTHCARE PLUS CORPORATION,24995500.0
Gervy's Trading & General Merchandise,24648378.0
GREAT HARVEST COMMODITIES PH. INC.,24600000.0
PANGASINAN ORGANIC SEED GROWERS AND NURSERY MPC,24548000.0
ALNOR PRIME PROPERTIES CORPORATION,24500000.0
AL-RAEES ENTERPRISES,24500000.0
"ISULAN ECT CONSTRUCTION & GENERAL MERCHANDISE, INC.",24500000.0
MINE GENERAL MERCHANDISE,24500000.0
MATAMPAY DIAMOND AGRICULTURAL PRODUCTS TRADING,24500000.0
BRYANT MILLING & MARKETING,24179263.0
SYNAPSE TRADING,24035590.0
"BIOSYN HEALTHCARE PRODUCTS, INC.",24010000.0
SONICAD PHILS. INC.,24000000.0
AMANSEC BUILDERS,23905715.22
NINO KARL JAY TRADING,23737700.0
Euparex Pharmaceuticals Inc.,23519735.0
CEBU CKS COMMODITIES CORP.,23500000.0
"Ki gfields Rice Solutions, Inc",23500000.0
"A.H. SHOPPERS MART, INC.",23379450.0
MAICA GROCERY STORE,23353575.0
"Omnibus Bio Medical Systems, Inc.",23201400.0
LAFAYETTE PHARMACEUTICALS,23201106.75
BAP Construction and Development Corporation,23153238.35
DFR GENERAL MERCHANDISE,23074750.0
Joced Enterprises,23041054.5
West Visayas Federation of Multi-Purpose and Seed Producers Cooperative,22800000.0
MTLJ GENERAL MERCHANDISE,22713650.0
RIGHT AGRI DEVELOPMENT INC.,22500000.0
JAIME SANTOS RICE MILL,22255000.0
"Macrin.ph, Inc.",22200000.0
Variance Trading Corporation,22021771.0
"VR Rice Mill, Rice and Corn Dealer",22000000.0
SACECO TRADING,21786900.0
FFJJ Construction,21678000.0
BD SCIENTIA MEDICAL AND DIAGNOSTIC SUPPLIES,21570000.0
AMI EQUIPMENT SERVICES AND SOLUTIONS,21517870.0
V-RICH TRADING & COMPUTER SUPPLIES,21502777.0
Invictus Dental Supplies Trading,21327520.81
JOSMEF ENTERPRISES,21215113.65
Arella Heart Bag,21195000.0
Lafayette Pharmaceuticals,20949835.58
ASHLI RICE TRADING OR CATALINA PAGBA,20900000.0
Josmef Enterprises,20877919.0
PEPSONS TRADING,20811240.0
"Joint Venture of Global Medical Technologies Manila, Inc. and Endec, Inc.",20742400.0
EXELMED PHARMA TRADE,20562912.5
UZIEL PHARMACEUTICAL PRODUCT DISTRIBUTION,20355000.0
DPIAMARCO,20316000.0
ZMJ COMMERCIAL,20283446.0
"HEALTHSOLUTIONS ENTERPRISES, INC.",20200000.0
SAMIR MINI-MART,20000000.0
"Medmaster, Inc.",20000000.0
GLOBAL AGRIVENTURES MARKETING COOPERATIVE,20000000.0
"National Food Authority - Ipil, ZSP",20000000.0
Jams Lube-rication Tech. & Marketing Co.,19998997.2
ARXMEDICA MARKETING,19872738.0
INFINITE MEDICAL TRADING,19797500.0
Owen Enterprises,19774903.4
Phil Pharmawealth Inc.,19747250.0
"DAVAO SAN-EI TRADING, INC.",19700000.0
CENTRO SUPERSALES INC.,19699200.0
RMQ Grains Center Corporation,19696500.0
B-SHINE PHARMA,19674953.0
Supervalue Inc.,19560928.0
ABL MEDICAL EQUIPMENT TRADING,19500000.0
TECHNOMED INTERNATIONAL INC.,19466400.0
DRUGNEXTDOOR CO.,19400000.0
NEXGEN BIODEVICES,19244700.0
VARIANCE TRADING CORPORATION,19051165.0
MEDSPECS SOLUTIONS INC.,18936148.44
GEORGEINA'S TRADING,18791910.0
South East Star Enterprises,18576628.97
Megadeli Marketing Inc,18499502.0
FAST AUTOWORLD PHILIPPINES CORPORATION,18480000.0
MCP'S MED-SHOP,18225360.0
ALMERIA INTERNATIONAL CONSTRUCTION CORP.,18215000.0
KNC RICE RETAILER AND WHOLESALER,18150299.5
ARMA-MED TECHNOLOGIES,17900000.0
Shimadzu Philippines Corporation,17900000.0
RESPICARE ENTERPRISES,17870000.0
A-RAMP TRADING,17834640.0
E. Llana Marketing & Industrial Enterprises,17779584.0
Sigayle Rice Wholesaler,17625000.0
LKS Pharmacy,17595995.0
Affordrugs and General Merchandise,17429750.0
Central Mart General Merchandise,17393265.0
Real Star Rice Center,17340750.0
R.F. FLORES Construction,17246847.0
MRL CYBERTEC CORPORATION,17092105.0
NAC MARKETING,17029586.6
A.G. CAPARROS MART,16740866.49
ALTURAS SUPERMARKET CORPORATION,16505412.44
"EXTRA ORDINAIRE JANITORIAL & MANPOWER SERVICES, INC.",16484560.5
MKG TOLENTINO TRADING,16386040.0
STERITEX Medical System,16260350.0
Kairos Pharma -Medical Supplies and Equipment,16250900.0
F AND N ENTERPRISES & GEN. MERCHANDIZE,16202838.25
CASIPIT CONSTRUCTION AND SUPPLY,16080585.21
L.G. Moreno Rice Supply,16079800.0
Patient Care Corporation,16047256.66
GJK PHARMA DISTRIBUTORS,16043225.0
PATIENT CARE CORPORATION,16030391.33
FUTURISTIC TRADING AND CONSTRUCTION,15997726.67
WMA BUY AND SELL,15941133.0
"Seedworks Phils., Inc.",15885000.0
IAuto Inc.,15750000.0
PAULEN GENERAL MERCHANDISE,15670229.799999999
ASSIL ENTERPRISES,15557827.0
ALJERON MEDICAL ENTERPRISES,15524600.0
NEGROS MEDICAL TRADING,15505500.0
Loriel Pharmaceuticare,15476160.0
Bullseye Solutions Inc.,15400000.0
"BEROVAN MARKETING, INC.",15393360.0
HYPERTRADE DISTRIBUTORS,15250000.0
ER SUPERMALL,15216102.64
HERLYN'S STORE,15200800.0
Chels and Clyde Trading,15036228.0
"CGC Grains, Incorporated",15016200.0
J.M DIZON PHARMACEUTICALS & GEN. MDSE.,15000000.0
"RICA MARKETING OF BACOLOD, INC.",15000000.0
NAC Marketing,14997522.0
Ferdielaine Enterprises,14960000.0
Tacloban 6500 Inc. (Formerly LTZ Construction and Supply),14890431.5
UNITED JT TRADERS INCORPORATED,14840000.0
Rayanton Farms & Livestock Corporation,14784000.0
GY TRADING,14696313.0
"AMI EQUIPMENT SERVICES AND SOLUTIONS, INC.",14693000.0
MEDICAL GALLERY TRADING CO.,14604100.0
Perking Elmer Instruments,14479030.0
BEB's Dry Good Store,14436936.0
Multi Health Solution Enterprises,14228300.0
SONCHEL PHARMA DISTRIBUTORS,14195000.0
"RBGM Medical Express Sales, Inc.",14160200.0
RILEX RICE TRADING,13975000.0
"Metro Retail Stores Group, Inc.",13974877.15
Shooting Star Trading,13935150.8
QUASAR Trading,13900002.0
JIO RICEMILL & GRAINS TRADING,13800000.0
FORTBO ENTERPRISES,13720000.0
Bagels Enterprises,13585688.0
"Respicare Enterprises, Inc.",13525000.0
Metro Mobilia Corporation,13500000.0
Unimasters Conglomeration Inc,13500000.0
FRESHMARKER TRADING,13369950.0
VARIANCE TRADING CORP,13310135.0
DEI Properties Inc.,13227000.0
KOLONWEL TRADING,13200000.0
"Lifeline Diagnostics Supplies, Inc.",13041876.0
LORD ELGYN MERCHANDISING,12999296.0
Bodeguita Enterprises,12929873.8
Dynamic Global Soft Inc.,12893000.0
JV of Kcrown Enterprise and Avila Medical and Hospital Supplies,12874950.0
"LIFELINE DIAGNOSTICS SUPPLIES, INC.",12846532.0
"EMMAIAH MARKETING AND SERVICES, INC.",12823982.0
RAMROD SUPERMARKET INC.,12781400.0
"Wamrus Trading, Inc.",12750000.0
MASFAR INTERNATIONAL TRADING CORP.,12700250.0
"Yana Chemodities, Inc.",12612540.0
Alyhar Marketing,12586784.0
KINGFIELDS RICE SOLUTIONS INC.,12420000.0
Cebu CKS Commodities Corp.,12371600.0
Centro-Med Enterprises,12369550.0
"LTS RETAILS SPECIALIST, INC.,",12281400.0
LINDONGAN ENTERPRISES,12250000.0
"WOODRIDGE BUILDERS CONSTRUCTION & SUPPLIERS ,INC.",12250000.0
GOLDENYAN ENTERPRISES,12250000.0
"Woodridge Builders Construction & Supplies, Inc.",12250000.0
SUPER VALUE INC.,12238000.0
BEROVAN MARKETING INC.,12233408.4
JUNIPER 3 PROC. CORP,12200000.0
JLH Medics Enterprises,12169069.64
Solidgroup Technologies Corporation,12157302.73
Eight Integrated Development Corporation,12112880.0
JEWEL JADE ENTERPRISES,12109600.0
NOVARAE BIOTECH,12060000.0
Double A Rice mill,12039750.0
VICTORINA P. CHAN CO.,12007694.32
Shan Pharmaceutical Dealer and Drugstore,11953093.0
DREI Enterprises,11869850.0
MDX Construction,11852983.67
K-9 EXPONENT TRADING,11769240.0
JRJL Trading,11660000.0
"PL JUAN CONSTRUCTION, INC.",11560851.09
Joshuashane Trading,11526420.56
COUNTRY RICE MILL AND TRADING CORPORATION,11513500.0
U-Net Distributors Corp.,11500000.0
OWEN Enterprises,11497500.0
"LTS RETAIL SPECIALIST, INC.",11493784.6
Puring Rosita Candy Store,11433005.0
EIGHT KIDS CONSTRUCTION AND TRADING,11430374.91
D'BEAM GENERAL MERCHANDISE CORP.,11402050.0
ZYMED MEDICAL DISTRIBUTORS,11289933.75
HEBA ENTERPRISES,11279412.0
DAILY DOSE PHARMACY,11206400.0
"EQUILIFE MEDICAL EQUIPMENT SUPPLIES & SERVICES, INC.",11136076.0
Anascomm Electronics Supply Co.,11060000.0
Top One Pharma,11026306.15
SY SU,11020000.0
Globel's Store,11013250.0
PRIME MEDIX CORP,11000000.0
Century Pacific Food Inc.,11000000.0
AM EMNACE STORE,11000000.0
GOLDMAN ENTERPRISE,11000000.0
C. MENDOZA AGRI-SUPPLY,11000000.0
ACVI ENTERPRISES,10999996.0
GUIRUELA'S MEAT AND FROZEN PRODUCTS STORE,10916589.0
NEMRAC MEDICAL AND PHARMA SUPPLIES CORP.,10913680.0
Corbox Corporation,10909817.6
VINOYA BABY CONO,10909080.0
MILTEC Trading,10875000.0
"Pacificphil Distribution Group, Inc.",10852760.0
JASVER COMMERCIAL,10841700.0
Jarcare Trading Corporation,10711500.0
LICAY GENERAL MERCHANDISE,10688752.45
Cebo Development Corporation,10672693.8
"LONG PING TROPICAL RICE DEVELOPMENT, INC.",10617876.0
"Filkohayes Services, Incorporated",10600000.0
RM Medical Supply and Equipment,10568500.0
SABCARE MARKETING,10554908.6
"HEALTHWELNESSLIFESTYLE,INC.",10500000.0
MMJS PHARMACY AND MEDICAL SUPPLIES,10487654.4
SEED TO RICE PRODUCERS COOP. (S2R),10416960.0
WTL Apartment and Warehouse,10400000.0
D' Friendly Multi Sales Inc.,10394110.0
King Jan Enterprises,10363941.639999999
"Lifelink, Inc.",10295100.0
EVER BLUE RICE ILL & GRAINS TRADING,10259400.0
NOVUS AVENIR PHARMACEUTICALS,10137303.43
DIAGNOSTICA TRADING,10130689.0
Triple â€œMâ€ Construction,10111156.89
EMMIE GROCERY STORE,10108160.0
East Tierra Resources Trading Inc.,10089010.75
"MODERN TIME ENTERPRISES, INC.",10060800.0
MARITON GROCERY,10044629.0
Prime Medix Enterprises,10040000.0
M3C TRADING,10037240.0
LPO Enterprises,10012754.8
LOLA TINAY CATERING SERVICES,9999960.0
Rosen-Lian Trading,9999360.0
CASTOR AGRI BUY AND SELL,9999000.0
"EDFROBON CONSTRUCTION SERVICES, INC.",9997079.21
Goro Marketing,9992013.5
GR CASTILLO MEDICAL SUPPLIES,9978640.0
YAP PETRON MEGA STATION,9958000.0
"AMI EQUIPMENT SERVICES & SOLUTIONS, INC.",9950000.0
EASYLIFE MEDICAL ENTERPRISE,9947150.32
CAMSUR MULTI-PURPOSE COOPERATIVE,9921058.0
3E Drug,9911175.0
EMJ Enterprises,9910000.0
LANVIN ENTERPRISES,9900000.0
TSH CORPORATION,9858574.0
DBM - Procurement Service,9824497.42
VSAM PHARMACEUTICAL PRODUCT DISTRIBUTION,9803514.3
Alturas Supermarket Corporation,9766650.0
Shan Pharmaceuticals Dealer & Drugstore,9750000.0
Max's Kitchen Inc.,9720000.0
CRISHAMAY LANZ ENTERPRISES,9661550.0
COGNOA INTERNATIONAL INC.,9636978.0
variance trading corp,9597060.0
Rainphil Inc,9579000.0
KCX Supply Wholesaling,9567134.76
Labsolution Technologies Inc.,9535000.0
Carmy Enterprise,9519994.5
Chezka Rice Mill,9504100.0
VTLC TRADING,9498700.0
Everyday Enterprise,9497500.0
Jhall Marketing & Services,9488640.0
Health Line Medical Equipment,9430000.0
LUCKY MED TRADING,9428112.0
COLLIN'S PHARMACY,9409305.0
Silver Saint Pharmaceutical,9381257.0
WIL-LYS CEREAL TRADING CORPORATION,9296040.0
Kairos Pharma - Medical Supplies and Equipment,9281030.0
BENZEN CONSTRUCTION,9279010.42
KCX'SUPPLY WHOLESALING,9247080.0
"LTS RETAIL SPECIALISTS, INC.",9241850.0
"GETZ Bros. Philippines, Inc.",9234400.0
Gibrosen General Merchandise,9200000.0
Cotabato Integrated Seeds Producers Marketing Cooperative,9120000.0
LOCAL FARMERS,9099200.0
Cred General Trading,9064000.0
J AGRO TRADERS CORP.,9050000.0
ECO-HYGIENE INSTITUTIONAL SALES CORPORATION,9018000.0
Dane Degala Castillo Pharmacy,9014205.0
Apex Foods Distribution Corporation,9013480.0
Bansay Seafoods Restaurant and Cartering Services,9000000.0
AMB . ALC HOLDINGS & MANAGEMENT CORPORATION,9000000.0
HEALTHSOLUTIONS ENT,9000000.0
Calanasan LGU Employees Multi Purpose Cooperative,8998000.0
Calanasan LGU Employees Multi-Purpose Cooperative,8998000.0
"Instrumix Supplier,Inc",8910000.0
RITE ONE PHARMA,8906200.0
ST. ALMERS CONSTRUCTION AND ENTERPRISE,8901661.0
A3 General Merchandise/Virac Fortune Enterprises/Greenstone Enterprise,8892400.0
Bi-suns Build Ventures,8889966.5
JLH Medics Enterprise,8863482.68
ROSETAD STORE,8853410.0
Râ€™CEL Gen. Contractor & Gen. Mdse.,8844355.14
BRP JR TRADING,8755500.0
"National Food Authority - Ipil, Zamboanga Sibugay",8750000.0
DAVAO ORIENTAL SEED PRODUCERS COOPERATIVE (DOSEPCO),8711800.0
"TACURONG FIT MART, INC.",8677000.0
Genruz Construction and supplies,8674189.04
"RG Meditron, Inc.",8670000.0
Premium Grains Center,8640000.0
Valenzuela Chicken and Eggs Dealer,8605397.84
CONDRING MARKETING,8580000.0
D Lacson Rice and Palay Dealer,8571062.0
STONE OF DAVID CORPORATION,8564420.0
"JARDECO HEALTH SYSTEMS, INC.",8541755.0
"Cebu Air, Inc.",8535871.0
PAMPANGA HOSPITAL PRODUCT,8528000.0
JANNAMER RICE WHOLESALE AND RETAILER CORPORATION,8500000.0
RDT Rice Trading,8500000.0
PHARMEDIC CORP,8500000.0
LEEAN MEDICAL & SURGICAL SUPPLY,8495476.0
Respicare Enterprises,8462292.0
GMND Gen. Merchandise,8400000.0
11th Hour Trading,8400000.0
Canaan Enterprises,8400000.0
"Metro Rapid Transit Services, Inc",8400000.0
"Manila Healthtek, Inc.",8400000.0
G4 GRAINS CENTRAL INC.,8400000.0
ROBUSTAN INC.,8350000.0
CFB MARKETING AND GENERAL MERCHANDISE,8311641.899999999
Cymmer Sari-Sari Store and Food Supply,8270694.0
CHARLYN GRAINS STATION,8258500.0
TRISTAN TEJADA CONSTRUCTION,8251488.0
Multiline General Merchandise,8188722.8
Misamis Farmers Multi-purpose Cooperative,8180000.0
"OMNIBUS BIO-MEDICAL SYSTEMS, INC.",8153800.0
VARIANCE Trading Corporation,8129750.0
De Gramm Laboratory Supply,8052000.0
Scionetrade Corporation,8047800.0
MANILA HEALTHTEK INC.,8041320.0
Tesoro Enterprises,8022315.0
BOHOL QUALITY CORPORATION,8018096.9
"BANTUG AGRICULTURAL MULTIPURPOSE COOPERATIVE, INC.",8000000.0
PAYALIN TRADING INCORPORATED,7999950.0
PURE GOLD PRICE CLUB INC.,7963500.0
RMJA TRADING & GENERAL MERCHANDISE,7933875.25
Enhanced Medical and Industrial Enterprises/ Onofre A. Deganos,7929761.04
Meeco Enterprises,7912027.5
G.Y TRADING,7910000.0
Autospeedygo Corporation,7900000.0
KURT WAYNE TRUCKING SERVICES,7879280.0
CECCION TRADING,7854000.0
La Sencillez Trading,7840145.0
Jercent Enterprises & Construction,7829600.0
GOLD FORTUNE 3 GENERAL MERCHANDISE,7813300.0
medicotek inc,7800000.0
Pink 24/7Pharmacy Corp,7800000.0
Green Trust Medical Trading,7789700.0
77CSV CORPORATION,7771075.7
First Bay Pharma Distributor,7700343.4
ONE ILOCOS NORTE SEED PRODUCERS COOPERATIVE,7600000.0
DJLMBR RICE POULTRY SUPPLY,7600000.0
"Panapino Holdings, Inc.",7570500.0
Marquin GeneraL Merchandise,7525000.0
Baliwag Transit Inc.,7521920.0
Jedeco Trading Corporation,7500000.0
MERIJR ENTERPRISES INC.,7500000.0
BRNZEN CONSTRUCTION,7485210.07
PROGRESSIVE Grains Milling Corporation,7434400.0
Cisco Engineering Industries,7399299.85
M. B. Ang Construction and Supply,7388078.27
Zafire Distributors Inc.,7380000.0
Versaflex Enterprises,7380000.0
BB-JOY STORE,7374400.0
GRAMAN MEDICAL TRADING,7373906.399999999
leean medical & surgical supplies,7360483.2
COTABATO DBG GENERAL MERCHANDISE,7350000.0
"Biosyn Healthcare Systems, Inc.",7320000.0
MARS AGRIVENTURES AND COMMODITIES INC.,7318671.75
GLOBAL MEDICAL SOLUTIONS INC.,7300000.0
"A.M.I. Equipment Services and Solutions, Inc.",7300000.0
IIT TRADING,7279800.0
PCGEMPC,7255267.0
Merijr Enterprises Incorporated,7240000.0
GOSHEN MEDICAL SUPPLIES,7237200.0
VMD Rice Mill,7209551.7
Pharma Business Management Trading (PBM) Corp.,7206255.0
NVM MARKETING INC.,7205830.0
Enhanced Medical & Industrial Enterprises,7180000.0
Medical Center Trading Corp.,7176374.0
RJ AND MJ MERCHANDISE,7156521.0
Neala Enterprises,7130850.0
"GOLDEN BAT (FAR EAST), INC.",7126125.0
Andy & Fe Rice Supply,7114200.0
GOLDSEAL MEDICAL TRADING CORP,7100994.0
"Tacurong Fitmart, Inc.",7100841.0
Camsur Multi-Purpose Cooperative,7087950.0
SUPER SHOPRITE CENTER INC.,7068247.0
Omnibus Bio Medical Systems Inc,7056000.0
Costales Ricemill,7030000.0
Victor Del Rosario Rice Mill orporation,7011000.0
Bacolod Good Rice Commercial Company,7000000.0
"Pert,Incorporated",7000000.0
"A.M.I. EQUIPMENT SERVICES AND SOLUTIONS, INC.",7000000.0
GTM RICE AND CORN MILL,7000000.0
DOERS Multi-Purpose Cooperative,6994116.75
DANIELA MERZ RICE MILL RICE PALAY DEALER,6981680.0
ALLIED HOSPITAL SUPPLY INT'L CORP.,6945000.0
NEIM TRADING,6922925.0
PV General Merchandise,6879863.0
INFINITRIX MEDICAL EQUIPMENT AND SUPPLIES TRADING,6869980.0
E.F. Faderon Ricemill,6864300.0
LUCK J 888 RICE MILL CORPORATION,6841150.0
KCX' SUPPLY WHOLESALING,6834000.0
Romanique's Office Supplies & General Merchandise,6833279.0
"Seedworks Philippines, Inc",6820800.0
Gonzalbo Store,6782993.2
NRVG Merchandising,6782910.0
KELP MARKETING,6777000.0
Megatrade Enterprises,6771058.0
DONYA ARCELY TRADING,6770210.0
"SEEDWORKS PHILIPPINES,INC",6759932.4
"LONGPING TROPICAL RICE DEVELOPMENT,INC",6753240.0
"Endure Medical, Inc.",6750550.0
M & N GENERAL MERCHANDISE,6750000.0
LIFECORE BIO INTEGRATIVE INC.,6750000.0
EVERYDAY ENTERPRISE,6745000.0
Blu Enterprises,6743500.0
Agua Visions Trading,6736200.0
BCVR Prime Enterprise,6708198.16
JSGA Enterprises,6705245.0
Agricons Impex Co.,6681229.0
"LIFELINE DIAGNOSTIC SUPPLIES, INC.",6660950.0
RHENAMAE'S TRADING,6652000.0
LUCKU J 888 RICEMILL CORPORATION,6630000.0
RBGM Medical Express,6617850.0
Botika ng Bayan sa Pinamalayan,6616580.0
IMV RICE AND PALAY TRADING,6615000.0
ROLENDA OLIS DIVINAGRACIA/APONG STORE,6600000.0
J AGRO TRADERS CORP,6600000.0
AMI Equipment,6600000.0
HJ HARDWARE,6589990.0
MCMANA FOOD SERVICES,6581120.0
G.R.G. Marketing and Services,6567130.0
