Name Of Awarded Company,Amount Awarded
BV Three Two Four Printing and Trading,75000000.0
Pacificphil Distribution Group Inc.,74000000.0
"Lifeline Diagnostic Supplies, Inc.",73105200.0
BIO MEDPRO PHARMACEUTICALS,72500000.0
"LONGPING TROPICAL RICE DEVELOPMENT, INC.",70225000.0
Diamondsphere Incorporated,65680250.0
"Rebmann, Inc.",64790000.0
EDWIN AYCO BIGASAN,64400000.0
E.Llana Marketing & Industrial Enterprises,63051750.0
Binhi Producers Cooperative,62253877.5
Biosite Medical Instruments,61218000.0
Mariqueta G. Navarro,57000000.0
IJK MAE CONTRUCTION INC,54800000.0
PHARMALLY PHARMACEUTICAL CORPORATION,54000000.0
PACIFIC FIELD (HONGKONG) LTD.,53200000.0
HAFID N' ERASMUS CORPORATION,51000000.0
Diamondsphere Incorporated,50164000.0
Luxese Corp.,50000000.0
BV Three Two Four Printing and Trading,50000000.0
SL Agritech Corporation,50000000.0
Goodties Inc.,50000000.0
Medical Center Trading Corporation,49920000.0
"Centro Supersales, Inc.",49500000.0
"Centro Supersales, Inc.",49500000.0
TAN TAY LIM BUILDERS AND GENERAL CONTRUCTOR,49310368.01
BERMEJO AGRI BUY & SELL,49000000.0
"AL-NOR PRIME PROPERTIES, INC.",49000000.0
AL-NOR PRIME PROPERTIES CORPORATION,49000000.0
Philippine Blue Cross Biotech Corporation,48700000.0
"A.L. Salazar Construction, Inc.",48450131.34
lucky Anya trading,48000000.0
LUCKY ANYA TRADING,48000000.0
LUCKY ANYA TRADING,48000000.0
LUCKY ANYA TRADING,48000000.0
Philippine Blue Cross Biotech Corporation,48000000.0
RAD'S ENTERPRISES,47995000.0
5MJ Marketing,47181000.0
AMI Equipment Service,46500000.0
AMI Equipment Services and Solutions,46500000.0
Biosite Medical Instruments,45981000.0
"SEEDWORKS PHILS., INC.",45000000.0
Philippine Blue Cross Biotech Corporation,45000000.0
COSMO MEDICAL INC.,44400000.0
"CENTRAL AFFIRMATIVE CO., INC.",44000000.0
SL Agritech Corporation,43400000.0
Jedeco Trading Corp.,42666465.0
Jedeco Trading Corp.,42666465.0
TUPEI ALL STAR TRADE INC.,42425000.0
BV Three Two Four Printing and Trading,42034500.0
P.B. Obial Construction,41998763.84
Goodties Inc.,40000000.0
"MEDICAL & HOSPITAL RESOURCES HEALTH CARE, INC.",40000000.0
"Medical Test Systems, Inc.",40000000.0
F.V. DYSICO RICEMILL & TRADING,39900000.0
"UNIMASTERS CONGLOMERATION, INC.",39500000.0
NANSMAR MARKETING BUY 7 SELL AGRI PRODUCTS,39200000.0
JV of Sunwest Construction and Development Corporation and DCKAR Trading,38328480.0
"Right Agri Development, Corp.",38032392.0
"WAMRUS TRADING, INC.",37960000.0
Goodties Inc.,37900000.0
"Phil Pharmawealth, Inc.",37440000.0
AGRICONS IMPEX CO,36750000.0
TWIS TRADING,36640000.0
Goodluck Rice Mill,36040000.0
"Lifeline Diagnostic Supplies, Inc.",35437500.0
KRESA NIRIIS TRADING,35299000.0
TWIS TRADING,35112500.0
TWIS Trading,35112500.0
SL Agritech Corporation,35000000.0
Mel-C Trading,34803959.0
Archinet International Inc.,34747052.25
Dio Implant Phils. Corp.,34374040.0
NANSMAR MARKETING BUY & SELL AGRI PRODUCTS,34300000.0
XARITO TRADING INC.,34118200.0
Robustan Inc.,33600000.0
Jay-R and Marie Rice Store,33000000.0
Abeth and Lulu Rice Store,33000000.0
GOYARD TRADING,33000000.0
MSIA GENERAL MERCHANDISE,33000000.0
Bosh Megatrade and Services Corporation / Donna R. Masiglat,33000000.0
PRIME MEDIX INTL.,33000000.0
Progressive Grains Milling Corporation,33000000.0
"MEDICOTEK, INC.",32000000.0
Himex Corporation,31366250.0
"GranSol Trading Company, Inc.",31080000.0
"V Integrated Energy Systems and Resources, Inc & Unimasters Conglomeration, Inc",30888000.0
Zuellig Pharma Corp.,30734890.0
"Xplore Philippines, Inc.",30250000.0
Homero's Rice Store,30077210.0
MEDICOTEK INC,30000000.0
Lakshmi Zane Enterprises,29771160.0
R. Evangelista Ricemill,29298860.0
MANQUE PROSPERE GENERAL MERCHANDISE,29025000.0
Gold Medlines Drug Distribution,28749495.0
SILVERICE TRADING CORP,28587600.0
Double J Grains Trading,28484506.75
BV Three Two Four Printing and Trading,28406400.0
Quirante Construction,27999000.0
Quirante Construction,27999000.0
Jorda Trading,27998250.0
"JV Integrated Energy Systems and Resources, Inc & Unimasters Conglomeration, Inc",27668520.0
MAR-TONI GENERAL MERCHANDISE,27500000.0
Hafid N' Erasmus Corporation,27170000.0
Smart Communications Inc.,27000000.0
Miyana Industrial Marketing and Services,26960000.0
"Seedworks Philippines, Inc.",26852000.0
MAR-TONI GENERAL MERCHANDISE,26775576.0
Reliance Producers Cooperative,26717600.0
Almeria International Construction Corporation,26517984.95
Almeria International Construction Corporation,26517984.95
P.B. Obial Constuction,25999500.0
Quirante Construction,25999000.0
Quirante Construction,25999000.0
Ideal Unomed Care Corp.,25794950.0
SALVADOR GRIPAL CORPORATION,25625000.0
"Gransol Trading Co., Inc.",25600000.0
"Malangatong Farmers Association, Inc.",25200000.0
ALTURAS SUPERMARKET CORP.,25000000.0
"PSI Air 2007, Inc.",25000000.0
Smartbiz Trading and General Merchandise,24832000.0
Crossix Inc.,24785664.0
"Centro Supersales, Inc.",24750000.0
"Centro Supersales, Inc.",24750000.0
"Centro Supersales, Inc.",24750000.0
GREAT HARVEST COMMODITIES PH. INC.,24600000.0
PANGASINAN ORGANIC SEED GROWERS AND NURSERY MPC,24548000.0
MATAMPAY DIAMOND AGRICULTURAL PRODUCTS TRADING,24500000.0
AL-NOR PRIME PROPERTIES CORPORATION,24500000.0
GOLDENYANA ENTERPRISES,24500000.0
EVL DUQUE MARKETING,24500000.0
EVL DUQUE MARKETING,24500000.0
MINE GENERAL MERCHANDISE,24500000.0
"ISULAN ECT CONSTRUCTION & GENERAL MERCHANDISE, INC.",24500000.0
AL-RAEES ENTERPRISES,24500000.0
ALNOR PRIME PROPERTIES CORPORATION,24500000.0
"RESPICARE ENTERPRISES, INC.",24300000.0
GOYARD TRADING,24200000.0
"BIOSYN HEALTHCARE PRODUCTS, INC.",24010000.0
SONICAD PHILS. INC.,24000000.0
Jorda Trading,23999850.0
Lantau Industrial Supply and Services Corporation,23810000.0
"Xplore Philippines, Inc.",23750000.0
Euparex Pharmaceuticals Inc.,23519735.0
CEBU CKS COMMODITIES CORP.,23500000.0
"Ki gfields Rice Solutions, Inc",23500000.0
BAP Construction and Development Corporation,23153238.35
West Visayas Federation of Multi-Purpose and Seed Producers Cooperative,22800000.0
ESPJR Trading,22800000.0
STA. ANA ENTERPRISES,22709349.0
Rite-Tech Marketing,22506000.0
RIGHT AGRI DEVELOPMENT INC.,22500000.0
Drei Enterprises,22495000.0
"Macrin.ph, Inc.",22200000.0
Klick Lucky Marketing,21950000.0
Aljeron Medical Enterprises,21916720.0
FFJJ Construction,21678000.0
BD SCIENTIA MEDICAL AND DIAGNOSTIC SUPPLIES,21570000.0
Invictus Dental Supplies Trading,21327520.81
Archinet International Inc.,21301000.0
BV Three Two Four Printing and Trading,21250000.0
Goodluck Rice Mill,21200000.0
Arella Heart Bag,21195000.0
"Medical Test Systems, Inc.",20818566.0
Lafayette Pharmaceuticals,20790407.0
LAFAYETTE PHARMACEUTICALS,20790407.0
"Joint Venture of Global Medical Technologies Manila, Inc. and Endec, Inc.",20742400.0
Jaydee Care Marketing,20449600.0
DPIAMARCO,20316000.0
Jaydee Care Marketing,20074576.0
BV Three Two Four Printing and Trading,20000000.0
SAMIR MINI-MART,20000000.0
GLOBAL AGRIVENTURES MARKETING COOPERATIVE,20000000.0
"National Food Authority - Ipil, ZSP",20000000.0
Jams Lube-rication Tech. & Marketing Co.,19998997.2
Jaydee Care Marketing,19997997.0
AJ General Merchandise,19980000.0
V-RICH TRADING & COMPUTER SUPPLIES,19804050.0
ZMJ COMMERCIAL,19761150.0
COSMO MEDICAL INC.,19760000.0
Dynasty Pharmaceuticals,19650000.0
ABL MEDICAL EQUIPMENT TRADING,19500000.0
"Omnibus Bio Medical Systems, Inc.",19468800.0
DRUGNEXTDOOR CO.,19400000.0
BV Three Two Four Printing and Trading,19354993.0
TECHNOMED INTERNATIONAL INC.,19000000.0
FAST AUTOWORLD PHILIPPINES CORPORATION,18480000.0
Jedeco Trading Corp.,18377646.0
ALMERIA INTERNATIONAL CONSTRUCTION CORP.,18215000.0
RSG Mktg Corp,18186300.0
RSG Mktg Corp,18180250.0
KNC RICE RETAILER AND WHOLESALER,18150299.5
MCP'S MED-SHOP,17940720.0
Shimadzu Philippines Corporation,17900000.0
A-RAMP TRADING,17834640.0
E. Llana Marketing & Industrial Enterprises,17779584.0
Sigayle Rice Wholesaler,17625000.0
Joced Enterprises,17494179.5
VKO MARKETING,17307250.0
R.F. FLORES Construction,17246847.0
"Sunfu Solutions, Inc.",17030000.0
NAC MARKETING,17029586.6
Smartbiz Trading and General Merchandise,17000000.0
DPIA Marketing Cooperative,16933750.0
SL Agritech Corporation,16895000.0
CANOGA ENTERPRISES,16800480.0
"SAIDDI AGRI FARM AND TRADING, INC.",16800000.0
STA. ANA ENTERPRISES,16560500.0
"A.H. SHOPPERS MART, INC.",16560000.0
"EXTRA ORDINAIRE JANITORIAL & MANPOWER SERVICES, INC.",16484560.5
MKG TOLENTINO TRADING,16386040.0
Biosite Medical Instruments,16200000.0
Ritech Marketing,16150000.0
ARXMEDICA MARKETING,16044500.0
GJK PHARMA DISTRIBUTORS,16043225.0
MEDSPECS SOLUTIONS INC.,15973150.0
"Seedworks Phils., Inc.",15885000.0
Jedeco Trading Corp.,15771845.0
IAuto Inc.,15750000.0
JAIME SANTOS RICE MILL,15614200.0
"Seedworks Philippines, Inc.",15591800.0
Phil Pharmawealth Inc.,15497250.0
Kulit's Drugstore,15310060.0
Yveng Pharmacy,15297250.0
SACECO TRADING,15288900.0
BIOSITE MEDICAL INSTRUMENTS,15100000.0
BIOSITE MEDICAL INSTRUMENTS,15100000.0
BIOSITE MEDICAL INSTRUMENTS,15100000.0
BIOSITE MEDICAL INSTRUMENTS,15100000.0
LKS Pharmacy,15009159.0
Bullseye Solutions Inc.,15000000.0
Biosite Medical Instruments,15000000.0
Real Star Rice Center,15000000.0
ARMA-MED TECHNOLOGIES,15000000.0
Chels and Clyde Trading,14999778.0
Alghen Trading,14999040.0
EXELMED PHARMA TRADE,14998012.5
NAC Marketing,14997522.0
HYPERTRADE DISTRIBUTORS,14995000.0
Ferdielaine Enterprises,14960000.0
Tacloban 6500 Inc. (Formerly LTZ Construction and Supply),14890431.5
SYNAPSE TRADING,14853400.0
"SeedWorks Philippines, Incorporated",14810000.0
Supervalue Inc.,14786928.0
Rayanton Farms & Livestock Corporation,14784000.0
WMA BUY AND SELL,14594419.2
Perking Elmer Instruments,14479030.0
ER SUPERMALL,14415000.0
Global Pharma Enterprise,14270500.0
AJ General Merchandise,14100000.0
R. Evangelista Ricemill,14096290.0
Drei Enterprises,14066000.0
VKO MARKETING,13950000.0
ALTURAS SUPERMARKET CORP.,13868271.92
Jaydee Care Marketing,13861560.0
MC JEB TRADING,13805000.0
BRYANT MILLING & MARKETING,13800000.0
JIO RICEMILL & GRAINS TRADING,13800000.0
"Sunfu Solutions, Inc.",13785000.0
FORTBO ENTERPRISES,13720000.0
Yveng Pharmacy,13644750.0
Unimasters Conglomeration Inc,13500000.0
Metro Mobilia Corporation,13500000.0
NEGROS MEDICAL TRADING,13495500.0
Almeria International Construction Corporation,13451495.91
Almeria International Construction Corporation,13451495.91
FRESHMARKER TRADING,13369950.0
VKO MARKETING,13280000.0
DEI Properties Inc.,13227000.0
KOLONWEL TRADING,13200000.0
Mariqueta G. Navarro,13000000.0
LORD ELGYN MERCHANDISING,12999296.0
QM Builders,12998000.0
STA. ANA ENTERPRISES,12995350.0
JV of Kcrown Enterprise and Avila Medical and Hospital Supplies,12874950.0
Sta. Ana Enterprises,12850000.0
"EMMAIAH MARKETING AND SERVICES, INC.",12823982.0
"Wamrus Trading, Inc.",12750000.0
MASFAR INTERNATIONAL TRADING CORP.,12700250.0
PEPSONS TRADING,12581250.0
UNITED JT TRADERS INCORPORATED,12500000.0
"Yana Chemodities, Inc.",12480750.0
KINGFIELDS RICE SOLUTIONS INC.,12420000.0
Dynasty Pharmaceuticals,12380000.0
National Food Authority,12375000.0
National Food Authority,12375000.0
BV Three Two Four Printing and Trading,12372175.0
"LTS RETAILS SPECIALIST, INC.,",12281400.0
"Woodridge Builders Construction & Supplies, Inc.",12250000.0
"WOODRIDGE BUILDERS CONSTRUCTION & SUPPLIERS ,INC.",12250000.0
LINDONGAN ENTERPRISES,12250000.0
GOLDENYANA ENTERPRISES,12250000.0
GOLDENYAN ENTERPRISES,12250000.0
SUPER VALUE INC.,12238000.0
MAICA GROCERY STORE,12216825.0
Solidgroup Technologies Corporation,12157302.73
FUTURISTIC TRADING AND CONSTRUCTION,12148800.0
JLH Medics Enterprises,12093869.64
Double A Rice mill,12039750.0
Lantau Industrial Supply and Services Corporation,12014676.0
J.M DIZON PHARMACEUTICALS & GEN. MDSE.,12000000.0
"Asya Medika, Inc.",12000000.0
"Asya Medika, Inc.",12000000.0
AMANSEC BUILDERS,11955323.89
AMANSEC BUILDERS,11950391.33
Goodluck Rice Mill,11940000.0
HLYC Trading,11913000.0
"Sunfu Solutions, Inc.",11900000.0
ESPJR Trading,11900000.0
CANOGA ENTERPRISES,11755866.0
"PL JUAN CONSTRUCTION, INC.",11560851.09
DFR GENERAL MERCHANDISE,11537750.0
DFR GENERAL MERCHANDISE,11537000.0
COUNTRY RICE MILL AND TRADING CORPORATION,11513500.0
MEDICAL GALLERY TRADING CO.,11504100.0
U-Net Distributors Corp.,11500000.0
AJ General Merchandise,11500000.0
"SAIDDI AGRI FARM AND TRADING, INC.",11500000.0
"RESPICARE ENTERPRISES, INC.",11500000.0
CENTRO SUPERSALES INC.,11495000.0
Dynamic Global Soft Inc.,11440000.0
EIGHT KIDS CONSTRUCTION AND TRADING,11430374.91
MDX Construction,11350983.67
"SAIDDI AGRI FARM AND TRADING, INC.",11310000.0
MRL CYBERTEC CORPORATION,11291290.0
HEBA ENTERPRISES,11279412.0
PATIENT CARE CORPORATION,11200000.0
Ritech Marketing,11150000.0
MAICA GROCERY STORE,11136750.0
"EQUILIFE MEDICAL EQUIPMENT SUPPLIES & SERVICES, INC.",11136076.0
NEW ISABELA GRAINS MILLING,11100000.0
AJ General Merchandise,11090000.0
Anascomm Electronics Supply Co.,11060000.0
SY SU,11020000.0
AM EMNACE STORE,11000000.0
GOLDMAN ENTERPRISE,11000000.0
"VR Rice Mill, Rice and Corn Dealer",11000000.0
"VR Rice Mill, Rice and Corn Dealer",11000000.0
C. MENDOZA AGRI-SUPPLY,11000000.0
Century Pacific Food Inc.,11000000.0
National Food Authority,11000000.0
PRIME MEDIX CORP,11000000.0
STERITEX Medical System,10925000.0
VINOYA BABY CONO,10909080.0
MILTEC Trading,10875000.0
Jaydee Care Marketing,10870500.0
JASVER COMMERCIAL,10841700.0
GUIRUELA'S MEAT AND FROZEN PRODUCTS STORE,10794000.0
"Health Line Medical Distributions, Inc.",10739296.0
Loriel Pharmaceuticare,10723500.0
Shan Pharmaceutical Dealer and Drugstore,10719450.0
Jarcare Trading Corporation,10711500.0
Archinet International Inc.,10650500.0
"SEEDWORKS PHILIPPINES, INC.",10630000.0
JEDECO TRADING CORPORATION,10627874.0
SL AGRITECH CORPORATION,10625000.0
"ZAFIRE DISTRIBUTORS, INC.",10620000.0
"LONG PING TROPICAL RICE DEVELOPMENT, INC.",10617876.0
Alyhar Marketing,10606104.0
"Filkohayes Services, Incorporated",10600000.0
Yanyan Marketing,10580000.0
"Sunfu Solutions, Inc.",10500000.0
"HEALTHWELNESSLIFESTYLE,INC.",10500000.0
UZIEL PHARMACEUTICAL PRODUCT DISTRIBUTION,10500000.0
Puring Rosita Candy Store,10450000.0
Klick Lucky Marketing,10449200.0
Jedeco Trading Corp.,10442911.0
"Sunfu Solutions, Inc.",10430000.0
WESTERN FORTUNE TRADING,10405584.0
WESTERN FORTUNE TRADING,10405584.0
WTL Apartment and Warehouse,10400000.0
VKO MARKETING,10400000.0
BEB's Dry Good Store,10400000.0
L.G. Moreno Rice Supply,10395000.0
D' Friendly Multi Sales Inc.,10394110.0
"Centro Supersales, Inc.",10312500.0
EVER BLUE RICE ILL & GRAINS TRADING,10259400.0
HLYC Trading,10200000.0
ALTURAS SUPERMARKET CORPORATION,10165462.44
EMMIE GROCERY STORE,10108160.0
East Tierra Resources Trading Inc.,10089010.75
"MODERN TIME ENTERPRISES, INC.",10060800.0
STA. ANA ENTERPRISES,10052500.0
"Medmaster, Inc.",10000000.0
"Medmaster, Inc.",10000000.0
AMI EQUIPMENT SERVICES AND SOLUTIONS,10000000.0
JUNIPER 3 PROC. CORP,10000000.0
,10000000.0
VARIANCE TRADING CORP,9999745.0
Alghen Trading,9999738.0
Gervy's Trading & General Merchandise,9999738.0
JEWEL JADE ENTERPRISES,9999600.0
Gervy's Trading & General Merchandise,9999360.0
Rosen-Lian Trading,9999360.0
CASTOR AGRI BUY AND SELL,9999000.0
"EDFROBON CONSTRUCTION SERVICES, INC.",9997079.21
NOVUS AVENIR PHARMACEUTICALS,9972167.98
"AMI EQUIPMENT SERVICES & SOLUTIONS, INC.",9950000.0
Centro-Med Enterprises,9918000.0
"AMI EQUIPMENT SERVICES AND SOLUTIONS, INC.",9900000.0
HERLYN'S STORE,9900000.0
VKO MARKETING,9840000.0
"ZAFIRE DISTRIBUTORS, INC.",9839815.0
"Seedworks Philippines, Inc.",9800000.0
"Asya Medika, Inc.",9800000.0
"Asya Medika, Inc.",9800000.0
"Asya Medika, Inc.",9800000.0
"Asya Medika, Inc.",9800000.0
"Asya Medika, Inc.",9800000.0
"Asya Medika, Inc.",9800000.0
Megadeli Marketing Inc,9793876.0
Goro Marketing,9785000.0
Shan Pharmaceuticals Dealer & Drugstore,9750000.0
DPIA Marketing Cooperative,9720000.0
Max's Kitchen Inc.,9720000.0
B-SHINE PHARMA,9668100.0
BV Three Two Four Printing and Trading,9625000.0
variance trading corp,9597060.0
Josmef Enterprises,9570000.0
Carmy Enterprise,9519994.5
"DAVAO SAN-EI TRADING, INC.",9500000.0
VTLC TRADING,9498700.0
Health Line Medical Equipment,9430000.0
NEXGEN BIODEVICES,9300000.0
WIL-LYS CEREAL TRADING CORPORATION,9296040.0
KCX'SUPPLY WHOLESALING,9247080.0
Kairos Pharma - Medical Supplies and Equipment,9232600.0
Gibrosen General Merchandise,9200000.0
Pinwenco Enterprises,9176329.33
Triple â€œMâ€ Construction,9166852.75
Cotabato Integrated Seeds Producers Marketing Cooperative,9120000.0
LOCAL FARMERS,9099200.0
NINO KARL JAY TRADING,9048200.0
ECO-HYGIENE INSTITUTIONAL SALES CORPORATION,9018000.0
AMB . ALC HOLDINGS & MANAGEMENT CORPORATION,9000000.0
"CGC Grains, Incorporated",9000000.0
HEALTHSOLUTIONS ENT,9000000.0
Calanasan LGU Employees Multi Purpose Cooperative,8998000.0
Calanasan LGU Employees Multi-Purpose Cooperative,8998000.0
RITE ONE PHARMA,8906200.0
ST. ALMERS CONSTRUCTION AND ENTERPRISE,8901661.0
A3 General Merchandise/Virac Fortune Enterprises/Greenstone Enterprise,8892400.0
DAILY DOSE PHARMACY,8870000.0
Jedeco Trading Corp.,8813237.0
ASHLI RICE TRADING OR CATALINA PAGBA,8800000.0
CAMSUR MULTI-PURPOSE COOPERATIVE,8775000.0
Jedeco Trading Corp.,8753249.0
MC JEB TRADING,8750000.0
Variance Trading Corporation,8750000.0
DAVAO ORIENTAL SEED PRODUCERS COOPERATIVE (DOSEPCO),8711800.0
Megadeli Marketing Inc,8705626.0
"TACURONG FIT MART, INC.",8677000.0
Yanyan Marketing,8625000.0
"Respicare Enterprises, Inc.",8620000.0
Alturas Supermarket Corporation,8595050.0
Kairos Pharma -Medical Supplies and Equipment,8576000.0
NEMRAC MEDICAL AND PHARMA SUPPLIES CORP.,8553680.0
"RG Meditron, Inc.",8550000.0
"GranSol Trading Company, Inc.",8542750.0
Sta. Ana Enterprises,8508500.0
Pinwenco Enterprises,8503380.83
JANNAMER RICE WHOLESALE AND RETAILER CORPORATION,8500000.0
RDT Rice Trading,8500000.0
PHARMEDIC CORP,8500000.0
Ideal Unomed Care Corp.,8499950.0
Jhall Marketing & Services,8489600.0
SONCHEL PHARMA DISTRIBUTORS,8480000.0
"Metro Rapid Transit Services, Inc",8400000.0
JOSMEF ENTERPRISES,8400000.0
CRISHAMAY LANZ ENTERPRISES,8400000.0
GMND Gen. Merchandise,8400000.0
G4 GRAINS CENTRAL INC.,8400000.0
11th Hour Trading,8400000.0
Canaan Enterprises,8400000.0
"Manila Healthtek, Inc.",8400000.0
INFINITE MEDICAL TRADING,8360000.0
Bi-suns Build Ventures,8350326.5
Global Pharma Enterprise,8281685.0
QUASAR Trading,8277000.0
TRISTAN TEJADA CONSTRUCTION,8251488.0
"Sunfu Solutions, Inc.",8225000.0
Misamis Farmers Multi-purpose Cooperative,8180000.0
KCX Supply Wholesaling,8091659.76
Scionetrade Corporation,8047800.0
"BANTUG AGRICULTURAL MULTIPURPOSE COOPERATIVE, INC.",8000000.0
PAYALIN TRADING INCORPORATED,7999950.0
AJ General Merchandise,7968000.0
A.G. CAPARROS MART,7940000.0
Ritech Marketing,7933995.0
Enhanced Medical and Industrial Enterprises/ Onofre A. Deganos,7929761.04
JRJL Trading,7920000.0
G.Y TRADING,7910000.0
"Pacificphil Distribution Group, Inc.",7903760.0
Autospeedygo Corporation,7900000.0
JLH Medics Enterprise,7875000.0
Kulit's Drugstore,7859200.0
CECCION TRADING,7854000.0
Jercent Enterprises & Construction,7829600.0
Pink 24/7Pharmacy Corp,7800000.0
medicotek inc,7800000.0
"MEDICOTEK, INC.",7800000.0
CENTRO SUPERSALES INC.,7795000.0
SYNAPSE TRADING,7793950.0
AJ General Merchandise,7755000.0
SEED TO RICE PRODUCERS COOP. (S2R),7740000.0
"MEDICOTEK, INC.",7600000.0
DJLMBR RICE POULTRY SUPPLY,7600000.0
ONE ILOCOS NORTE SEED PRODUCERS COOPERATIVE,7600000.0
VARIANCE Trading Corporation,7560000.0
Global Pharma Enterprise,7532000.0
Marquin GeneraL Merchandise,7525000.0
Baliwag Transit Inc.,7521920.0
SL Agritech Corporation,7500000.0
MERIJR ENTERPRISES INC.,7500000.0
Jedeco Trading Corporation,7500000.0
"SeedWorks Philippines, Incorporated",7500000.0
SL Agritech Corporation,7500000.0
"RICA MARKETING OF BACOLOD, INC.",7500000.0
BIOSITE MEDICAL INSTRUMENTS,7500000.0
BIOSITE MEDICAL INSTRUMENTS,7500000.0
"National Food Authority - Ipil, Zamboanga Sibugay",7500000.0
"RICA MARKETING OF BACOLOD, INC.",7500000.0
3E Drug,7499000.0
MANILA HEALTHTEK INC.,7492800.0
BRNZEN CONSTRUCTION,7485210.07
BENZEN CONSTRUCTION,7485210.07
GR CASTILLO MEDICAL SUPPLIES,7431750.0
MC JEB TRADING,7420400.0
M. B. Ang Construction and Supply,7388078.27
Zafire Distributors Inc.,7380000.0
BB-JOY STORE,7374400.0
Valenzuela Chicken and Eggs Dealer,7364107.78
Yanyan Marketing,7361150.0
leean medical & surgical supplies,7360483.2
BRYANT MILLING & MARKETING,7355200.0
COTABATO DBG GENERAL MERCHANDISE,7350000.0
NEXGEN BIODEVICES,7322200.0
MARS AGRIVENTURES AND COMMODITIES INC.,7318671.75
GLOBAL MEDICAL SOLUTIONS INC.,7300000.0
Duomedics Enterprises,7281525.0
"OMNIBUS BIO-MEDICAL SYSTEMS, INC.",7276800.0
GEORGEINA'S TRADING,7232000.0
VMD Rice Mill,7209551.7
PAULEN GENERAL MERCHANDISE,7200000.0
PAULEN GENERAL MERCHANDISE,7200000.0
Cisco Engineering Industries,7111738.0
"Tacurong Fitmart, Inc.",7100841.0
PAMPANGA HOSPITAL PRODUCT,7100000.0
NINO KARL JAY TRADING,7050000.0
Versaflex Enterprises,7020000.0
Victor Del Rosario Rice Mill orporation,7011000.0
GTM RICE AND CORN MILL,7000000.0
"HEALTHSOLUTIONS ENTERPRISES, INC.",7000000.0
"Pert,Incorporated",7000000.0
DBM - Procurement Service,6997077.29
DANIELA MERZ RICE MILL RICE PALAY DEALER,6981680.0
Jedeco Trading Corp.,6963607.0
SL Agritech Corporation,6960000.0
"MEDICOTEK, INC.",6940000.0
BRP JR TRADING,6900000.0
EDWIN AYCO BIGASAN,6900000.0
RESPICARE ENTERPRISES,6880000.0
LUCK J 888 RICE MILL CORPORATION,6841150.0
Rainphil Inc,6839000.0
"Seedworks Philippines, Inc",6820800.0
"A.H. SHOPPERS MART, INC.",6819450.0
PV General Merchandise,6803720.0
Gonzalbo Store,6782993.2
JEDECO TRADING CORPORATION,6777288.0
KELP MARKETING,6777000.0
SL AGRITECH CORPORATION,6759932.4
"SEEDWORKS PHILIPPINES,INC",6759932.4
JEDECO TRADING CORPORATION,6757296.0
JEDECO TRADING CORPORATION,6757296.0
JEDECO TRADING CORPORATION,6757296.0
"LONGPING TROPICAL RICE DEVELOPMENT,INC",6753240.0
