Name Of Awarded Company,Amount Awarded (in hundred thousands),Company Age
ROBUSTAN INC.,336.0,10.208219178082192
ROBUSTAN INC.,58.0,10.208219178082192
ROBUSTAN INC.,25.8,10.208219178082192
ROBUSTAN INC.,25.8,10.208219178082192
ROBUSTAN INC.,25.8,10.208219178082192
ROBUSTAN INC.,25.8,10.208219178082192
ROBUSTAN INC.,25.8,10.208219178082192
ROBUSTAN INC.,25.5,10.208219178082192
ROBUSTAN INC.,10.6,10.208219178082192
ROBUSTAN INC.,7.32,10.208219178082192
PROGRESSIVE GRAINS MILLING CORPORATION,330.0,14.605479452054794
PROGRESSIVE GRAINS MILLING CORPORATION,55.758,14.605479452054794
PROGRESSIVE GRAINS MILLING CORPORATION,55.75,14.605479452054794
PROGRESSIVE GRAINS MILLING CORPORATION,18.586,14.605479452054794
"MEDICOTEK, INC.",320.0,17.55068493150685
"MEDICOTEK, INC.",78.0,17.55068493150685
"MEDICOTEK, INC.",76.0,17.55068493150685
"MEDICOTEK, INC.",69.4,17.55068493150685
"MEDICOTEK, INC.",46.8,17.55068493150685
"MEDICOTEK, INC.",18.1,17.55068493150685
"MEDICOTEK, INC.",13.2,17.55068493150685
"MEDICOTEK, INC.",1.75,17.55068493150685
"MEDICOTEK, INC.",1.02,17.55068493150685
"MEDICOTEK, INC.",0.2,17.55068493150685
"MEDICOTEK, INC.",0.2,17.55068493150685
HOMERO'S RICE STORE,300.7721,3.5863013698630137
HOMERO'S RICE STORE,50.0,3.5863013698630137
HOMERO'S RICE STORE,23.7752,3.5863013698630137
HOMERO'S RICE STORE,11.2881,3.5863013698630137
HOMERO'S RICE STORE,4.33,3.5863013698630137
QUIRANTE CONSTRUCTION,279.99,12.487671232876712
QUIRANTE CONSTRUCTION,279.99,12.487671232876712
QUIRANTE CONSTRUCTION,259.99,12.487671232876712
QUIRANTE CONSTRUCTION,259.99,12.487671232876712
JORDA TRADING,279.9825,15.04109589041096
JORDA TRADING,239.9985,15.04109589041096
JORDA TRADING,35.07,15.04109589041096
JORDA TRADING,6.8805,15.04109589041096
ALMERIA INTERNATIONAL CONSTRUCTION CORPORATION,265.1798495,1.1863013698630136
ALMERIA INTERNATIONAL CONSTRUCTION CORPORATION,265.1798495,1.1863013698630136
ALMERIA INTERNATIONAL CONSTRUCTION CORPORATION,134.5149591,1.1863013698630136
ALMERIA INTERNATIONAL CONSTRUCTION CORPORATION,134.5149591,1.1863013698630136
"MALANGATONG FARMERS ASSOCIATION, INC.",252.0,7.7315068493150685
SMARTBIZ TRADING AND GENERAL MERCHANDISE,248.32,7.682191780821918
SMARTBIZ TRADING AND GENERAL MERCHANDISE,170.0,7.682191780821918
SMARTBIZ TRADING AND GENERAL MERCHANDISE,29.835,7.682191780821918
CROSSIX INC.,247.85664,2.9534246575342467
CROSSIX INC.,50.1,2.9534246575342467
GOLDENYANA ENTERPRISES,245.0,3.8219178082191783
GOLDENYANA ENTERPRISES,122.5,3.8219178082191783
EVL DUQUE MARKETING,245.0,0.3232876712328767
EVL DUQUE MARKETING,245.0,0.3232876712328767
MINE GENERAL MERCHANDISE,245.0,1.4082191780821918
CEBU CKS COMMODITIES CORP.,235.0,2.6986301369863015
CEBU CKS COMMODITIES CORP.,61.5,2.6986301369863015
CEBU CKS COMMODITIES CORP.,40.216,2.6986301369863015
CEBU CKS COMMODITIES CORP.,16.016,2.6986301369863015
CEBU CKS COMMODITIES CORP.,5.984,2.6986301369863015
BAP CONSTRUCTION AND DEVELOPMENT CORPORATION,231.5323835,6.298630136986302
DREI ENTERPRISES,224.95,12.789041095890411
DREI ENTERPRISES,140.66,12.789041095890411
DREI ENTERPRISES,67.3,12.789041095890411
DREI ENTERPRISES,18.5,12.789041095890411
DREI ENTERPRISES,14.76,12.789041095890411
DREI ENTERPRISES,11.0145,12.789041095890411
DREI ENTERPRISES,10.538,12.789041095890411
DREI ENTERPRISES,9.6,12.789041095890411
DREI ENTERPRISES,8.45,12.789041095890411
DREI ENTERPRISES,8.0,12.789041095890411
DREI ENTERPRISES,5.25,12.789041095890411
DREI ENTERPRISES,4.9077,12.789041095890411
DREI ENTERPRISES,4.32,12.789041095890411
DREI ENTERPRISES,3.9,12.789041095890411
DREI ENTERPRISES,3.9,12.789041095890411
DREI ENTERPRISES,2.2485,12.789041095890411
DREI ENTERPRISES,1.875,12.789041095890411
DREI ENTERPRISES,0.235,12.789041095890411
FFJJ CONSTRUCTION,216.78,13.906849315068493
INVICTUS DENTAL SUPPLIES TRADING,213.2752081,0.1232876712328767
AJ GENERAL MERCHANDISE,199.8,1.6849315068493151
AJ GENERAL MERCHANDISE,141.0,1.6849315068493151
AJ GENERAL MERCHANDISE,115.0,1.6849315068493151
AJ GENERAL MERCHANDISE,110.9,1.6849315068493151
AJ GENERAL MERCHANDISE,79.68,1.6849315068493151
AJ GENERAL MERCHANDISE,77.55,1.6849315068493151
AJ GENERAL MERCHANDISE,49.8,1.6849315068493151
AJ GENERAL MERCHANDISE,19.65888,1.6849315068493151
AJ GENERAL MERCHANDISE,14.9372,1.6849315068493151
AJ GENERAL MERCHANDISE,14.817,1.6849315068493151
AJ GENERAL MERCHANDISE,10.15,1.6849315068493151
AJ GENERAL MERCHANDISE,2.7162,1.6849315068493151
AJ GENERAL MERCHANDISE,2.0522,1.6849315068493151
AJ GENERAL MERCHANDISE,1.52168,1.6849315068493151
AJ GENERAL MERCHANDISE,1.04637,1.6849315068493151
AJ GENERAL MERCHANDISE,0.325,1.6849315068493151
V-RICH TRADING & COMPUTER SUPPLIES,198.0405,1.9835616438356165
V-RICH TRADING & COMPUTER SUPPLIES,9.9994,1.9835616438356165
V-RICH TRADING & COMPUTER SUPPLIES,6.98787,1.9835616438356165
ZMJ COMMERCIAL,197.6115,5.1287671232876715
ZMJ COMMERCIAL,2.72296,5.1287671232876715
ZMJ COMMERCIAL,2.5,5.1287671232876715
DYNASTY PHARMACEUTICALS,196.5,14.92054794520548
DYNASTY PHARMACEUTICALS,123.8,14.92054794520548
DYNASTY PHARMACEUTICALS,19.5,14.92054794520548
DYNASTY PHARMACEUTICALS,11.0625,14.92054794520548
DYNASTY PHARMACEUTICALS,10.5535,14.92054794520548
DYNASTY PHARMACEUTICALS,5.005,14.92054794520548
DYNASTY PHARMACEUTICALS,4.55,14.92054794520548
DYNASTY PHARMACEUTICALS,2.905,14.92054794520548
DYNASTY PHARMACEUTICALS,1.875,14.92054794520548
DYNASTY PHARMACEUTICALS,0.75,14.92054794520548
DYNASTY PHARMACEUTICALS,0.515,14.92054794520548
DRUGNEXTDOOR CO.,194.0,1.0547945205479452
FAST AUTOWORLD PHILIPPINES CORPORATION,184.8,1.084931506849315
KNC RICE RETAILER AND WHOLESALER,181.502995,10.72054794520548
KNC RICE RETAILER AND WHOLESALER,34.48152,10.72054794520548
KNC RICE RETAILER AND WHOLESALER,1.1205,10.72054794520548
MCP'S MED-SHOP,179.4072,11.95890410958904
MCP'S MED-SHOP,2.8464,11.95890410958904
MCP'S MED-SHOP,0.1964,11.95890410958904
A-RAMP TRADING,178.3464,7.175342465753425
VKO MARKETING,173.0725,4.895890410958904
VKO MARKETING,139.5,4.895890410958904
VKO MARKETING,132.8,4.895890410958904
VKO MARKETING,104.0,4.895890410958904
VKO MARKETING,98.4,4.895890410958904
VKO MARKETING,1.5,4.895890410958904
"SUNFU SOLUTIONS, INC.",170.3,7.884931506849315
"SUNFU SOLUTIONS, INC.",137.85,7.884931506849315
"SUNFU SOLUTIONS, INC.",119.0,7.884931506849315
"SUNFU SOLUTIONS, INC.",105.0,7.884931506849315
"SUNFU SOLUTIONS, INC.",104.3,7.884931506849315
"SUNFU SOLUTIONS, INC.",82.25,7.884931506849315
"SUNFU SOLUTIONS, INC.",50.1231,7.884931506849315
"SUNFU SOLUTIONS, INC.",6.5,7.884931506849315
"SUNFU SOLUTIONS, INC.",4.08,7.884931506849315
"SUNFU SOLUTIONS, INC.",3.61448,7.884931506849315
NAC MARKETING,170.29586600000002,2.947945205479452
NAC MARKETING,149.97522,2.947945205479452
ARXMEDICA MARKETING,160.445,9.323287671232876
ARXMEDICA MARKETING,17.49928,9.323287671232876
ARXMEDICA MARKETING,6.085,9.323287671232876
ARXMEDICA MARKETING,4.15,9.323287671232876
ARXMEDICA MARKETING,4.15,9.323287671232876
ARXMEDICA MARKETING,3.19313,9.323287671232876
ARXMEDICA MARKETING,2.9808,9.323287671232876
ARXMEDICA MARKETING,2.9808,9.323287671232876
ARXMEDICA MARKETING,0.84781,9.323287671232876
ARXMEDICA MARKETING,0.2625,9.323287671232876
ARXMEDICA MARKETING,0.174,9.323287671232876
MEDSPECS SOLUTIONS INC.,159.7315,3.2849315068493152
MEDSPECS SOLUTIONS INC.,25.879984399999998,3.2849315068493152
MEDSPECS SOLUTIONS INC.,3.75,3.2849315068493152
KULIT'S DRUGSTORE,153.1006,11.413698630136986
KULIT'S DRUGSTORE,78.592,11.413698630136986
KULIT'S DRUGSTORE,62.8196,11.413698630136986
KULIT'S DRUGSTORE,11.209375,11.413698630136986
KULIT'S DRUGSTORE,4.48,11.413698630136986
KULIT'S DRUGSTORE,2.25,11.413698630136986
KULIT'S DRUGSTORE,1.82,11.413698630136986
YVENG PHARMACY,152.9725,9.213698630136987
YVENG PHARMACY,136.4475,9.213698630136987
YVENG PHARMACY,63.401,9.213698630136987
YVENG PHARMACY,30.0,9.213698630136987
YVENG PHARMACY,16.45,9.213698630136987
YVENG PHARMACY,9.60382,9.213698630136987
YVENG PHARMACY,6.0572,9.213698630136987
YVENG PHARMACY,5.025,9.213698630136987
SYNAPSE TRADING,148.534,11.123287671232877
SYNAPSE TRADING,77.9395,11.123287671232877
SYNAPSE TRADING,9.7124,11.123287671232877
SYNAPSE TRADING,4.17,11.123287671232877
GLOBAL PHARMA ENTERPRISE,142.705,5.241095890410959
GLOBAL PHARMA ENTERPRISE,82.81685,5.241095890410959
GLOBAL PHARMA ENTERPRISE,75.32,5.241095890410959
GLOBAL PHARMA ENTERPRISE,29.301042999999996,5.241095890410959
GLOBAL PHARMA ENTERPRISE,25.5726,5.241095890410959
GLOBAL PHARMA ENTERPRISE,18.9955,5.241095890410959
GLOBAL PHARMA ENTERPRISE,16.999,5.241095890410959
GLOBAL PHARMA ENTERPRISE,11.25,5.241095890410959
GLOBAL PHARMA ENTERPRISE,10.06425,5.241095890410959
GLOBAL PHARMA ENTERPRISE,7.2055,5.241095890410959
GLOBAL PHARMA ENTERPRISE,4.297,5.241095890410959
GLOBAL PHARMA ENTERPRISE,3.61448,5.241095890410959
GLOBAL PHARMA ENTERPRISE,2.6139,5.241095890410959
GLOBAL PHARMA ENTERPRISE,0.9394,5.241095890410959
METRO MOBILIA CORPORATION,135.0,2.0712328767123287
KOLONWEL TRADING,132.0,16.30958904109589
LORD ELGYN MERCHANDISING,129.99296,12.402739726027397
"YANA CHEMODITIES, INC.",124.8075,18.235616438356164
"YANA CHEMODITIES, INC.",29.1456,18.235616438356164
"YANA CHEMODITIES, INC.",1.3179,18.235616438356164
"YANA CHEMODITIES, INC.",0.575,18.235616438356164
LINDONGAN ENTERPRISES,122.5,1.0465753424657533
MAICA GROCERY STORE,122.16825,0.03287671232876712
MAICA GROCERY STORE,111.3675,0.03287671232876712
JLH MEDICS ENTERPRISES,120.93869640000001,13.238356164383562
JLH MEDICS ENTERPRISES,2.65,13.238356164383562
JLH MEDICS ENTERPRISES,0.752,13.238356164383562
JLH MEDICS ENTERPRISES,0.1683,13.238356164383562
AMANSEC BUILDERS,119.55323890000001,3.208219178082192
AMANSEC BUILDERS,119.50391330000001,3.208219178082192
HLYC TRADING,119.13,12.246575342465754
HLYC TRADING,102.0,12.246575342465754
HLYC TRADING,39.017615,12.246575342465754
HLYC TRADING,24.6805,12.246575342465754
HLYC TRADING,20.4,12.246575342465754
HLYC TRADING,20.337484,12.246575342465754
HLYC TRADING,9.665631999999999,12.246575342465754
HLYC TRADING,5.4086535,12.246575342465754
HLYC TRADING,4.25,12.246575342465754
HLYC TRADING,3.5,12.246575342465754
HLYC TRADING,3.069,12.246575342465754
HLYC TRADING,2.7301,12.246575342465754
HLYC TRADING,2.55136,12.246575342465754
HLYC TRADING,2.31625,12.246575342465754
HLYC TRADING,2.135139,12.246575342465754
HLYC TRADING,1.83425,12.246575342465754
HLYC TRADING,0.825,12.246575342465754
HLYC TRADING,0.5022,12.246575342465754
HLYC TRADING,0.224,12.246575342465754
DYNAMIC GLOBAL SOFT INC.,114.4,4.3780821917808215
DYNAMIC GLOBAL SOFT INC.,14.53,4.3780821917808215
MDX CONSTRUCTION,113.5098367,4.0
MDX CONSTRUCTION,5.02,4.0
MRL CYBERTEC CORPORATION,112.9129,17.84109589041096
MRL CYBERTEC CORPORATION,40.875,17.84109589041096
MRL CYBERTEC CORPORATION,10.588,17.84109589041096
MRL CYBERTEC CORPORATION,2.2,17.84109589041096
MRL CYBERTEC CORPORATION,2.2,17.84109589041096
MRL CYBERTEC CORPORATION,1.15425,17.84109589041096
MRL CYBERTEC CORPORATION,0.985,17.84109589041096
MRL CYBERTEC CORPORATION,0.88,17.84109589041096
MRL CYBERTEC CORPORATION,0.1635,17.84109589041096
MRL CYBERTEC CORPORATION,0.1109,17.84109589041096
PATIENT CARE CORPORATION,112.0,17.65753424657534
PATIENT CARE CORPORATION,55.0,17.65753424657534
PATIENT CARE CORPORATION,44.5,17.65753424657534
PATIENT CARE CORPORATION,38.0,17.65753424657534
PATIENT CARE CORPORATION,30.0,17.65753424657534
PATIENT CARE CORPORATION,26.7624,17.65753424657534
PATIENT CARE CORPORATION,3.6684,17.65753424657534
PATIENT CARE CORPORATION,3.6410614000000003,17.65753424657534
PATIENT CARE CORPORATION,2.64513,17.65753424657534
PATIENT CARE CORPORATION,1.4819136,17.65753424657534
PATIENT CARE CORPORATION,1.2228,17.65753424657534
PATIENT CARE CORPORATION,1.221444,17.65753424657534
PATIENT CARE CORPORATION,0.475,17.65753424657534
PATIENT CARE CORPORATION,0.08312299999999999,17.65753424657534
PATIENT CARE CORPORATION,0.0752079,17.65753424657534
NEW ISABELA GRAINS MILLING,111.0,10.70958904109589
NEW ISABELA GRAINS MILLING,53.91825,10.70958904109589
NEW ISABELA GRAINS MILLING,40.7,10.70958904109589
NEW ISABELA GRAINS MILLING,38.58175,10.70958904109589
NEW ISABELA GRAINS MILLING,33.3,10.70958904109589
ANASCOMM ELECTRONICS SUPPLY CO.,110.6,13.704109589041096
CENTURY PACIFIC FOOD INC.,110.0,5.983561643835617
CENTURY PACIFIC FOOD INC.,5.58729,5.983561643835617
STERITEX MEDICAL SYSTEM,109.25,15.531506849315068
STERITEX MEDICAL SYSTEM,40.716,15.531506849315068
STERITEX MEDICAL SYSTEM,12.6,15.531506849315068
STERITEX MEDICAL SYSTEM,12.0,15.531506849315068
STERITEX MEDICAL SYSTEM,8.6758,15.531506849315068
STERITEX MEDICAL SYSTEM,7.6,15.531506849315068
STERITEX MEDICAL SYSTEM,7.3875,15.531506849315068
STERITEX MEDICAL SYSTEM,5.25,15.531506849315068
STERITEX MEDICAL SYSTEM,4.998,15.531506849315068
STERITEX MEDICAL SYSTEM,1.68625,15.531506849315068
LORIEL PHARMACEUTICARE,107.235,5.756164383561644
LORIEL PHARMACEUTICARE,30.8,5.756164383561644
LORIEL PHARMACEUTICARE,14.0815,5.756164383561644
LORIEL PHARMACEUTICARE,1.3501,5.756164383561644
LORIEL PHARMACEUTICARE,1.295,5.756164383561644
JARCARE TRADING CORPORATION,107.115,10.668493150684931
JARCARE TRADING CORPORATION,25.0,10.668493150684931
JARCARE TRADING CORPORATION,13.25,10.668493150684931
JARCARE TRADING CORPORATION,7.0,10.668493150684931
UZIEL PHARMACEUTICAL PRODUCT DISTRIBUTION,105.0,0.01643835616438356
UZIEL PHARMACEUTICAL PRODUCT DISTRIBUTION,36.0,0.01643835616438356
