Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
Selucia Development Corporation,0.01678,13.0
FOUR BROTHERS WHOLESALE & RETAIL CENTER,0.0168,10.0
HI FIVE ENTERPRISES,0.017,7.0
REDZ ELECTRICAL SUPPLY,0.017,17.0
SOLAR GEN MARKETING SERVICES,0.0174,31.0
Charity Andres,0.0175,1.0
F. CASALME CONSTRUCTION & SUPPLY,0.0183997,8.0
Chi Enterprises,0.0187,6.0
YANNIS HARDWARE,0.01893,15.0
SILVER GOLD PAINT SUPPLY & HARDWARE,0.019,1.0
PAT AGRIVET TRADING,0.01908,1.0
GQ9 MULTISALES,0.0192,3.0
JL Motormarts Parts & Accessories,0.0194,7.0
FMML MARKETING,0.0198,37.0
BRODETH MARKETING,0.0198507,15.5
Sarmiento Welding Shop,0.02,7.0
Partner's Choicemed Inc.,0.02,365.0
TEODORWIL'S SCHOOL AND OFFICE SUPPLIES,0.02,16.0
Denamix Graphics Design,0.02016,1.0
STRENGTH HARDWARE ENTERPRISES,0.02032,30.0
AJNF CANDON GASOLINE STATION,0.021,10.0
PASAD AUDIO-TECH,0.0211,237.0
Awa Construction Supply,0.0218,7.0
I.D. POLINAR ENTERPRISES,0.02225,1.0
SIMMON JANE STORE,0.02262,16.0
ARIEL A. LUZON GENERAL MERCHANDISE,0.02311,15.5
BETTER FARMING AGRICULTURAL SUPPLY,0.0232,16.0
"ENDURE MADICAL, INC.",0.023350500000000003,84.0
"PHIL.PHARMAWEALTH, INC.",0.023806,7.0
SAVERS HOME DEPOT,0.02393,15.0
Save & Style,0.024,6.0
VILLAFLORES ENTERPRISS,0.0246,8.0
SUGATA-ON WATER REFILLING STATION,0.0246,274.0
THREE Râ€™S GLASS AND ALUMINUM SUPPLY,0.025,14.0
MARQT Store,0.025,88.0
BENNIE RAMOS STORE,0.02548,16.0
Christopher John Yu Enterprises,0.0258181,4.0
MITZ Spring Water Refilling Station,0.0265,9.0
DIY SHOP,0.026775,8.0
JAREDS CONSTRUCTION SUPPLY,0.02735,30.0
TIDER OIL GAS STATION,0.0276125,18.0
558 PHARMACY & CONVENIENCE STOR,0.028,4.0
THE PROJECT COMPUTER SERVICES & ENTERPRISES,0.028,15.0
PAR-BE Lumber and Construction,0.02834,6.0
Dipolog Hans Marketing,0.0285,15.0
SUNSHINE,0.028798,1.0
Ritzchild marketing,0.03,1.0
SCAMPACI,0.03,3.0
Pilipinas EcoFiber Corporation,0.03,7.0
SIM CONSTRUCTION TRADING & SERVICES,0.03035,2.0
GAISANO CAPITAL,0.03039,16.0
HARDWORX PRECISION ENTERPRISES,0.0304,72.0
Safedrive Motorparts,0.0306,7.0
Sunray Commercial,0.0307,7.0
KASAMA SA PAG-UNLAD SLPA GENERAL MERCHANDISE,0.03158,65.0
Every Minute Power Gas Station,0.0319,7.0
"Dadiangas Crown Bookstore, Inc.",0.032,6.0
Mr. Tomas Feraren,0.0322,1.0
Box Office and General Merchandise,0.03334,3.0
"CENTERPOINT SALES & TRADING, INC,",0.0336,6.0
COKINS EVERYWEAR GEN. MERCHANDISE,0.0336,1.0
PAMILAN'S COMMERCIAL INC.,0.03426,15.666666666666666
"Walter Mart Supermarket, Inc.",0.03489,5.0
Darcy Water Refilling Station,0.035,1.0
COKINS EVERYWEAR GEN. MDSE.,0.0355,1.0
RAINIER ENTERPRISES,0.035855,7.0
MCL GROCERY,0.03594,7.0
"BIOTRIUNE, INC.",0.036,30.0
Ms. Leonora Bialen,0.036,1.0
ELM Industrial Sales,0.0372,2.0
SM HYPERMARKET,0.0374375,31.0
CED General Merchandise,0.03824,16.0
ESC Merchandising,0.0385,4.0
Unipace Corporation,0.038595,14.0
METRO LUCENA,0.03876,1.0
COKINS EVERYWEAR GEN. MDSE,0.0388,1.0
W.A. Ladia Electronics,0.0399,20.0
Nicholo Trading,0.04,7.0
"NEW TOP STEEL BUILDERS CENTER, INC",0.0402,31.0
TONY-CELIA STORE,0.0409,1.0
Golden Three 168 Trading Inc,0.04124,6.0
JANREY BERAY,0.042,3.0
"7th DCNC Worldwide, Inc.",0.04235,21.0
NOYAX SPARE PARTS,0.043,40.0
BAGMOUNT DRUG DISTRIBUTOR,0.0432,31.0
Rosemarie Gardose,0.044,1.0
Anna's NetPrintShoppe Ent.,0.045,7.0
4J Suncity Trading Co. Ltd.,0.0465,7.0
AYCEE TECH TRADING & SERVICES,0.047,9.0
HARDY MARKETING ENT,0.0475,1.0
Solly Store,0.0477,5.0
BETHSAIH ENTERPRISES,0.048,3.0
KAAKBAY CALABARZON ENTRE-WORKER COOPERATIVE,0.048,7.0
JEWEL & NICKEL STORE,0.04812,1.0
LORIEPAS SINGGUIPEN,0.0483,10.0
"SURGICO PHILIPPINES, INC.",0.04895,23.0
VG SOBIACO GENERAL MERCHANDISE,0.049,18.0
ROSE PHARMACY,0.04909,3.0
BANTAYAN PRINT HUB,0.0494,40.0
VSB Electronics,0.049995,1.0
Ralph Christian Enterprises,0.05,7.0
Dante Dongla,0.05,5.0
AXN Enterprises,0.05,14.0
Wilfredo L. Mortel,0.05,7.0
Ms. Alenita M. Talo,0.05,1.0
Erlinda G. Ruiz,0.05,7.0
Maricor H. Rufo,0.05,7.0
ZABALA MACHINE SHOP,0.05,7.0
DBM Procurement Service - Tacloban,0.0504,33.0
SQUAREFOOT GRAPHICS & ADS,0.052,30.0
3 and 1 General Merchandise,0.052,4.0
Smart Hardware,0.052025,7.0
LIBERTY AND SON'S LA UNION INC,0.0524,15.0
Mariveles Trading & Hardware Corp.,0.0533,15.0
24K ADVERTISING,0.05353,31.0
MILAGROS M. QUILOR,0.0539,9.0
Danilo Maquiling Mobile Loading Station,0.053975,1.0
Sam Water Refilling Station,0.054,1.0
MARZAN ENTERPRISES,0.054,30.0
LENY FERNANDEZ (reimbursement),0.055,9.0
CAG328 Enterprises,0.0551,2.0
Procurement Services,0.05564,7.0
Syldondale Hardware,0.05596,15.0
METRO DAVAO SUPREME PUMP,0.056,30.0
SIDGOA ENTERPRISES,0.056,7.0
Churchill Diano,0.0568,1.0
"Citihardware Gensan, Inc",0.0568575,6.0
BARCOTECH PHILIPPINES INC.,0.0575,30.0
Baao Water District,0.0577,10.0
YUVIC COMMERCIAL,0.058,1.0
Joy Supermart,0.05861,2.0
Daiso-Japan-Robinson Daiso Diversified,0.0588,4.0
KEELYN ENTERPRISES,0.0591,35.25
JARVEE GARMENTS,0.0592,14.0
"HVL ENTERPRISES, INC.",0.05922,42.0
Mariveles Women and Community MPC,0.05925,3.0
I-KLICK MERCHANT CONSUMER GOODS TRADING,0.0595,16.0
PDK Manufacturing Corporation,0.05975,51.0
"PRYCE GASES, INC.",0.06,1.0
CEBU GLASS SUPPLY,0.06,3.0
Save-On Drugstore,0.06,30.0
"Glasdon Supply, Inc.",0.06,13.0
RR BROTHERS' OFFICE SUPPLIES TRADING,0.06,1.0
"S1 TECHNOLOGIES, INC.",0.06,7.0
Unir-Rock MPC,0.06,6.0
GY Trading,0.06052,7.0
AGB TRADING,0.06189,42.0
DIGITECH XPRESS SERVICES AND SALES,0.0625,14.0
Marjoie Pantola,0.0626,7.0
Marjorie Pantola,0.0626,7.0
Noel Malba,0.0628,1.0
Magtur General Merchandise,0.0629,4.0
MATZ Printshop,0.063,9.0
First Pacific Fortune Commercial Corporation,0.0639,1.0
TRI-ACE MARKETING,0.06496,2.0
Wilfredo Subtiniente,0.0652,1.0
"Pili Battery Sales, Inc.",0.0656,7.0
"IKILL Pests, Inc.",0.066,7.0
"Pacifica Agrivet Supplies, Inc",0.066,7.0
Tri-Den Inc,0.06675,44.0
Bandiola Enterprise,0.06743310000000001,3.0
MEDTEX,0.068,2.0
"Lucky Hardware and Fishing Supplies, Inc.",0.068,11.0
JAMINE'S STORE,0.06823,5.0
SN Gabriel Drygoods Trading,0.06841,7.0
Sagada Mountainside Handicrafts Manufacturing,0.06875,88.0
A. Villamayor Hardware,0.0689848,7.0
PROBIZ OFFICE HUB INC.,0.069,7.0
AC Commercial,0.06912,7.0
M & K Merchandising,0.069575,3.0
A & J AUTO REPAIR & SUPPLY,0.0697,5.0
My Homedepot Jr. Inc.,0.0708,7.0
Leo C. Vitudio,0.07094,3.0
Emperado Tailoring Services,0.07125,7.0
METROVISION CUSTOMIZED PRINTING AND GEN MDSE,0.072,15.0
Borazon Sari-Sari Store,0.072725,31.0
Vallejos Commercial,0.07315,19.0
TWENTY OAKS,0.0739565,1.0
GLOBAL ACJJJ CORPORATION,0.0744,13.0
"ABDON C. ASTELLERO, JR.",0.075,9.0
ISG PHARMA & MEDICAL SUPPLIES,0.075,4.0
Lino R. Valenzuela,0.075,7.0
LELIA'S STORE AND BOTICA,0.0759,7.0
LMT Prints & Copier Center,0.07623,46.5
Victoria Supermarket,0.076755,1.0
The Generics Pharmacy,0.0769,7.0
FORMOSA COMMERCIAL,0.0772,8.0
SOPING SARI-SARI STORE,0.0772066,45.0
CECIL & DADO STORE,0.07746,1.0
"LTS Department Store, Inc.",0.0777704,2.0
Calink Resource Ventures,0.078,7.0
STACATA WATER REFILLING STATION,0.078,3.0
Ritchchild Marketing,0.078125,5.0
Aysi Enterprises,0.07833,6.0
SUBZERO ENTERPRISES,0.07834,15.0
SOGOD TECHNOPLUS TRADING,0.07927,15.0
SUBA AQUA WATER REFILLING STATION,0.08,42.0
PVANS Transport Terminal,0.08,1.0
MTOP,0.08,5.0
Mauvyshia Water Refilling Station,0.08,10.0
Paragua Drug Store and Grocery,0.0800328,1.0
"HYGIEIA INNOVATIONS & TECHNOLOGY, INC.",0.0802232,59.0
"Super8 Retail Systems, Inc",0.080335,1.0
Jim Pascua,0.0805,10.0
CROWN AGRI-TRADING CORP.,0.081,1.0
COMPUTER KINGDOM,0.081,15.0
Choz-A Medz Corp.,0.0811,14.0
GPRS GENERAL MERCHANDISE,0.08148,22.5
Joseph Grain,0.08225,8.0
Uni-Rock MPC,0.0825,1.0
GALWOOD FURNITURE & LUMBER,0.0825,16.0
TRIPET GASOLINE MARKETING,0.083,12.0
"SOFT BOILED EGGS, INC",0.08375,13.0
"Krypton International Resources Sales & Services, Inc",0.085,9.0
South Star Drug,0.0854,2.0
MERCURY DRUG,0.0859625,10.0
Watsons Personal Care Stores,0.086,15.0
ARAÃ‘A DECALS AND ADVERTISING,0.08725,30.0
L & M Variety Store,0.0875,61.0
CM Star Corporatio,0.088,31.0
YU YEK DY HARDWARE & AUTO SPARE PARTS SUPPLY,0.08856,15.0
JV & JBA Enterprises,0.08857,35.0
Autotech Center,0.0887,7.0
"LA TRINIDAD MJ TRADERS, INC.",0.08964,1.0
Fresmon Medical and Industrial Services,0.09,365.0
PEREZIAN GASOLINE STATION,0.09,7.0
"OmniFab, Inc.",0.09,6.0
Three A's Glass and Aluminum Supply,0.09,4.0
NILA F. FACTOR,0.09,9.0
Jemar Catering Services,0.09,1.0
Royal Star Appliance,0.09298,41.0
BOKYOT DESIGNS AND PRINTS,0.094085,3.5
RENE'S GENERAL MERCHANDISING AND CONSTRUCTION SUPPLY,0.0942,15.0
"Puregold Price Club, Inc",0.094235,1.0
Benguet Provincial Barangay & Health Worker Nutrition Scholars Credit Coop,0.0945,2.0
TRIPLE J CASTILLO MARKETING INC.,0.095,5.0
A3 & JEM General Enterprises,0.095,7.0
Auspecious Commercial,0.09506,1.0
Depot Link,0.0952,4.0
New Botica Conceptio. Inc,0.096,31.0
Davao Citihardware Inc,0.096,30.0
A.L.S. Glass and Aluminum,0.096,3.0
GRACE PHARMACY,0.09649,7.0
We Care Drug,0.0975,7.0
RBNSONS CORPORATION,0.0978,41.0
Britesky Enterprises,0.098,7.0
Anmar Lumber & Hardware,0.0986,9.666666666666666
Romen's General Merchandise,0.0987,10.0
MANGUBAT ENTERPRISES,0.0992,2.0
MOTHER PERPETUAL HELP DRUG STORE AND GEN MDSE,0.09925,4.0
GAL-OD-NOSNOSEN GENERAL MERCHANDISE,0.0996,1.0
"Inca Philippines, Inc.",0.1,2.0
Nationwide Sales Corp,0.1,7.0
AOL TRAVEL AND TOURS,0.1,1.0
Ariel R. Dela Torre,0.1,7.0
Nationwide Sales Corporation,0.1,11.0
HQS DISCO MOBILE,0.1,41.0
Berovan marketing Inc,0.1,30.0
NONESCOST MPC,0.1,1.0
E Pharmacy,0.1005,1.0
Housemint Enterprises,0.1005,16.0
MOTHER PERPETUAL HELP DRUG STORE & GEN MDSE.,0.10197200000000001,5.0
New Star Shopping Mart Inc.,0.1019785,1.0
GATEWAY EDUCATIONAL SUPPLY,0.102,35.0
Micco Car Aircon Repair Shop,0.1025,3.0
"PARAGUA DISTRIBUTION, INC.",0.1026,1.0
Luluville Comcard Printing Services,0.103,23.0
JD International Glass and Aluminum Supply,0.1034,2.5
JCD Medical Supplies,0.1038,6.0
Chef Edward Restaurant,0.104,1.0
RBJ Comtrex,0.104,7.0
Eralious Merchandise,0.10405,1.0
Filam Tech Biomedical Co.,0.1043,5.0
BENZEN OFFICE SUPPLIES TRADING,0.1045,16.0
Abby Dyanne's Printing Press,0.105,8.0
MELINDA NATIVE PRODUCTS,0.105,31.0
Cortez Store,0.105,62.0
Ms. Charity Andres,0.105,3.0
Cantilero Lines / Danilo P. Cantilero,0.105,1.0
Savers Home Depot,0.105,6.0
GPLUS ENTERPRISES,0.105,14.0
Meddarruz Pharmaceutical Philippines Inc.,0.105,2.0
GSG Construction Supplies,0.1051962,122.0
Uptown Innovative Prints,0.1066,9.0
Charlize Sari-sari Store,0.10737,10.0
Blessed St. John Pharma& Gen. Mdse.,0.108,14.0
R7- SPA,0.1081,11.0
ERalious Merchandise,0.1085,1.0
DIPOLOG GREATWALL CONSTRUCTION SUPPLY AND GENERAL MERCHANDISE,0.10886,16.0
DBM Procurement Service - Baguio,0.109235,19.0
INTERNATIONAL PHARMACEUTICAL INCORPORATED,0.109976,9.0
Mr. Simproso Gardose,0.11,1.0
SMS MARKETING,0.11,31.0
PIDIO'S METAL WORKS,0.11,13.0
JL Designs & Printing Services,0.1102,7.0
BDSCIENTIA MEDICAL AND DIAGNOSTIC SUPPPLIES,0.111,17.0
Joel Araiz,0.111,1.0
BIG BUYS ENTERPRISES,0.11264,4.0
CECIL'S STORE,0.1129,1.0
CHIONG GIOK TRADING INC.,0.11389,2.0
Toril LCY Trading Corporation,0.1139975,4.0
M.S. Galang Gasoline Service Station,0.115285,7.0
Luciana's Sari-Sari Store,0.1156,15.0
INDAY MEMAY STORE,0.11578379999999999,37.333333333333336
Magbanua Medical Supplies,0.116,1.0
iClick Solutions,0.1161,9.0
Nestor Buena Trading,0.1163,21.0
AGRICULTURAL SYSTEM INTEGRATED DEVELOPMENT COOPERATIVE,0.117,36.0
Savemore Tacloban,0.11797,1.0
AMICIS TRADING,0.119,10.0
PHIL.PHARMAWEALTH INC.,0.11903,7.0
Adkolorz Sign,0.11985,7.0
LUKE MEDICAL SUPPLIES,0.12,15.0
Pidio's metal works,0.12,1.0
VEMG,0.12,2.0
UK Pharmaceutical Distributions,0.12,1.0
R.I. Esplana Consumer Goods Trading,0.12,15.0
La Union Metro Houseware,0.12,14.0
JEROME LUNA,0.12,3.0
Mountain Province General Merchandise,0.12014,7.0
"TMVG MULTISALES, INC.",0.12184,15.0
DPA TRADING,0.12225,72.0
NONOY DELA CRUZ AGRO-INDUSTRIAL SUPPLY AND GENERAL MERCHANDISE,0.1224,35.0
Save on Quality Generics Pharmacy,0.12255,7.0
N&N Service Center,0.123,6.0
Mr. Churchill Diano,0.123,1.0
Merlinda Mercado,0.12335,7.0
INFUZERN AESTHETIC CLINIC,0.124,6.0
EDWIN PROVIDO,0.126,21.0
TABINGO,0.1265711,7.0
THEOS MARKETING & DIST. INC.,0.127,15.0
AJA GENERAL MERCHANDIZE,0.12725,9.0
Rosita Lata,0.12735,7.0
Deco Arts Marketing Inc.,0.1274145,4.0
"Joem's School, Office Supplies and Equipment",0.127825,3.0
Tekografix,0.128,15.0
Mr. Tomas Ferraren,0.1284,1.0
Ms. Rosemarie Gardose,0.1285,1.0
Chem Raac Marketing,0.129,31.0
CRAFT CLOTHING PH CORP.,0.12952,30.0
ELDRIN TIRE SUPPLY & GENERAL MDSE.,0.13,10.0
"MARQT SS Store, GQB Apparels, Eva Edulcina T. Omaweng, Terran Supply Depot Enter",0.1305,27.0
THE PROCUREMENT SERVICE & RBNSONS CORPORATION,0.131325,30.0
CB Outfits N Garments,0.1316,15.0
IPR Septic Tank Services,0.1316,7.0
DBM Procurement Service - Depot Operations,0.1320106,79.0
MAG-V ROYAL HOTEL,0.1325,5.0
3RG Fortune Enterprise,0.1327,15.0
Rolly's Telecom,0.133,1.0
Anie Ponceja,0.13338,7.0
Hexacom Enterprises,0.134,51.0
CONSUMERS MINIMART OF BAYAMBANG,0.1343351,1.0
Alicia C. Marquez Glassware,0.1349,3.0
"Cauayan City Women with Diasabilities Association, Inc.",0.135,7.0
SG De Leon Hardware and Lumber,0.1356,10.5
Amesco Drug Corporation,0.1366275,6.0
PERRY-A OFFICE SUPPLIES AND EQUIPMENT TRADING,0.1375,13.0
"Various Supplier(Jollibee, Mang Inasal, MCDonalds)",0.13802,9.0
Garbes Dizon and Sons Inc. Supermarket,0.138556,4.0
DAILYWARE MARKETING,0.1386,1.0
NCCC SUPERMARKET & RBNSONS CORPORATION,0.1392,18.0
Royal Steel Hardware and Construction Supply,0.1392,7.0
G.A. Rueda Trading Corp.,0.13992,8.0
Milouch Enterprises,0.13998,11.0
Pipz Catering Services,0.14,13.0
CAC HOTEL MANAGEMENT INC,0.14,14.0
JBM Trading,0.14,4.0
Apodaca,0.14,2.0
G&G Drugmart Clinic,0.14,6.0
DLS SUPERMART,0.1405,10.0
Wilcon Depot Incorporated,0.14051,6.0
DBM Procurement Service - La Union,0.14098,1.5
MIKO`S BREW,0.142,23.0
Veen Andrew Chelo Media Services Co.,0.14224,17.0
"AG Global Healthcare Solutions, Inc.",0.1424,10.0
LA Trinidad Sunrise Trading,0.1425,1.0
"Health Solutions Enterprises, Inc.",0.1428,3.0
KULAYDOSCOPE GRAPHIC DESIGN AND PRINTING SERVICES,0.1435,4.0
Dipolog Artyard Sales & Services,0.144,15.0
WISENHEIMER TRADING,0.144,6.0
D.V. Sorita Giftshop/D.V. Sorita Footwear,0.14435,12.5
Multiteknika DMDS,0.1444,7.0
SM Hypermarket,0.1455,8.0
Zymed Medical Distributors,0.147,14.0
TOPHOME BUILDERS INC.,0.14744,5.0
La isla Store,0.1482,3.0
RBNSONS CORPORATION & STARBRIGHT OFFICE DEPOT,0.1483,61.0
Sanjo Medipharma Phils.,0.1485,10.0
Bukidnon Educational Supply & Trading,0.14868,7.0
RON-JAYS HARDWARE,0.15,7.0
Rolando A. Repato,0.15,7.0
Magic Twist Foodhaus,0.15,2.0
Ritzchild Marketing,0.15,4.0
ACP Interior Decoration Services,0.15,6.0
GERGHIE'S SPORTSWEAR SHOP,0.15,7.0
Liwayway B. Pajarillo,0.15,7.0
MBC AUTO PARTS & ENTERPRISES,0.1503,42.0
G STAR MARKETING AND SUPPLIES,0.15152549999999998,1.0
Marilou Cabiedes,0.15188,7.0
Asaf Angelie's Tailoring Shop,0.1545,31.0
Trademate Marketing,0.156,31.0
Crispin T. Bautista Jr. Rice Mill & Palay Buying,0.156,6.0
SAINT BERNARD MEATSHOP,0.1562731,7.0
SUNRAY COMMERCIAL,0.15662,7.0
Raizen Faith Tailoring,0.1575,8.0
RAYBENJEN 23 TRADING,0.158,1.0
VEE-EM SALES CO.,0.1584,3.0
ZIONE VARIETY STORE,0.15865,3.0
Emirates Gas Station,0.1598031,3.0
GAB AND DAVE EATERY,0.16,25.0
Wander Cafe,0.162,8.0
DRUGMAN DRUGHOUSE,0.162,1.0
KEL C HOME FURNISHING SUPPLIES TRADING,0.162834,2.0
Caticlan Drug Store,0.16305,11.0
ATR TRADING,0.164,15.0
"Centramed Phils.,Co.",0.165,30.0
SAVEMORE SUPERMARKET,0.1667,10.0
Microserver Information System Inc.,0.1674,9.0
FEDUMCODA,0.1675,15.0
DNJ DOULOS PHARMA & DIAGNOSTIC DISTRIBUTOR,0.1676,14.0
Farmneed Company Inc.,0.167875,13.0
DBM-Procurement Service Region 10,0.16808849999999997,7.0
Tomas Ferraren,0.1697,1.0
Purchased Via Online due to Urgency/None was available as per canvass,0.1698,18.0
TRACMAC MARKETING,0.17,24.0
NTT Agri Supply,0.17,14.0
LASER MARKETING,0.1701,1.0
Harleys Home Hardware,0.170565,7.0
PAUL ALLANIE GENERAL MERCHANDISE,0.171,5.0
MIKKO'S AGRICULTURAL SUPPLY & POULTRY SUPPLY,0.17136,9.0
TOTO AND EMMA'S TAILORING,0.1715,10.0
"VICTORIAS MILLING COMPANY, INC.",0.172,1.0
R. Ayeng Trading,0.173,9.0
Gaisano Price Club,0.17324,4.0
G Star Marketing & Supplies,0.174,9.0
LONGHAPROS MARKETING & ENGINEERING WORKS,0.1743,30.0
KCC Mall de Zamboanga,0.1744,11.0
"School Office Supplies, Inc.,",0.174525,1.0
CHEM RAAC MARKETING,0.175,7.0
g.ingles general merchnadise,0.17525,2.0
TAIPAN DEVELOPMENT INC.,0.175446,11.0
POWER ON ENTERPRISE CO.,0.1755,10.0
CL ENTERPRISE,0.17635,1.0
AV General Merchandise,0.1771,1.0
SBR CONSTRUCTION AND ENTERPRISES,0.1776,7.0
Faraon Commercial,0.17865,4.0
Florendo Poec,0.1791,7.0
DBM Procurement Service - Legazpi City,0.1791174,31.0
Desmark Corporation,0.17995,1.0
Alturas Abenson Appliance Bohol Inc.,0.17995,48.0
LONE'S STORE,0.18,2.0
FB Triqam Pharma and General Mdse,0.18,14.0
MJAVA Water Refilling Station,0.18,2.0
Florico General Mdse.,0.18,9.0
Golden Daughter Enterprises,0.18,56.0
77 Consumer Sales Venture Corp. (77CSVC),0.18018,1.0
RHEAS STORE,0.181,31.0
NEW QUALITY COMMERCIAL,0.18146,30.0
New Remington Lumber & Hardware,0.1815,14.0
ADS DENTAL SUPPLY,0.182,1.0
Metro Hardware and Homeware,0.18234,10.0
Philippine Spring Water Resources,0.18392799999999998,2.0
Gandara Tent and Canvass Store,0.184,7.0
OFFICEMATE ENTERPRISES,0.185,31.0
SILICON VALLEY COMPUTER GROUP PHILS. INC.,0.1859,38.0
Maveson Enterprise,0.18698,6.0
3J Trading and General Merchandise,0.18764,4.0
NORMA STORE,0.1883,1.0
LEVI MARKETING,0.1887,1.0
CAMIGUINIAN FASTFOOD & CATERING SERVICES,0.189,37.0
"SURGICO PHILS., INC.",0.18902,7.0
COSTSAVER'S SUPERMARKET,0.19,5.0
ASSOCIATION OF WOMEN & MEN OF GABAWAN,0.19,32.0
Trimax Computer Supplies and General Merchandise,0.19,21.0
RITZCHILD MARKETING,0.190625,12.166666666666666
Mags Pile Bending & Steel Works,0.19105,1.0
Tacloban Mabuhay Glass Supply,0.1944,1.0
RGO'S DRESSED CHICKEN,0.19483799999999998,14.0
SHARKMAN AGRO-INDUSTRIAL ENTERPRISES,0.19502,30.0
MCP's MED-SHOP,0.1964,5.0
"WESMIDCO, Inc.",0.19671,3.0
Anna Marie Pangilinan,0.197,7.0
DBM Procurement Service - Cebu City,0.198,14.0
TRIJOMED MEDICAL SUPPLIES TRADING,0.1982,1.0
Levin's International Corporation,0.2,30.0
Metrovision Customized Printing and General Merchandise,0.2,14.0
ALJON INTERNATIONAL CORPORATION,0.2,13.0
Endure Medical Inc,0.2,30.0
AQUAHOLIC WATER STATION,0.2,7.0
KalipayanBuilders and Construction Supply,0.2,1.0
Dolfo and Elvie Store,0.2,2.0
LCJ GENERAL MERCHANDISE,0.2,14.0
"Integrated Visual Solution, Inc.",0.2,13.0
NEW SAGAY HARDWARE,0.2006,1.0
Marilou F. Cabiedes,0.20085,7.0
Berovan Marketng INc,0.2016,30.0
MCK Food Express,0.2016,6.0
Prince Garden & AgriTrading,0.2025,8.0
Gerry Shan's Place Chinese & Seafood Cuisine,0.204,3.0
Goodyear General Mechandise,0.2075,7.666666666666667
LIfeline diagnostics,0.2088,31.0
Sybico Trade Center,0.20976,6.0
THREE R'S GLASS AND ALUMINUM SUPPLY,0.21,10.0
Omie Alcantara Bigasan Store,0.21,4.0
Sir Luis Trading,0.21,10.0
STICK FURNITURE,0.21,31.0
JAC Medical Distributors,0.21,30.0
