,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
59,C.P. BENOZA ENTERPRISES,Single Proprietorship,05-Aug-2019,Platinum,Active,27-Feb-2020,27-Feb-2021,201908294621810615221
60,KOUZBARY BUILDERS,Single Proprietorship,18-Jan-2013,Platinum,Active,02-Mar-2020,02-Mar-2021,201301643541329995410
61,CENTENNIAL PETRON SERVICES,Single Proprietorship,09-Oct-2012,Platinum,Active,03-Mar-2020,12-Mar-2021,2012106028647271319
62,P. C. ANGELES TRADING,Single Proprietorship,30-Jul-2015,Platinum,Active,03-Mar-2020,03-Mar-2021,201507143716527739622
63,VERAMAR RICEMILL AND TRADING,Single Proprietorship,09-Nov-2007,Platinum,Active,02-Mar-2020,02-Mar-2021,200711174141915468645
64,JUSTIN TROY ENTERPRISES,Single Proprietorship,25-May-2006,Platinum,Active,02-Mar-2020,02-Mar-2021,20060510234506276091
65,AZEL HOMEPLUS & GENERAL MERCHANDISE,Single Proprietorship,01-Dec-2014,Platinum,Active,03-Mar-2020,03-Mar-2021,2014121213131721184261
66,CJMV CONSTRUCTION,Single Proprietorship,22-Nov-2007,Platinum,Active,02-Mar-2020,12-Mar-2021,20071117673133217028
67,EMLC TRADING,Single Proprietorship,20-May-2014,Platinum,Active,02-Mar-2020,02-Mar-2021,201405102430218314893
68,RJR ENTERPRISES,Single Proprietorship,04-Jun-2007,Platinum,Active,02-Mar-2020,02-Mar-2021,20070614035416797677
69,HACKETT SECURITY AGENCY,Single Proprietorship,11-Jun-2010,Platinum,Active,02-Mar-2020,02-Mar-2021,20100634043572243431
70,WJ BUILDERS,Single Proprietorship,31-Mar-2010,Platinum,Active,03-Mar-2020,05-Mar-2021,20100333119660777454
71,MINNESOTA TRADING & MARKETING CORP.,Corporation,21-Sep-2005,Platinum,Active,02-Mar-2020,02-Mar-2021,2005098340951635676
72,"CASA PILAR DE BORACAY, INC",Corporation,08-May-2017,Platinum,Active,02-Mar-2020,02-Mar-2021,2017051637731153987640
73,IMS CONSTRUCTION,Single Proprietorship,12-Feb-2004,Platinum,Active,28-Feb-2020,28-Feb-2021,20040227571382708189
74,SABER INN INC.,Corporation,04-Feb-2015,Platinum,Active,15-Mar-2020,24-Apr-2021,201502125764734289328
75,SHOPRITE MARKETING,Single Proprietorship,18-Nov-2016,Platinum,Active,02-Mar-2020,02-Mar-2021,201611193100669128872
76,JRMR CONSTRUCTION SUPPLY TRADING,Single Proprietorship,25-Sep-2019,Platinum,Active,09-Mar-2020,09-Mar-2021,201909192081200181946
77,UNCLE TONY'S HARDWARE & ELECTRICAL SUPPLY,Single Proprietorship,03-Nov-2008,Platinum,Active,05-Mar-2020,05-Mar-2021,200811232541760432823
78,SOL-BA ENTERPRISE,Single Proprietorship,06-Feb-2019,Platinum,Active,03-Mar-2020,03-Mar-2021,20190256538366727324
79,"GIFT GATE, INC.",Corporation,10-Aug-2018,Platinum,Active,10-Jun-2020,10-Jun-2021,20180884612249944086
80,GOLDEN CUP PRINTING,Single Proprietorship,21-Feb-2005,Platinum,Active,02-Mar-2020,02-Mar-2021,2005026604897571727
81,RA PARTY NEEDS AND CATERING SERVICES,Single Proprietorship,25-Mar-2014,Platinum,Active,03-Mar-2020,03-Mar-2021,20140397836736844128
82,JLPB TRADING,Single Proprietorship,22-Apr-2005,Platinum,Active,03-Mar-2020,03-Mar-2021,2005047175390458330
83,ALLIANZ COMMERCIAL,Single Proprietorship,03-Aug-2010,Platinum,Active,02-Mar-2020,02-Mar-2021,201008349732124193888
84,FMV DRILLING INDUSTRIES SALES AND SERVICES,Single Proprietorship,11-May-2015,Platinum,Active,02-Mar-2020,02-Mar-2021,2015051353511708949794
85,MAXICHEM ENTERPRISES,Single Proprietorship,21-May-2001,Platinum,Active,02-Mar-2020,02-Mar-2021,200105461988696073
86,"ACCESSORIES AND SUPPLIES DEPOT, INC.",Corporation,20-Mar-2002,Platinum,Active,03-Mar-2020,25-Apr-2021,200203579745913845
87,VALUELINE SYSTEMS AND SOLUTIONS CORPORATION,Corporation,01-Jun-2001,Platinum,Active,05-Mar-2020,06-Mar-2021,20010623040596180245
88,"VELCA EQUIPMENT AND ENGINEERED PRODUCTS, INC",Corporation,03-Dec-2003,Platinum,Active,09-Mar-2020,09-Mar-2021,20031221241961274910
89,PLAZA MARIA LUISA SUITES INN,Single Proprietorship,22-Apr-2004,Platinum,Active,27-Feb-2020,18-Mar-2021,20040438221922483348
90,MCL MASTER AVIATION INC.,Corporation,21-Jan-2013,Platinum,Active,02-Mar-2020,07-Mar-2021,201301644091190960715
91,BOBSAN BUILDERS AND SUPPLY,Single Proprietorship,21-Mar-2018,Platinum,Active,03-Mar-2020,03-Mar-2021,201803108272708843158
92,R. CALINGASAN CONSTRUCTION,Single Proprietorship,27-Jul-2004,Platinum,Active,03-Mar-2020,30-Mar-2021,2004074647868356951
93,INDUSTRON INCORPORATED,Corporation,23-Jan-2004,Platinum,Active,02-Mar-2020,27-Mar-2021,20040123811217868847
94,AEROMAXIS INTERNATIONAL AVIATION INC.,Corporation,26-Sep-2016,Platinum,Active,02-Mar-2020,02-Mar-2021,201609186440453259536
95,FOUR-J CONSTRUCTION,Single Proprietorship,28-Jan-2020,Platinum,Active,02-Mar-2020,02-Mar-2021,2020015301278913300
96,PRJC I.T. SOLUTIONS,Single Proprietorship,24-Feb-2020,Platinum,Active,03-Mar-2020,03-Mar-2021,202002211658895490633
97,GIETZ A.G.,Foreign Company Organization,23-Jan-2017,Platinum,Active,02-Mar-2020,26-Mar-2021,201701184618292075455
98,"POWER DIMENSION, INC.",Corporation,27-Aug-2003,Platinum,Active,02-Mar-2020,02-Mar-2021,2003081805866037401
99,LILIW MUNICIPAL EMPLOYEES MULTI-PURPOSE COOPERATIVE,Cooperative,10-Dec-2007,Platinum,Active,03-Mar-2020,03-Mar-2021,200712179302097104947
100,ROWAIZA BUILDERS,Single Proprietorship,19-Feb-2020,Platinum,Active,02-Mar-2020,02-Mar-2021,202002211161543687994
101,"PRYCE GASES, INC. - DAVAO",Corporation,21-Feb-2013,Platinum,Active,05-Mar-2020,10-Apr-2021,201302663731039424127
102,LOPEZ LIVESTOCK,Single Proprietorship,14-Jul-2017,Platinum,Active,10-Mar-2020,11-Mar-2021,201707151171340845514
103,CEMIT BUILDERS CO.,Partnership,22-Jan-2019,Platinum,Active,02-Mar-2020,02-Mar-2021,201901589211812271688
104,ALDRUG DISTRIBUTOR,Single Proprietorship,18-Aug-2015,Platinum,Active,02-Mar-2020,10-Mar-2021,2015081453941347911776
105,DON VIRGILIO BUILDERS AND SUPPLY,Single Proprietorship,01-Feb-2018,Platinum,Active,03-Mar-2020,11-Mar-2021,2018021172071843419525
106,TAM'S EVENT CATERING SERVICES,Single Proprietorship,24-Feb-2020,Platinum,Active,03-Mar-2020,03-Mar-2021,202002211704631733981
107,ASIAN ENERGYSYSTEMS CORPORATION,Corporation,09-Aug-2011,Platinum,Active,09-Jul-2020,09-Jul-2021,201108431282116997674
108,MDMPM PARTY NEEDS AND CATERING SERVICES,Single Proprietorship,01-Feb-2017,Platinum,Active,03-Mar-2020,03-Mar-2021,201702182472853865714
109,GUZEH GARDEN,Single Proprietorship,06-Feb-2018,Platinum,Active,05-Mar-2020,26-Apr-2021,201802117125765208810
110,CHEMLUX INCORPORATED,Corporation,21-Mar-2007,Platinum,Active,09-Mar-2020,09-Mar-2021,200703132052134105123
111,JMDC CONSTRUCTION SUPPLY,Single Proprietorship,26-Feb-2009,Platinum,Active,28-Feb-2020,07-Mar-2021,200902250741102528153
112,SFP GENERAL MERCHANDISE & SERVICES,Single Proprietorship,02-Jun-2011,Platinum,Active,14-May-2020,14-May-2021,201106414701124185288
113,BLOOMING QUAILS OFFICE SUPPLIES TRADING,Single Proprietorship,03-Feb-2020,Platinum,Active,03-Mar-2020,03-Mar-2021,2020022093421102917510
114,VBB ELECTRICAL SUPPLIES & SERVICES,Single Proprietorship,18-Jul-2013,Platinum,Active,02-Mar-2020,02-Mar-2021,201307768241864558051
115,MACASAET BUILDERS AND TRADING,Single Proprietorship,03-Dec-2013,Platinum,Active,02-Mar-2020,07-Mar-2021,201312886591989684192
116,BURI TECHNOLOGIES INC.,Corporation,31-Aug-2018,Platinum,Active,02-Apr-2020,02-Apr-2021,20180880795183038024
117,R TWO S BUILDERS AND ENTERPRISE,Single Proprietorship,06-Dec-2013,Platinum,Active,02-Mar-2020,02-Mar-2021,201312890011885047884
118,JADY ENTERPRISES,Single Proprietorship,26-Jan-2017,Platinum,Active,03-Mar-2020,03-Mar-2021,201701183439506816836
119,NEW HOPE MOTORS & PARTS SUPPLY,Single Proprietorship,03-Jan-2013,Platinum,Active,02-Mar-2020,02-Mar-2021,20130163713684009507
120,SBF PHILIPPINES DRILLING RESOURCES CORPORATION,Corporation,11-Jul-2019,Platinum,Active,03-Mar-2020,03-Mar-2021,201907333701907768090
121,BENIQUEYELLE ENTERPRISES,Single Proprietorship,17-Feb-2014,Platinum,Active,03-Mar-2020,06-Mar-2021,201402941361399972576
122,J-EMS PRINT SERVICES,Single Proprietorship,05-Aug-2016,Platinum,Active,10-Mar-2020,10-Mar-2021,2016081802662023561176
123,LSL TRADING,Single Proprietorship,24-Jan-2011,Platinum,Active,02-Mar-2020,06-Mar-2021,20110137880975270674
124,ALRO CONSTRUCTION & DEVELOPMENT CORPORATION,Corporation,20-Jul-2006,Platinum,Active,03-Mar-2020,03-Mar-2021,200607106321169678940
125,E.C. DE LUNA CONSTRUCTION CORP.,Corporation,25-Jun-2007,Platinum,Active,09-Mar-2020,09-Mar-2021,200706207061528485627
126,OMAR K D GENERAL CONSTRUCTION & TRADING,Single Proprietorship,03-Jun-2014,Platinum,Active,02-Mar-2020,06-Mar-2021,201406103739129293977
127,EAGLE LINE FUEL CENTER,Single Proprietorship,06-Mar-2019,Platinum,Active,03-Mar-2020,18-Mar-2021,201903518031693191247
128,"IHI TURBO INTERNATIONAL TRADE, INC.",Corporation,27-Nov-2001,Platinum,Active,02-Mar-2020,02-Mar-2021,2001112641805524364
129,J.E.T.S. ENTERPRISES,Single Proprietorship,18-Jun-2008,Platinum,Active,02-Mar-2020,02-Mar-2021,20080621037741436861
130,D & C CONSTRUCTION AND SUPPLY,Single Proprietorship,14-Jul-2014,Platinum,Active,05-Mar-2020,05-Mar-2021,20140710807567506530
131,MARJAND CONSTRUCTION SUPPLIES,Single Proprietorship,13-Sep-2013,Platinum,Active,03-Jun-2020,03-Jun-2021,201309820391700497536
132,SJEJ ENTERPRISES,Single Proprietorship,25-Jul-2007,Platinum,Active,05-Mar-2020,05-Mar-2021,20070715372894640429
133,PDJ INTEGRATED CONSTRUCTION [INTEGCON],Single Proprietorship,21-Jan-2004,Platinum,Active,09-Mar-2020,12-Mar-2021,2004012348841673478
134,T.E.L.O DE GUZMAN CONSTRUCTION AND SUPPLY,Single Proprietorship,14-Sep-2009,Platinum,Active,02-Mar-2020,19-Mar-2021,200909285641892426042
135,MARC-ERNAN ENTERPRISES,Single Proprietorship,15-Dec-2004,Platinum,Active,04-Mar-2020,20-Mar-2021,2004125916499381816
136,REDBIRD SECURITY AGENCY & SERVICES INC,Corporation,29-Oct-2002,Platinum,Active,03-Mar-2020,18-Mar-2021,2002101188444504932
137,JNR PARTY NEEDS & CATERING SERVICES,Single Proprietorship,19-Jul-2017,Platinum,Active,03-Mar-2020,03-Mar-2021,2017071506131623649895
138,"MEGA FORTRIS PHILS., INC.",Corporation,11-Mar-2004,Platinum,Active,03-Mar-2020,13-Mar-2021,20040333981543337474
139,"STARPHARM, INC.",Corporation,20-Feb-2020,Platinum,Active,11-Mar-2020,11-Mar-2021,202002211490918084455
140,VEZ TRADING,Single Proprietorship,27-Mar-2009,Platinum,Active,02-Mar-2020,02-Mar-2021,200903337981075132305
141,OR CONSTRUCTION,Single Proprietorship,24-Feb-2020,Platinum,Active,05-Mar-2020,05-Mar-2021,202002211680831365066
142,LYDIA'S AGRIVET SUPPLY,Single Proprietorship,18-Nov-2016,Platinum,Active,05-Mar-2020,05-Mar-2021,20161119319837159856
143,TRIXIE TRADING,Single Proprietorship,31-Jan-2012,Platinum,Active,02-Mar-2020,02-Mar-2021,201201478091399696561
144,GWEN CHARLYZ TRADING,Single Proprietorship,07-Jan-2013,Platinum,Active,02-Mar-2020,02-Mar-2021,201301638331837948610
145,PROJECT CORPS SECURITY SERVICES,Single Proprietorship,09-Mar-2016,Platinum,Active,28-Feb-2020,28-Feb-2021,2016031647611762591914
146,CCTR ENTERPRISES,Single Proprietorship,21-Mar-2006,Platinum,Active,10-Mar-2020,13-Mar-2021,20060397701646336279
147,"AUTOMATION SPECIALISTS AND POWER EXPONENTS, INC.",Corporation,24-May-2002,Platinum,Active,02-Jun-2020,02-Jun-2021,200205795426733826
148,SMM CONSTRUCTION SERVICES,Single Proprietorship,12-Feb-2020,Platinum,Active,04-Mar-2020,04-Mar-2021,202002210375574381750
149,"COMMERCE ASIA, INC.",Corporation,10-Jul-2002,Platinum,Active,03-Mar-2020,03-Mar-2021,2002078761994054482
150,"IPOWER PRODUCTS AND SYSTEMS, INC.",Corporation,15-Dec-2011,Platinum,Active,03-Mar-2020,28-Mar-2021,20111246135615975949
151,FOUR K BUILDERS AND CONSTRUCTION SUPPLIES,Single Proprietorship,01-Jun-2016,Platinum,Active,03-Mar-2020,03-Mar-2021,201606172633253902673
152,DEPED OLONGAPO CITY EMPLOYEES CONSUMER'S COOPERATIVE,Cooperative,21-Nov-2017,Platinum,Active,03-Mar-2020,03-Mar-2021,201711127530892743090
153,SKYLAND TRAVEL & TOURS BY: JOLEE ANN A. ADEFUIN,Single Proprietorship,28-Jan-2015,Platinum,Active,03-Mar-2020,19-Mar-2021,201501124877789577680
154,DHAN CZAR MARKETING,Single Proprietorship,10-Aug-2007,Platinum,Active,03-Mar-2020,15-Mar-2021,200708157851880011573
155,WIDE INTEGRATED SOLUTIONS EXPERT CORPORATION,Corporation,04-Mar-2019,Platinum,Active,02-Mar-2020,12-Mar-2021,201903522371501951575
156,CHRYSUS EVENTS MANAGEMENT CO.,Partnership,18-Apr-2013,Platinum,Active,03-Mar-2020,03-Mar-2021,201304701321008634861
157,DE JUAN ONE STOP SHOP,Single Proprietorship,08-May-2015,Platinum,Active,09-Mar-2020,09-Mar-2021,2015051352881478384633
158,QUALIS CONSILIO CONSULTING,Corporation,20-Feb-2019,Platinum,Active,10-Mar-2020,10-Mar-2021,201902539891339721127
159,SUBLIME BUILDER AND SURVEY SERVICES,Single Proprietorship,18-Mar-2014,Platinum,Active,02-Mar-2020,02-Mar-2021,201403969851240816218
160,ILOILO IZEEM COMMERCIAL,Single Proprietorship,02-Apr-2004,Platinum,Active,03-Mar-2020,12-Mar-2021,2004043683965348551
161,YSL BUILDER,Single Proprietorship,23-Jul-2004,Platinum,Active,28-Feb-2020,01-Mar-2021,2004074617982768351
162,AD&DA TRADE AND BUSINESS INC.,Corporation,04-Feb-2015,Platinum,Active,03-Mar-2020,03-Mar-2021,2015021257422102845725
163,"NEEDLE WORK IMPRESSIONS, INC.",Corporation,29-Apr-2008,Platinum,Active,03-Mar-2020,03-Mar-2021,20080420226755035248
164,GLF BUILDERS AND CONSTRUCTION SUPPLY,Single Proprietorship,09-Jan-2018,Platinum,Active,03-Mar-2020,06-Mar-2021,2018011208321339711705
165,E-TRADE GENERAL MERCHANDIZING,Single Proprietorship,28-Mar-2011,Platinum,Active,10-Jul-2020,10-Jul-2021,201103399571362762460
166,MEGA FIXTURES INC.,Corporation,28-Sep-2007,Platinum,Active,03-Mar-2020,03-Mar-2021,20070916709686563328
167,ENYE CONSTRUCTION & DEVELOPMENT INC,Corporation,14-Oct-2015,Platinum,Active,03-Mar-2020,03-Mar-2021,2015101513091193443578
168,"IDEAS FOR GOOD CONSULTANCY GROUP, INC.",Corporation,17-Dec-2015,Platinum,Active,06-Mar-2020,06-Mar-2021,201512156993527740511
169,FORTUNE TRADING,Single Proprietorship,26-Aug-2011,Platinum,Active,03-Mar-2020,03-Mar-2021,20110843562975540015
170,H & W ENGINEERING CONST. & SUPPLY,Single Proprietorship,19-Oct-2009,Platinum,Active,03-Mar-2020,03-Mar-2021,200910290881677112331
171,EPHINE FOOD HAUZ AND CATERING SERVICES,Single Proprietorship,14-Mar-2012,Platinum,Active,03-Mar-2020,11-Mar-2021,201203502092062833022
172,EDMI PHILIPPINES INC.,Corporation,15-Aug-2008,Platinum,Active,25-Mar-2020,24-Apr-2021,20080853309827473524
173,ALEXIS A. ACACIO REAL ESTATE LEASING,Single Proprietorship,26-Feb-2020,Platinum,Active,03-Mar-2020,03-Mar-2021,2020022119801659742835
174,DAVEL TRADING,Single Proprietorship,01-Aug-2006,Platinum,Active,05-Mar-2020,22-Mar-2021,200608107312111385485
175,ROQ UNIVERSITY BUSINESS CENTER,Single Proprietorship,21-Jul-2014,Platinum,Active,03-Mar-2020,03-Mar-2021,2014071084551498459508
176,SONNY BOBOY TAILORING,Single Proprietorship,29-Jan-2013,Platinum,Active,03-Mar-2020,03-Mar-2021,201301650451664544244
177,J.L. BAHIA CONSTRUCTION AND SUPPLY,Single Proprietorship,15-Feb-2013,Platinum,Active,03-Mar-2020,03-Mar-2021,201302661611368459276
178,SAN JOSE BUILDERS,Single Proprietorship,03-Apr-2009,Platinum,Active,28-Feb-2020,28-Feb-2021,200904258961782944093
179,C. ORTEGA GENERAL MERCHANDISE,Single Proprietorship,11-Mar-2005,Platinum,Active,28-Apr-2020,28-Apr-2021,20050368251913109974
180,BELLESTERN ENTERPRISES,Single Proprietorship,21-Sep-2018,Platinum,Active,03-Mar-2020,03-Mar-2021,2018097693124296627
181,HYDRONET CONSULTANTS INC.,Corporation,17-Sep-2012,Platinum,Active,02-Mar-2020,02-Mar-2021,2012095908726602891
182,"DIGICARE MEDICAL PRODUCTS, INC.",Corporation,20-Apr-2015,Platinum,Active,03-Mar-2020,28-Apr-2021,2015041334492028562392
183,NUIT BLANCHE INTERNATIONAL TRADING CORP,Corporation,29-Apr-2008,Platinum,Active,03-Mar-2020,03-Mar-2021,20080420222908451357
184,MKV BUILDERS & CONSTRUCTION SUPPLY INC.,Corporation,17-Mar-2017,Platinum,Active,05-Mar-2020,11-Mar-2021,201703172750147402689
185,CTL IMAGE ENTERPRISES,Single Proprietorship,06-May-2003,Platinum,Active,03-Mar-2020,03-Mar-2021,2003051611742371980
186,AA ENTERPRISES AND SUPPLIES,Single Proprietorship,12-Feb-2018,Platinum,Active,03-Mar-2020,06-Mar-2021,2018021154091944203323
187,CYL CONSTRUCTION AND SUPPLY,Single Proprietorship,22-Feb-2019,Platinum,Active,03-Mar-2020,03-Mar-2021,20190253665832309388
188,COPY PACIFIC TRADING & SERVICES,Single Proprietorship,05-Jul-2010,Platinum,Active,03-Mar-2020,03-Mar-2021,201007343781105154238
189,NEGROS MEDICAL TRADING,Single Proprietorship,27-Nov-2006,Platinum,Active,03-Mar-2020,04-Apr-2021,20061111857332697174
